,hour,route,boardings,alightings
83,7,Route 18,1674.0,1774.0
400,17,Route 33,1671.0,1805.0
66,6,Route 32,1669.0,1579.0
94,7,Route 30,1646.0,1375.0
96,7,Route 33,1625.0,1414.0
55,6,Route 20,1556.0,1032.0
172,10,Route 16,1553.0,1537.0
201,11,Route 16,1547.0,1532.0
305,14,Route 33,1546.0,1176.0
127,8,Route 35,1532.0,1501.0
67,6,Route 33,1531.0,1148.0
268,13,Route 24,1526.0,1468.0
260,13,Route 16,1525.0,1499.0
112,8,Route 18,1524.0,1540.0
290,14,Route 16,1521.0,1506.0
380,17,Route 11,1520.0,1345.0
357,16,Route 20,1488.0,1288.0
56,6,Route 21,1482.0,866.0
338,15,Route 34,1474.0,1452.0
306,14,Route 34,1467.0,1377.0
339,15,Route 35,1462.0,1537.0
453,19,Route 24,1461.0,1566.0
239,12,Route 24,1461.0,1331.0
214,11,Route 30,1455.0,1180.0
337,15,Route 33,1450.0,1680.0
176,10,Route 21,1436.0,1759.0
126,8,Route 34,1430.0,1610.0
98,7,Route 35,1410.0,1172.0
205,11,Route 21,1401.0,1017.0
209,11,Route 24,1379.0,1469.0
77,7,Route 12,1375.0,1239.0
361,16,Route 23,1355.0,1354.0
352,16,Route 14,1346.0,1240.0
157,9,Route 35,1343.0,1565.0
459,19,Route 32,1337.0,1323.0
265,13,Route 21 Express,1333.0,1065.0
351,16,Route 13,1331.0,1263.0
153,9,Route 30,1329.0,1465.0
402,17,Route 35,1322.0,1439.0
445,19,Route 16,1315.0,1410.0
335,15,Route 30,1311.0,1506.0
349,16,Route 11,1302.0,1263.0
235,12,Route 21,1285.0,1292.0
65,6,Route 30,1279.0,1182.0
264,13,Route 21,1272.0,1315.0
288,14,Route 13,1270.0,1113.0
294,14,Route 21,1265.0,1190.0
123,8,Route 30,1260.0,1353.0
320,15,Route 14,1256.0,1341.0
295,14,Route 21 Express,1251.0,1459.0
419,18,Route 21,1244.0,1652.0
187,10,Route 33,1243.0,1033.0
293,14,Route 20,1221.0,1133.0
430,18,Route 33,1217.0,1235.0
145,9,Route 21 Express,1215.0,1251.0
185,10,Route 30,1214.0,1357.0
244,12,Route 30,1211.0,1174.0
317,15,Route 11,1204.0,1166.0
258,13,Route 13,1202.0,1262.0
398,17,Route 30,1198.0,1287.0
125,8,Route 33,1181.0,1406.0
447,19,Route 18,1170.0,1299.0
68,6,Route 34,1165.0,1350.0
418,18,Route 20,1154.0,1331.0
273,13,Route 30,1139.0,1165.0
229,12,Route 13,1124.0,1027.0
203,11,Route 18,1122.0,889.0
79,7,Route 14,1118.0,1058.0
206,11,Route 21 Express,1107.0,1055.0
78,7,Route 13,1107.0,1024.0
169,10,Route 13,1102.0,1020.0
177,10,Route 21 Express,1101.0,1026.0
115,8,Route 21 Express,1099.0,886.0
307,14,Route 35,1097.0,1035.0
381,17,Route 12,1095.0,1178.0
292,14,Route 18,1088.0,1583.0
410,18,Route 11,1082.0,1277.0
234,12,Route 20,1066.0,1038.0
107,8,Route 13,1064.0,1067.0
297,14,Route 23,1053.0,830.0
100,7,Route 37,1043.0,869.0
276,13,Route 34,1042.0,1015.0
76,7,Route 11,1038.0,853.0
105,8,Route 11,1026.0,1285.0
359,16,Route 21 Express,1009.0,911.0
392,17,Route 23,1007.0,1085.0
117,8,Route 23,1006.0,1151.0
432,18,Route 35,1005.0,1120.0
90,7,Route 25,998.0,1016.0
256,13,Route 11,986.0,987.0
247,12,Route 34,981.0,934.0
422,18,Route 23,977.0,821.0
48,6,Route 12,976.0,956.0
286,14,Route 11,973.0,923.0
156,9,Route 34,972.0,1014.0
199,11,Route 13,968.0,1016.0
275,13,Route 33,967.0,1063.0
216,11,Route 33,967.0,999.0
428,18,Route 30,966.0,1026.0
136,9,Route 12,961.0,934.0
106,8,Route 12,957.0,1015.0
319,15,Route 13,955.0,1004.0
59,6,Route 23,946.0,806.0
318,15,Route 12,943.0,837.0
80,7,Route 15 Express,940.0,794.0
329,15,Route 23,936.0,1153.0
63,6,Route 27,936.0,812.0
383,17,Route 14,928.0,1116.0
25,5,Route 18,924.0,387.0
217,11,Route 34,910.0,881.0
350,16,Route 12,908.0,966.0
188,10,Route 34,902.0,903.0
262,13,Route 18,901.0,762.0
230,12,Route 14,886.0,1020.0
461,19,Route 34,884.0,1111.0
189,10,Route 35,884.0,784.0
411,18,Route 12,883.0,910.0
170,10,Route 14,880.0,837.0
109,8,Route 15 Express,880.0,1025.0
175,10,Route 20,877.0,1039.0
328,15,Route 22,874.0,961.0
155,9,Route 33,872.0,1205.0
236,12,Route 21 Express,871.0,1112.0
92,7,Route 27,866.0,942.0
246,12,Route 33,865.0,831.0
108,8,Route 14,857.0,717.0
327,15,Route 21 Express,846.0,908.0
384,17,Route 15 Express,843.0,911.0
200,11,Route 14,840.0,803.0
147,9,Route 23,835.0,866.0
373,16,Route 36,834.0,629.0
396,17,Route 27,829.0,777.0
204,11,Route 20,826.0,821.0
363,16,Route 25,822.0,794.0
137,9,Route 13,818.0,866.0
159,9,Route 36,817.0,668.0
227,12,Route 11,806.0,717.0
382,17,Route 13,804.0,908.0
250,12,Route 36,791.0,683.0
353,16,Route 15 Express,791.0,637.0
263,13,Route 20,784.0,819.0
135,9,Route 11,781.0,768.0
325,15,Route 20,776.0,767.0
433,18,Route 36,772.0,630.0
130,8,Route 37,769.0,197.0
332,15,Route 26,767.0,685.0
390,17,Route 21 Express,765.0,917.0
82,7,Route 17 (Route 1 Ride),761.0,617.0
238,12,Route 23,761.0,670.0
138,9,Route 14,758.0,1003.0
47,6,Route 11,754.0,599.0
179,10,Route 23,752.0,741.0
460,19,Route 33,737.0,947.0
141,9,Route 17 (Route 1 Ride),735.0,770.0
341,15,Route 36,731.0,657.0
167,10,Route 11,725.0,779.0
284,14,Deadhead,723.0,865.0
197,11,Route 11,723.0,752.0
208,11,Route 23,719.0,808.0
243,12,Route 28,715.0,642.0
131,8,Route 51,715.0,639.0
254,13,Deadhead,710.0,542.0
241,12,Route 26,702.0,631.0
413,18,Route 14,701.0,811.0
291,14,Route 17 (Route 1 Ride),699.0,702.0
70,6,Route 36,698.0,382.0
404,17,Route 37,685.0,668.0
101,7,Route 51,680.0,628.0
394,17,Route 25,679.0,550.0
228,12,Route 12,675.0,662.0
129,8,Route 36,674.0,866.0
355,16,Route 17 (Route 1 Ride),668.0,590.0
403,17,Route 36,666.0,997.0
220,11,Route 36,658.0,875.0
51,6,Route 15 Express,655.0,563.0
360,16,Route 22,654.0,585.0
412,18,Route 13,654.0,659.0
374,16,Route 37,654.0,547.0
323,15,Route 17 (Route 1 Ride),649.0,755.0
119,8,Route 25,648.0,609.0
58,6,Route 22,647.0,488.0
168,10,Route 12,647.0,635.0
87,7,Route 22,646.0,784.0
301,14,Route 27,645.0,626.0
