,stops,boardings,alightings
160,WATKINS MILL RD & TRAVIS LN,236,123
25,FREDERICK RD & GUNNERS DR,73,118
85,ROCKVILLE PIKE & BROAD BROOK DR,29,113
30,FREDERICK RD & MIDWAY CENTER,127,107
40,FREDERICK RD & WHEATFIELD DR,120,98
93,ROCKVILLE PIKE & FLANDERS AVE,79,97
82,ROCKVILLE PIKE & BETH MED PRK DR,369,96
26,FREDERICK RD & HIGH POINT DR,118,94
126,RUSSELL AVE & CHRISTOPHER AVE,57,91
146,SHADYGROVE METRO LOT  & METRO LOT,9,91
80,ROCKVILLE PIKE & ALTA VISTA RD,161,88
152,SOMERVILLE DR & REDLAND RD,94,86
143,S WASHINGTON ST & MONTGOMERY AVE,221,85
159,WATKINS MILL RD & TRAVIS AVE,165,83
50,KING FARM BLVD & FREDERICK RD,21,82
49,HUNGERFORD DR & N CAMPUS DR,119,82
42,GERMANTOWN RD & OBSERVATION DR,111,74
2,CHRISTOPHER AVE & GALLOP HILL RD,569,74
72,OBSERVATION DR & @20457 (SENECA MEA,46,74
73,OBSERVATION DR & BOLAND FARM RD,116,70
39,FREDERICK RD & WATKINS POND BLVD,84,67
121,ROCKVILLE PIKE & WICKSHIRE WAY,86,67
130,S FREDERICK AVE & CENTRAL AVE,119,63
12,E MIDDLE LN & MARYLAND AVE,495,63
31,FREDERICK RD & NEELSVILLE CHURCH RD,38,57
19,FREDERICK RD & ARCHDALE RD,313,56
15,FREDERICK RD & @15,3,55
48,HUNGERFORD DR & MANNAKEE ST,99,55
90,ROCKVILLE PIKE & ELSMERE AVE,79,53
76,OBSERVATION DR & PANTHER RIDGE DR,106,49
16,FREDERICK RD & @15501,54,40
41,GERMANTOWN RD & GOLDENROD LN,36,34
140,S FREDERICK AVE & VIRGINIA DR,51,32
38,FREDERICK RD & SHAKESPEARE BLVD,197,30
21,FREDERICK RD & COLLINS DR,41,23
95,ROCKVILLE PIKE & GROSVENOR STATION,27,17
56,MANNAKEE ST & CAMPUS DR,119,16
115,ROCKVILLE PIKE & SOUTH WOOD RD,341,16
106,ROCKVILLE PIKE & NORTH WOOD DR,365,15
0,CHAPMAN AVE & BOUIC AVE,4,14
100,ROCKVILLE PIKE & LOCUST HILL RD,9,11
46,HUNGERFORD DR & @700,4,1
