,stops,alightings
78,ODENDHAL AVE & RUSSELL AVE,682
153,TRAVIS AVE & TRAVIS LN,677
71,N WASHINGTON ST & MIDDLE LN,658
114,ROCKVILLE PIKE & SECURITY LN,636
64,N FREDERICK AVE & PROFESSIONAL DR,635
32,FREDERICK RD & OXBRIDGE DR,631
5,CHRISTOPHER AVE & RUSSELL AVE,622
36,FREDERICK RD & SCENERY DR,617
63,N FREDERICK AVE & MONTGOMERY AVE,612
29,FREDERICK RD & MIDDLEBROOK RD,608
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,602
34,FREDERICK RD & REDLAND RD,591
53,LOST KNIFE RD & CONTOUR RD,586
138,S FREDERICK AVE & S WESTLAND DR,575
119,ROCKVILLE PIKE & THOMPSON AVE,561
154,TRAVIS AVE & TRAVIS VIEW CT,525
129,S FREDERICK AVE & CEDAR AVE,492
103,ROCKVILLE PIKE & NEW ST,490
79,ROCKVILLE PIKE & @1001,490
137,S FREDERICK AVE & ROSEMONT DR,485
134,S FREDERICK AVE & FULKS CORNER AVE,438
88,ROCKVILLE PIKE & COUNTRY CLUB RD,421
22,FREDERICK RD & GERMANTOWN RD,418
14,E MIDDLE LN & WASHINGTON ST,411
122,ROCKVILLE PIKE & WOODMONT STATION,407
33,FREDERICK RD & PLUMMER DR,384
7,CONTOUR RD & HORIZON RUN RD,375
54,LOST KNIFE RD & MONTGOMERY VILLAGE,364
55,MANNAKEE ST & CAMPUS (E) DR,359
61,N FREDERICK AVE & CHESTNUT ST,350
131,S FREDERICK AVE & DEER PARK DR,345
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,343
67,N FREDERICK RD & GUNNERS BRANCH RD,319
66,N FREDERICK AVE & WHETSTONE DR,314
11,E JEFFERSON ST & MARYLAND AVE,312
97,ROCKVILLE PIKE & HILLERY WAY,304
3,CHRISTOPHER AVE & HELLINGLY PL,298
142,S WASHINGTON ST & COURT HOUSE SQ,294
135,S FREDERICK AVE & N WESTLAND DR,294
52,LOST KNIFE RD & CIDER MILL APTS,282
156,TUCKERMAN LN & ROCKVILLE PIKE,281
28,FREDERICK RD & MAGNOLIA DR,280
62,N FREDERICK AVE & MARYLAND AVE,267
116,ROCKVILLE PIKE & STRATHMORE AVE,255
141,S FREDERICK AVE & WESTLAND DR,253
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,245
13,E MIDDLE LN & MONROE ST,241
98,ROCKVILLE PIKE & HOYA ST,235
23,FREDERICK RD & GUDE DR,209
148,SHAKESPEARE BLVD & ETON MANOR DR,205
81,ROCKVILLE PIKE & BELLEVUE DR,198
127,RUSSELL AVE & WATKINS MILL RD,193
35,FREDERICK RD & RIDGEMONT AVE,192
17,FREDERICK RD & @20010,189
155,TRAVIS AVE & WATKINS MILL RD,188
94,ROCKVILLE PIKE & GROSVENOR LN,181
27,FREDERICK RD & INDIANOLA DR,180
132,S FREDERICK AVE & DEER PARK RD,169
75,OBSERVATION DR & OBSERVATION CT,162
8,CONTOUR RD & LOST KNIFE RD,160
9,CONTOUR RD & ODENDHAL AVE,159
147,SHAKESPEARE BLVD & AMBER RIDGE DR,156
10,CONTOUR RD & TUNSTALL DR,154
1,CHRISTOPHER AVE & FEATHERTREE WAY,148
86,ROCKVILLE PIKE & CEDAR LN,148
65,N FREDERICK AVE & TRAVIS AVE,142
136,S FREDERICK AVE & O'NEILL DR,134
160,WATKINS MILL RD & TRAVIS LN,123
25,FREDERICK RD & GUNNERS DR,118
85,ROCKVILLE PIKE & BROAD BROOK DR,113
30,FREDERICK RD & MIDWAY CENTER,107
40,FREDERICK RD & WHEATFIELD DR,98
93,ROCKVILLE PIKE & FLANDERS AVE,97
82,ROCKVILLE PIKE & BETH MED PRK DR,96
26,FREDERICK RD & HIGH POINT DR,94
126,RUSSELL AVE & CHRISTOPHER AVE,91
146,SHADYGROVE METRO LOT  & METRO LOT,91
80,ROCKVILLE PIKE & ALTA VISTA RD,88
152,SOMERVILLE DR & REDLAND RD,86
143,S WASHINGTON ST & MONTGOMERY AVE,85
159,WATKINS MILL RD & TRAVIS AVE,83
50,KING FARM BLVD & FREDERICK RD,82
49,HUNGERFORD DR & N CAMPUS DR,82
42,GERMANTOWN RD & OBSERVATION DR,74
2,CHRISTOPHER AVE & GALLOP HILL RD,74
72,OBSERVATION DR & @20457 (SENECA MEA,74
73,OBSERVATION DR & BOLAND FARM RD,70
39,FREDERICK RD & WATKINS POND BLVD,67
121,ROCKVILLE PIKE & WICKSHIRE WAY,67
130,S FREDERICK AVE & CENTRAL AVE,63
12,E MIDDLE LN & MARYLAND AVE,63
31,FREDERICK RD & NEELSVILLE CHURCH RD,57
19,FREDERICK RD & ARCHDALE RD,56
15,FREDERICK RD & @15,55
48,HUNGERFORD DR & MANNAKEE ST,55
90,ROCKVILLE PIKE & ELSMERE AVE,53
76,OBSERVATION DR & PANTHER RIDGE DR,49
16,FREDERICK RD & @15501,40
41,GERMANTOWN RD & GOLDENROD LN,34
140,S FREDERICK AVE & VIRGINIA DR,32
38,FREDERICK RD & SHAKESPEARE BLVD,30
21,FREDERICK RD & COLLINS DR,23
95,ROCKVILLE PIKE & GROSVENOR STATION,17
56,MANNAKEE ST & CAMPUS DR,16
115,ROCKVILLE PIKE & SOUTH WOOD RD,16
106,ROCKVILLE PIKE & NORTH WOOD DR,15
0,CHAPMAN AVE & BOUIC AVE,14
100,ROCKVILLE PIKE & LOCUST HILL RD,11
46,HUNGERFORD DR & @700,1
