,stop,boardings,alightings
1181,Southway at Crescent Rd,626,767
539,Donnell Drive at Target Store,626,1917
931,Owens Rd at Kennebec St,619,721
889,Old Alexandria Ferry Rd at Woodyard Rd,618,709
1242,Temple Hill Rd at Plata St,611,151
1074,Ritchie Station Court Bus Stop #2,605,80
167,Addison Rd Metrorail - Arrival,602,17020
637,Hampton Park Boulevard at Alaking Ct,599,815
793,MLK Jr Hwy at 65th Ave,597,489
314,Bock Rd at Technology Recreation Complex,593,720
1071,Ritchie Rd at Vineyard Dr,591,508
635,Hamilton St at 3900,591,361
855,Morris Ave at Maxwell Dr,584,775
528,District Heights Pkwy at Breton Dr,581,332
67,40plgall_nb,580,219
571,Fisher Rd at St. Moritz Dr,579,610
718,Kanawha St at 15th Ave,577,139
944,Oxon Hill Rd at 6400 Clipper Way,572,6
15,16th Ave at Cypress Creek Dr - in,572,77
1156,Southern Ave at 9th St SE,569,255
554,Elm St at Gov Oden Bowie Dr,562,277
596,Good Luck Rd at Silk Tree Dr,561,84
14,16th Ave at Cypress Creek Dr,561,601
490,Columbia Park Rd at Marshall Pl,561,612
737,Lamont Dr at Donoghue Dr,559,654
640,Hampton Park Boulevard at Hampton Mall Dr,557,570
1096,Riverdale Rd at Tanglewood Dr,556,265
742,Lamont Dr at Quentin St,555,394
548,East-West Hwy at Metro Center Dr,554,1407
991,Piscataway Rd at Old Branch Ave,554,76
1027,Ray Rd at Cypress Creek Dr - in,552,39
25,2400 Chillum Rd,552,462
1028,Ray Rd at Madison St,551,571
939,Oxon Hill Fringe Parking Lot Bus Bay B,550,843
408,Campus Way at PGCC Perimeter Rd,549,1301
862,Nalley Rd at Green Willow Ct,547,438
59,38th St at Shepherd St,541,348
1052,Ritchie Rd at #2918,541,230
489,Columbia Park Rd at Columbia Pl,540,452
614,Greenbrook Dr at Hanover Pkwy,538,612
1142,Sheriff Rd at William Paca School - out,537,220
925,Opposite of Rose Croft Shopping Center,537,437
406,Campus Way South at PGCC Perimeter Rd,536,496
860,Nalley Rd at Crane Pl,535,308
726,Kipling Pkwy at Harwood Rd,531,331
221,Annapolis Rd at Bladensburg Elem. School,530,532
935,Owens Rd at Southern Ave,526,418
84,42nd Ave at Madison St,520,1138
199,Allentown Rd at Coolridge Rd,518,454
668,Highview Pl at Keyworth Ct,518,373
381,Brinkley Rd at Temple Hill Rd,517,678
186,Ager Rd at 29th Ave,513,85
814,Mandan Rd at Canning Terr,513,379
861,Nalley Rd at East Nalley Rd,511,445
64,38th St at Windom Rd,506,310
1127,Sheila Ln at Mike Shapiro Dr,504,124
851,Merrimac St at 14th Ave,503,24
262,Baltimore Ave at East-West Hwy,502,219
590,Good Luck Rd at Cathedral Ave,500,327
647,Hanover Pkwy at Hunting Ridge Club Apts,498,341
777,Largo Rd at Water Fowl Way,497,24
1280,Walker Mill Drive at Shady Glen Drive,496,639
753,Landover Rd at Annapolis Rd,496,470
326,Brandywine Rd at Woodyard Rd,492,147
244,Auburn Ave at Chestnut Ave,492,892
608,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,490,90
981,Pennsylvania Ave at Penn Crossing Dr,488,1273
831,Marlboro Pike at Upland Ave,487,374
534,Dodge Park Rd at Landover Rd,486,478
321,Brandywine Rd at Cork Tree Way,484,259
1131,Sheriff Rd at Dutch Village Dr,482,745
402,Campus Way South at Central Ave,481,646
427,Central Ave at Bayou Ave,479,421
561,Fairlawn St at Colebrooke Dr,479,747
95,5150 Annapolis Rd,479,348
1203,Stuart Lane at Surratts Road,475,14
71,4112 Whitehall Square Apts,474,1122
20,23rd Ave at Drexel St,474,354
894,Old Branch Ave at Arbutus Ln,473,750
1149,Silver Hill Rd at Suitland Rd,469,469
1126,Sargent Rd at Rollingcrest Commons,468,462
393,CAMPUS WAY NORTH AT LADY GROVE ROAD,467,413
592,Good Luck Rd at Dawnwood Dr,466,605
299,Benning Rd at Drum Ave,466,632
1197,St Barnabas Rd at Raleigh Rd,464,527
801,MLK Jr Hwy at Columbia Park Rd,461,680
169,Addison Rd at Adak St,460,1049
918,Old Pike Way at Dower House Rd,460,372
650,Hanover Pkwy at Ora Glen Dr,459,1206
