,stop,boardings
451,Cherrywood Ln at Greenbelt Federal Courthouse,1533
1290,Whitehall Square Apts at Community Hall,1525
511,Crescent Rd at Gardenway,1523
1018,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1523
651,Hanover Pkwy at Prem # 7718,1520
533,Dodge Park Rd at Hubbard Rd,1488
1189,Springhill Ln at Springhill Dr,1488
736,Lamont Dr at Carrollton Pkwy,1460
1231,Temple Hill Rd at Farmer Dr,1459
40,3209 75th Ave,1416
556,Equestrian Center Lot 1,1412
699,Indian Head Highway at I-495 South Ramp,1385
1175,Southern Maryland Hospital,1358
693,Ikea at Bus Bay 2,1355
606,Greenbelt Rd at Opp. Greenbelt Center,1349
646,Hanover Pkwy at Hanover Dr,1348
1294,Wmap Rd at Icesat Rd,1337
1212,Suitland Rd at Huron Ave,1333
1200,St Clair Dr at 28th Ave,1316
967,PG Plaza Station Bus Bay H,1294
536,Donnell Dr at Marlboro Pike,1285
178,Addison Rd at Ronald Rd,1277
741,Lamont Dr at Powhatan St,1274
472,Chillum Rd at Longford Dr,1274
663,Hastings Dr at Peppermill Dr,1272
968,PG Sports Complex,1267
694,Ikea at Bus Bay 3,1264
1211,Suitland Rd at Homer Ave,1255
287,Belcrest Rd at 6505 Belcrest Rd,1227
318,Branchwood Towers,1186
838,Mattowoman Beantown Rd at MTA Park and Ride Lot,1176
70,4106 Whitehall Square Apts,1174
610,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate(PM),1166
859,Nalley Rd at Capital View Dr,1158
1186,Springhill Ln at Breezewood Ct,1153
361,Brinkley Rd at Brinkley Manor W Ent,1151
1296,Woody Terrace at Woodyard Road,1145
604,Greenbelt Rd at Greenway Center,1138
354,Brightseat Rd at Maple Ridge Apts,1123
385,Brooks Dr at Marlboro Pike,1111
22,23rd Ave at Lewisdale Dr,1106
1089,Riverdale Rd at 67th Ave,1087
430,Central Ave at Cindy Ln,1083
28,28th Ave at Keating St,1076
223,Annapolis Rd at Riverdale Rd,1067
762,Largo Rd at Black Swan Dr,1051
1258,University Blvd at Guilford Rd,1040
1244,Temple Hill Rd at Rickey Ave,1038
222,Annapolis Rd at Edmonston Rd,1035
1184,Springhill Dr at Cherrywood Ln,1021
992,Piscataway Rd at Pella Place,1017
367,Brinkley Rd at Huntcrest,1014
1187,Springhill Ln at Breezewood Dr,1005
841,Maxwell Dr at Morris Ave,995
291,Belcrest Rd at PG Plaza Sta Entrance,987
1050,Riggs Rd at University Blvd,973
644,Hanover Pkwy at Greenbrook Dr,963
743,Lamont Dr at Westbrook Dr,960
997,Possum Ct at Walker Mill Dr,951
1091,Riverdale Rd at Carrollton Mall,948
17,23rd Ave at Amherst Rd,947
359,Brinkley Rd at Arborview Entrance,935
124,8201 Corporate Dr,931
1093,Riverdale Rd at Fountainbleau Dr,925
1173,Southern Ave at Wheeler Rd,924
98,5401 85th Ave,915
1251,Timothy Branch Drive @ Safeway,912
1253,Toledo Rd at Adelphi Rd,901
1088,Riverdale Rd at 64th Ave,897
1201,St George Blvd at Waterfront St,891
748,Landover Rd at 56th Ave,887
1227,Temple Hill Rd at Allentown Rd,887
923,Old Silver Hill Rd at Parkland Dr,886
396,Campus Way North at Grey Gables Ct,883
1247,Temple Hill Rd at St Barnabas Rd,874
97,5295 85th Ave,872
626,Gwynn Park High School,870
897,Old Forestville Rd at Forestville Rd,870
631,Hamilton St at 36th Ave,864
1254,Toledo Rd at Belcrest Rd,859
1185,Springhill Dr at Springhill Ln,848
245,Auburn Ave at Riverdale Rd,838
348,Brightseat Rd at Evarts St,823
100,5600 54th Ave,820
1081,Riverdale Rd at 54th Ave,815
257,Baltimore Ave at Berwyn House Rd,813
329,Brandywine Road @ Northgate Parkway,811
1022,Raleigh Rd at Culver St,808
475,Cipriano Rd at Brae Brooke Dr,801
739,Lamont Dr at Lamont Pl,797
429,Central Ave at Cabin Branch Rd,797
531,District Heights Pkwy at Rochelle Ave,783
73,4138 Whitehall Square Apts - out,783
1286,Walker Mill Road at Marlboro Pike,780
1043,Rhode Island Ave at Mt Rainier,780
632,Hamilton St at 37th Ave,766
728,Kipling Pkwy at Marlboro Pike,758
405,Campus Way South at Joyceton Dr,751
983,Peppermill Dr at Canyon Dr,750
336,Breezewood Dr at Cherrywood Ter,733
196,Allentown Rd at Allentown Way,732
1054,Ritchie Rd at Ashville Rd,731
1070,Ritchie Rd at Truck Way,731
479,Clinton Manor,725
340,Brightseat Rd at Ardwick-Ardmore Rd,724
545,East Capitol St at Yost Pl,723
683,Hubbard Rd at Martin Luther King,715
72,4138 Whitehall Square Apts - in,713
759,Lansdowne Village Apts,694
865,Nalley Rd at Michele Dr,692
260,Baltimore Ave at Cherokee St,688
1148,Silver Hill Rd at Randall Rd,683
730,Kipling Pkwy at Wintergreen Ave,679
1015,Queensbury Rd at Baltimore Ave,679
198,Allentown Rd at Camp Springs Ave,678
952,Oxon Hill Rd at Riverside Plaza Apts,678
1250,Temple Hill Rd at Weldon Dr,677
1024,Raleigh Rd at St Barnabas Rd,670
387,Brooks Drive at Ridley Street,666
277,Baltimore Ave at Queensbury Rd,665
1023,Raleigh Rd at Olson St,665
630,Hamilton St at 35th Ave,659
729,Kipling Pkwy at Ritchie Rd,650
818,Manor at Victoria Park,649
1243,Temple Hill Rd at Portal Ave,646
832,Marlboro Pike at Walters Ln,645
1282,Walker Mill Rd at Rochell Ave,645
611,Greenbelt Station Parkway at S. Center Drive,641
225,Apollo Dr at Lottsford Rd,641
645,Hanover Pkwy at Greenway Center Dr,640
507,County Service Building,637
492,Columbia Park Rd at South Club Dr,636
203,Allentown Rd at Old Branch Ave,634
812,Madison St at Timber Creek Dr,629
1181,Southway at Crescent Rd,626
539,Donnell Drive at Target Store,626
931,Owens Rd at Kennebec St,619
889,Old Alexandria Ferry Rd at Woodyard Rd,618
1242,Temple Hill Rd at Plata St,611
1074,Ritchie Station Court Bus Stop #2,605
167,Addison Rd Metrorail - Arrival,602
637,Hampton Park Boulevard at Alaking Ct,599
793,MLK Jr Hwy at 65th Ave,597
314,Bock Rd at Technology Recreation Complex,593
1071,Ritchie Rd at Vineyard Dr,591
635,Hamilton St at 3900,591
855,Morris Ave at Maxwell Dr,584
528,District Heights Pkwy at Breton Dr,581
67,40plgall_nb,580
571,Fisher Rd at St. Moritz Dr,579
718,Kanawha St at 15th Ave,577
944,Oxon Hill Rd at 6400 Clipper Way,572
15,16th Ave at Cypress Creek Dr - in,572
1156,Southern Ave at 9th St SE,569
554,Elm St at Gov Oden Bowie Dr,562
596,Good Luck Rd at Silk Tree Dr,561
14,16th Ave at Cypress Creek Dr,561
490,Columbia Park Rd at Marshall Pl,561
737,Lamont Dr at Donoghue Dr,559
640,Hampton Park Boulevard at Hampton Mall Dr,557
1096,Riverdale Rd at Tanglewood Dr,556
742,Lamont Dr at Quentin St,555
548,East-West Hwy at Metro Center Dr,554
991,Piscataway Rd at Old Branch Ave,554
1027,Ray Rd at Cypress Creek Dr - in,552
25,2400 Chillum Rd,552
1028,Ray Rd at Madison St,551
939,Oxon Hill Fringe Parking Lot Bus Bay B,550
408,Campus Way at PGCC Perimeter Rd,549
862,Nalley Rd at Green Willow Ct,547
59,38th St at Shepherd St,541
1052,Ritchie Rd at #2918,541
489,Columbia Park Rd at Columbia Pl,540
614,Greenbrook Dr at Hanover Pkwy,538
1142,Sheriff Rd at William Paca School - out,537
925,Opposite of Rose Croft Shopping Center,537
406,Campus Way South at PGCC Perimeter Rd,536
860,Nalley Rd at Crane Pl,535
726,Kipling Pkwy at Harwood Rd,531
221,Annapolis Rd at Bladensburg Elem. School,530
935,Owens Rd at Southern Ave,526
84,42nd Ave at Madison St,520
199,Allentown Rd at Coolridge Rd,518
668,Highview Pl at Keyworth Ct,518
381,Brinkley Rd at Temple Hill Rd,517
186,Ager Rd at 29th Ave,513
814,Mandan Rd at Canning Terr,513
861,Nalley Rd at East Nalley Rd,511
64,38th St at Windom Rd,506
1127,Sheila Ln at Mike Shapiro Dr,504
851,Merrimac St at 14th Ave,503
262,Baltimore Ave at East-West Hwy,502
590,Good Luck Rd at Cathedral Ave,500
647,Hanover Pkwy at Hunting Ridge Club Apts,498
777,Largo Rd at Water Fowl Way,497
1280,Walker Mill Drive at Shady Glen Drive,496
753,Landover Rd at Annapolis Rd,496
326,Brandywine Rd at Woodyard Rd,492
244,Auburn Ave at Chestnut Ave,492
608,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,490
981,Pennsylvania Ave at Penn Crossing Dr,488
831,Marlboro Pike at Upland Ave,487
534,Dodge Park Rd at Landover Rd,486
321,Brandywine Rd at Cork Tree Way,484
1131,Sheriff Rd at Dutch Village Dr,482
402,Campus Way South at Central Ave,481
427,Central Ave at Bayou Ave,479
561,Fairlawn St at Colebrooke Dr,479
95,5150 Annapolis Rd,479
1203,Stuart Lane at Surratts Road,475
71,4112 Whitehall Square Apts,474
20,23rd Ave at Drexel St,474
894,Old Branch Ave at Arbutus Ln,473
1149,Silver Hill Rd at Suitland Rd,469
1126,Sargent Rd at Rollingcrest Commons,468
393,CAMPUS WAY NORTH AT LADY GROVE ROAD,467
592,Good Luck Rd at Dawnwood Dr,466
299,Benning Rd at Drum Ave,466
1197,St Barnabas Rd at Raleigh Rd,464
801,MLK Jr Hwy at Columbia Park Rd,461
169,Addison Rd at Adak St,460
918,Old Pike Way at Dower House Rd,460
650,Hanover Pkwy at Ora Glen Dr,459
184,Ager Rd and Oglethorpe St,457
600,Greenbelt Metro Dr at Cherrywood Ln,456
5,1301 McCormick Dr,456
978,Pennsy Drive at Landover Metro Station,456
377,Brinkley Rd at Rose Croft Shopping Center,456
698,Indian Head Highway at Audrey Ln,454
924,Olson St at Norcross St,454
953,Oxon Hill Rd at Rivertown Commons(6135),452
380,Brinkley Rd at Summerhill Rd,450
285,Baltimore Ave at University Blvd,447
1266,Valley Trail Ln at Catesby Ct,446
46,3404 Dodge Park Rd,445
1069,Ritchie Rd at Roslyn Ave,443
1298,Woodyard Rd at Canberra Dr,443
1210,Suitland Rd at 4412 Suitland Rd,441
566,Fisher Rd at Clow Ct,440
509,Coventry Way at Old Alexandria Ferry Rd,440
16,23rd Ave at  Beechwood Rd,439
722,Kipling Pkwy at Brewton St,439
1154,Southern Ave at 13th St SE,439
1246,Temple Hill Rd at Spring Ter,435
853,Mike Shapiro Dr at Sheila Ln,435
495,Columbia Park Rd at Virginia Ave,434
267,Baltimore Ave at Hartwick Rd,434
1066,Ritchie Rd at Ritchie Dr,432
292,Belcrest Rd at Queens Chapel Rd,432
18,23rd Ave at Banning Pl,429
1026,Ray Rd at Cypress Creek Dr,427
565,Fisher Rd at Brinkley Station Dr,426
530,District Heights Pkwy at Marbury Ct (W),426
224,Apollo Dr at Arena Dr,425
428,Central Ave at Brightseat Rd,425
471,Chillum Rd at Buchanan St,423
32,28th Pkwy at Afton St,420
1012,Queensbury Rd at 44th Ave,420
945,Oxon Hill Rd at John Hanson Ln,418
912,Old Marlboro Pike at Roblee Dr,416
878,OXON HILL FRINGE PARK AND RIDE LOT AT BUS BAY F,415
379,Brinkley Rd at Shopton Pl,415
885,Old Alexandria Ferry Rd at Highland Meadows Dr,415
464,Cheverly Ave at Montrose Rd,412
815,Mandan Rd at Greenbelt Rd,409
811,Madison St at Ray Rd,409
327,Brandywine Road @ Groveton Drive,406
1063,Ritchie Rd at Napier Dr,404
809,MONUMENT AVE @ MGM CASINO,404
826,Marlboro Pike at Melwood Mall,404
1164,Southern Ave at Greater SE Hospital,402
330,Brandywine Road @ Surrats Road,400
833,Marlboro Pike at Whitney Pl,399
1269,Village Dr West at Clairfield Ln,399
1278,WILSON BRIDGE DRIVE,398
504,County Rd at Elmhurst St,398
560,Fairlawn St at 28th Pkwy,397
823,Marlboro Pike at Kipling Pkwy,396
527,District Heights Pkwy at Addison Rd S,394
1039,Rhode Island Ave at Bunker Hill Rd,394
1249,Temple Hill Rd at Temple Hills Trailer Pk,394
840,Maxwell Dr at Allentown Rd,393
1165,Southern Ave at Gunther St,390
1241,Temple Hill Rd at Piscataway Rd,390
708,Jericho Residences (Southbound),387
335,Breezewood Dr at Cherrywood Ln,386
847,McCormick Dr at UMUC,385
883,Old Alexandria Ferry Rd at Bellefonte Ln,385
1056,Ritchie Rd at D'arcy Rd,385
1102,Rollins Ave at District Ave,384
241,Auburn Ave at 1st St,369
664,Hastings Dr at Valley Park Rd,368
541,Dunmore Pl at Edgeworth Dr,368
961,PALMER ROAD & INDIAN HEAD HIGHWAY,365
113,7600 Riverdale Rd,365
89,4412 Suitland Rd (Opposite),364
1229,Temple Hill Rd at Cardwell Dr,363
884,Old Alexandria Ferry Rd at Heflin Dr,362
1003,Queens Chapel Rd at Hamilton St,361
30,28th Ave at Kenton Pl,361
302,Bladensburg Rd at 38th St,359
1095,Riverdale Rd at Mahoney Dr,358
220,Annapolis Rd at 85th Ave,355
696,Indian Head Highway (MD. RTE. 210) at Southern Ave,354
951,Oxon Hill Rd at Oxon Hill Plaza(6201),354
271,Baltimore Ave at Knox Rd,354
114,7602 Riverdale Rd,352
47,3417 Dodge Park Rd,350
523,Denise Dr at Epworth Way,350
962,PALMER ROAD & OLD PALMER ROAD,350
679,Hillside Rd at Northway,349
863,Nalley Rd at Kaplan Ct,347
1172,Southern Ave at UNITED MEDICAL CENTER,347
397,Campus Way North at St Joseph's Dr,347
1240,Temple Hill Rd at Old Temple Hill Rd,346
136,9400 Peppercorn Pl,346
99,54th Ave at Jefferson St,343
261,Baltimore Ave at Cherry Hill Road,342
23,23rd Ave at Sheridan St,341
239,Ashwood Dr at Ritche Rd,340
521,Denise Dr at Banister Way,339
567,Fisher Rd at Damian Dr,338
473,Chillum Rd at Queens Chapel Rd,338
813,Mandan Rd at 7648 Mandan Rd,338
1304,Zachery St at Lottsford Rd,338
13,15th Ave at University Blvd,336
654,Hanover Pkwy at Village Park Dr,335
201,Allentown Rd at Karen Anne Dr,335
211,Allentown Rd at Westchester Ct,334
921,Old Silver Hill Rd at Parkland Ct (E),334
1062,Ritchie Rd at Mane Ln,332
1065,Ritchie Rd at Putnam Ln,331
585,Goddard Space Flight Center Main Gate (Northbound),327
510,Crescent Rd at 58 Court,327
773,Largo Rd at Largo Landing,326
908,Old Marlboro Pike at Melwood Rd,326
1036,Rhode Island Ave at 42nd Pl,324
700,Indian Head Highway at Southern Ave,323
263,Baltimore Ave at Erie St,323
195,Allentown Rd at 5711 AFCU Allentown Rd,323
802,MLK Jr Hwy at Glen Willow Dr,320
1284,Walker Mill Rd at Tanow Pl,319
1104,Rollins Ave at Rollins Ln,318
78,425 Brightseat Rd,317
215,Annapolis Rd at 48th St,317
877,OLD BRANCH AVENUE & ALLENTOWN WAY,314
1202,Stars Entrance Gaylord Hotel at National Harbor Blvd,310
529,District Heights Pkwy at Marbury Ct (E),309
727,Kipling Pkwy at Marbury Dr,309
1145,Silver Hill Rd at Parkway Terrace Dr,308
68,40th Pl at Crittenden,308
959,PALMER ROAD & DEVON HILLS DRIVE,307
75,4192 Whitehall Square Apts,306
185,Ager Rd at 23rd Ave,305
1204,Stuart Ln at Topaz Court,304
615,Greenbrook Dr at Ora Glen Dr,304
707,Jericho Residences,304
238,Ashwood Dr at Dunmore Pl,303
764,Largo Rd at Buck Ln,302
1125,Saint Barnabas Rd at John Hanson Ln,302
500,Council Dr at Kipling Pkwy,300
655,Harry S Truman Dr at Birdie Ln,300
328,Brandywine Road @ Killarney Street,299
660,Harry S. Truman Dr at Lottsford,299
569,Fisher Rd at Heather Hill,298
1138,Sheriff Rd at Harvey Dr,298
1235,Temple Hill Rd at Kirbywood St,298
76,4205  Suitland Rd,298
468,Chillum Rd at 18th Ave - in,296
1234,Temple Hill Rd at Henderson Rd,295
52,38th St at Allison St,295
1160,Southern Ave at C St,295
305,Bladensburg Rd at 41st Ave,294
410,Capitol Heights - Arrival,294
1171,Southern Ave at Southview Dr,293
506,County Rd at Valley Brook Apts,293
716,Judge's Dr at Pratt St,292
871,New Carrollton Station - Arrival,292
375,Brinkley Rd at Morton Place,292
1010,Queensbury Rd at 41st Ave,290
1137,Sheriff Rd at Glen Willow Dr - South Side,290
431,Central Ave at Daimler Dr,290
549,East-West Hwy at Toledo Ter,288
1053,Ritchie Rd at Alberta Dr,288
1073,Ritchie Station Court Bus Stop #1,287
643,Hanover Pkwy at Greenbelt Rd,285
301,Bishopmill Dr at Village Dr West,285
719,Kenilworth Ave at Nicholson St,283
248,Auth Rd at Carswell Ave,283
703,Jefferson St at Kenilworth Ave,283
107,60th Ave at Greenbelt Rd,281
1110,SOUTHERN AVENUE & CHESAPEAKE STREET SE,280
289,Belcrest Rd at PG Plaza Entrance,279
807,MLK Jr Hwy at Sheriff Rd,278
275,Baltimore Ave at Oglethorpe St,278
303,Bladensburg Rd at 40th Ave,278
1170,Southern Ave at Premisies 800 (Park Southern Apts),277
514,Crescent Rd at Ridge Rd,276
790,Lottsford Rd at Zachery St,274
691,INDIAN HEAD HWY AT FORT WASHINGTON MANOR SENIOR RESIDENCES,273
1169,Southern Ave at Park Southern Apts,272
446,Central Ave at Yeoman Pl,272
315,Bock Rd at Wolf St,271
1158,Southern Ave at Barnaby Road,270
776,Largo Rd at Town Farm Rd,270
58,38th St at Perry St,268
350,Brightseat Rd at Glen Valley Dr,268
747,Landover Rd at 55th Ave,268
364,Brinkley Rd at Farmer Dr,267
360,Brinkley Rd at Brinkley House W Ent,267
1245,Temple Hill Rd at Santeetlah Dr,265
633,Hamilton St at 38th Ave,265
368,Brinkley Rd at Huntley Square Dr,264
1157,Southern Ave at B St SE,263
661,Harvey Dr at Sheriff Rd,262
191,Ager Rd at Oglethorpe St,262
578,Gallatin St at 43rd Ave,262
259,Baltimore Ave at Campus Dr,259
998,Prince George's Plaza - Arrival,257
963,PALMER ROAD & POTOMAC HEIGHTS DRIVE,257
202,Allentown Rd at Kingston Dr,256
109,60th Ave at Seminole St,256
1174,Southern Ave opposite B St SE,255
1237,Temple Hill Rd at Lambert Dr,255
376,Brinkley Rd at Roberts Dr,255
1194,St Barnabas Rd at Hagan Rd,255
300,Benning Rd at Southern Ave,253
564,Fieldstone Way,251
334,Brandywine Road at Surrats Road,250
1075,Ritchie-Marlboro Rd & Sansbury Rd,250
205,Allentown Rd at Opp. Leon St,249
778,Largo Rd at Watkins Park Dr,249
836,Matapeake Business Dr at Target Store (opposite),248
1274,Village Green Dr at Belle Haven Dr,247
1276,Volta Ave at 39th Pl,246
1177,Southern Rd at Wheeler Rd,244
1090,Riverdale Rd at 67th Pl,244
943,Oxon Hill Rd at 6246 Oxon Hill Rd,243
1017,Queensbury Rd at Rhode Island Ave,243
29,28th Ave at Keith St,242
280,Baltimore Ave at Rossborough Ln,242
213,Allentown Way at Allentown Rd,242
12,14th Ave at Langley Way,241
941,Oxon Hill Rd at 6192 Oxon Hill Rd,241
1105,Rollins Ave at Upcot Ct,240
796,MLK Jr Hwy at Booker Dr,239
105,5846 ALLENTOWN WAY,239
7,1380 Southern Ave,239
1013,Queensbury Rd at 44th Pl,239
792,MERCANTILE LN AT TECHNOLOGY WAY,239
448,Chatsfield Way at Palmerton Ter,238
938,Owens Rd at Woodland Blvd,238
209,Allentown Rd at Waldran Ave,237
678,Hillside Rd at Laurel Hill Rd,237
249,Auth Rd at Clacton Ave,236
399,Campus Way S at Prince Place,235
547,East Swan Creek at Indian Head Hwy,235
642,Hanover Pkwy at Green Manor Ct,234
771,Largo Rd at Kettering Dr,234
268,Baltimore Ave at Hollywood Rd,234
390,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,233
1267,Valley Trail Ln at Romford Dr,233
990,Piscataway Rd at Hardesty Dr,233
391,CAMPUS WAY NORTH AT BYWARD BLVD,232
1155,Southern Ave at 6th St SE,231
629,Hamilton St at 31st Ave - in,230
69,40th Pl at Gallatin St,230
269,Baltimore Ave at Indian Ln,230
351,Brightseat Rd at Glenarden Pkwy,228
589,Goddard Space Flight Center Visitors Center (Southbound),228
503,County Rd at Belwood St,226
933,Owens Rd at Norlinda Ave,226
104,5805 Queens Chapel Rd,225
680,Hillside Rd at Research Rd,224
634,Hamilton St at 38th St,224
766,Largo Rd at Drumsheugh Ln,223
135,8951 Lottsford Rd (opposite),222
553,Edgeworth Dr at Ritchie Rd,222
1238,Temple Hill Rd at Megan Dr,221
1097,Riverdale Rd at Taylor Rd,219
1001,Quebec St at 58th Ave,219
512,Crescent Rd at Lastner Ln,218
1128,Sheriff Rd at Belle Haven Dr,216
307,Bladensburg Rd at 43rd Ave,216
797,MLK Jr Hwy at Cabin Branch Dr,215
217,Annapolis Rd at 53rd St,214
494,Columbia Park Rd at Stanford Pl,213
986,Peppermill Dr at Pepper St,213
34,28th Pkwy at Duggan St,213
625,Gwendolyn Britt Center,212
886,Old Alexandria Ferry Rd at Malcolm Rd,212
1040,Rhode Island Ave at County Service Building - NB,211
586,Goddard Space Flight Center Main Gate (PM Southbound),210
272,Baltimore Ave at Lakeland Rd,209
108,60th Ave at Quebec St,209
942,Oxon Hill Rd at 6201 Oxon Hill Plaza,208
53,38th St at Bunker Hill Rd,207
31,28th Pkwy at 27th Ave,205
971,PGCC Perimeter Rd at Child Care Facility,205
1057,Ritchie Rd at Dennis Ct,205
189,Ager Rd at Nicholson,205
864,Nalley Rd at Michele Ct,204
435,Central Ave at Norair Ave,204
666,Highview Pl at Brooke Rd,203
607,Greenbelt Rd at Walker Dr,203
1045,Rhode Island Ave at Volta Ave,203
794,MLK Jr Hwy at 69th Pl,202
1167,Southern Ave at Opposite 1380 Southern Ave,202
1208,Suitland Metro - Arrival,201
170,Addison Rd at Adel St,201
24,23rd Ave at Woodberry St,201
926,Ora Glen Dr at Mandan Rd,201
273,Baltimore Ave at Longfellow St,200
623,Greenway Center (PM Northbound),198
1255,Truman Manor,198
803,MLK Jr Hwy at Greig St,198
281,Baltimore Ave at Sheridan St,198
460,Cheverly Ave at Forest Rd,197
1064,Ritchie Rd at Overton Dr,197
1265,Valley Trail Ln at Bain Dr-West,196
298,Benning Rd at Abel Ave,195
304,Bladensburg Rd at 40th Pl,195
461,Cheverly Ave at Inwood St,195
858,Mt Rainier Terminal - Arrival,195
638,Hampton Park Boulevard at East Hampton Dr,194
1085,Riverdale Rd at 61st Pl,194
1055,Ritchie Rd at Central Ave,193
891,Old Branch Ave at 6811 Old Branch Ave (Opposite),193
306,Bladensburg Rd at 42nd Ave,192
767,Largo Rd at Eton Dr,192
228,Ardwick-Ardmore Rd at MLK Jr Hwy,191
177,Addison Rd at James Farmer Way,191
1049,Ridgefield Blvd at Stretford Ct,191
1228,Temple Hill Rd at Badger Ave,190
1132,Sheriff Rd at Dutch Village Dr - out,189
1004,Queens Chapel Rd at Lancer Dr,189
1263,Upshur St at 30th St,189
265,Baltimore Ave at Hamilton St,189
365,Brinkley Rd at George Washington Dr,188
789,Lottsford Rd at McCormick Dr,188
763,Largo Rd at Brock Rd,187
83,42nd Ave at Jefferson St,187
74,414 Brightseat Rd,186
848,McCormick Dr at UMUC (opposite),186
204,Allentown Rd at Opp. 5711 AFCU Allentown Rd,185
749,Landover Rd at 57th Ave,185
993,Pontiac St at 60th Ave,184
149,ALLENTOWN ROAD & LANHAM LANE,184
901,Old Marlboro Pike at Brooklee Dr,183
520,Davey St at Urey Pl,183
11,14th Ave at Kanawha St,182
236,Arundel Rd at 29th St,182
418,Capitol Heights Blvd at Heath St,182
979,Pennsylvania Ave at Forestville Rd,181
829,Marlboro Pike at Tucker's Restaurant,181
641,Hampton Park Boulevard at Steeplechase,180
1264,Valley Trail Ln at Bain Dr-East,180
1122,Saint Barnabas Rd at Barrowfield Rd,179
1103,Rollins Ave at Hanlon Street,179
349,Brightseat Rd at Girard St,178
996,Pontiac St at Edmonston Rd,178
563,Farragut St at Rhode Island Ave,178
955,Oxon Hill Road at Harborview Ave,177
1041,Rhode Island Ave at County Service Building - SB,177
1139,Sheriff Rd at MLK Highway,176
325,Brandywine Rd at Old Marbury Rd,175
438,Central Ave at Rollins Ave,175
1133,Sheriff Rd at Eaton Square Apartments,174
194,Ager Road at Roanoke St,174
270,Baltimore Ave at Jefferson St,173
673,Hill Rd at Willow Hill Dr,173
398,Campus Way North at Tulip Tree Dr,173
624,Greenway Center (PM Southbound),172
4,1100 Owens Rd,172
969,PGCC Perimeter Rd at Bickford,171
200,Allentown Rd at Dodge Ln,171
887,Old Alexandria Ferry Rd at Mike Shapiro Dr,171
677,Hillside Rd at Hillside Court #6,170
505,County Rd at Foster St,170
371,Brinkley Rd at Larwin Dr,170
804,MLK Jr Hwy at Hill Rd,168
