,stops,boardings,alightings
129,S FREDERICK AVE & CEDAR AVE,149,122
88,ROCKVILLE PIKE & COUNTRY CLUB RD,72,121
28,FREDERICK RD & MAGNOLIA DR,22,120
7,CONTOUR RD & HORIZON RUN RD,103,118
137,S FREDERICK AVE & ROSEMONT DR,45,117
75,OBSERVATION DR & OBSERVATION CT,141,115
122,ROCKVILLE PIKE & WOODMONT STATION,136,111
67,N FREDERICK RD & GUNNERS BRANCH RD,244,109
52,LOST KNIFE RD & CIDER MILL APTS,233,109
22,FREDERICK RD & GERMANTOWN RD,101,105
97,ROCKVILLE PIKE & HILLERY WAY,36,104
62,N FREDERICK AVE & MARYLAND AVE,68,100
54,LOST KNIFE RD & MONTGOMERY VILLAGE,95,98
142,S WASHINGTON ST & COURT HOUSE SQ,8,96
3,CHRISTOPHER AVE & HELLINGLY PL,99,95
66,N FREDERICK AVE & WHETSTONE DR,99,93
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,296,92
14,E MIDDLE LN & WASHINGTON ST,2,91
11,E JEFFERSON ST & MARYLAND AVE,68,89
55,MANNAKEE ST & CAMPUS (E) DR,19,86
135,S FREDERICK AVE & N WESTLAND DR,238,83
131,S FREDERICK AVE & DEER PARK DR,203,83
141,S FREDERICK AVE & WESTLAND DR,78,82
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,387,77
13,E MIDDLE LN & MONROE ST,116,73
17,FREDERICK RD & @20010,102,70
116,ROCKVILLE PIKE & STRATHMORE AVE,55,69
23,FREDERICK RD & GUDE DR,37,65
155,TRAVIS AVE & WATKINS MILL RD,71,64
127,RUSSELL AVE & WATKINS MILL RD,59,63
81,ROCKVILLE PIKE & BELLEVUE DR,23,62
98,ROCKVILLE PIKE & HOYA ST,143,62
9,CONTOUR RD & ODENDHAL AVE,82,58
132,S FREDERICK AVE & DEER PARK RD,115,57
136,S FREDERICK AVE & O'NEILL DR,43,55
156,TUCKERMAN LN & ROCKVILLE PIKE,11,54
94,ROCKVILLE PIKE & GROSVENOR LN,67,53
1,CHRISTOPHER AVE & FEATHERTREE WAY,96,51
148,SHAKESPEARE BLVD & ETON MANOR DR,312,50
86,ROCKVILLE PIKE & CEDAR LN,75,48
152,SOMERVILLE DR & REDLAND RD,68,47
8,CONTOUR RD & LOST KNIFE RD,214,45
147,SHAKESPEARE BLVD & AMBER RIDGE DR,114,43
25,FREDERICK RD & GUNNERS DR,37,42
10,CONTOUR RD & TUNSTALL DR,89,41
160,WATKINS MILL RD & TRAVIS LN,58,40
65,N FREDERICK AVE & TRAVIS AVE,36,40
35,FREDERICK RD & RIDGEMONT AVE,25,39
27,FREDERICK RD & INDIANOLA DR,24,38
40,FREDERICK RD & WHEATFIELD DR,54,34
93,ROCKVILLE PIKE & FLANDERS AVE,23,34
121,ROCKVILLE PIKE & WICKSHIRE WAY,14,33
30,FREDERICK RD & MIDWAY CENTER,35,33
143,S WASHINGTON ST & MONTGOMERY AVE,57,32
126,RUSSELL AVE & CHRISTOPHER AVE,16,30
26,FREDERICK RD & HIGH POINT DR,34,28
159,WATKINS MILL RD & TRAVIS AVE,47,25
12,E MIDDLE LN & MARYLAND AVE,156,24
50,KING FARM BLVD & FREDERICK RD,8,24
82,ROCKVILLE PIKE & BETH MED PRK DR,125,23
19,FREDERICK RD & ARCHDALE RD,97,22
146,SHADYGROVE METRO LOT  & METRO LOT,5,22
80,ROCKVILLE PIKE & ALTA VISTA RD,47,21
49,HUNGERFORD DR & N CAMPUS DR,41,21
15,FREDERICK RD & @15,2,21
39,FREDERICK RD & WATKINS POND BLVD,27,21
2,CHRISTOPHER AVE & GALLOP HILL RD,147,20
73,OBSERVATION DR & BOLAND FARM RD,40,20
85,ROCKVILLE PIKE & BROAD BROOK DR,7,19
42,GERMANTOWN RD & OBSERVATION DR,31,19
21,FREDERICK RD & COLLINS DR,14,16
76,OBSERVATION DR & PANTHER RIDGE DR,26,16
31,FREDERICK RD & NEELSVILLE CHURCH RD,7,15
72,OBSERVATION DR & @20457 (SENECA MEA,7,14
115,ROCKVILLE PIKE & SOUTH WOOD RD,105,14
38,FREDERICK RD & SHAKESPEARE BLVD,63,13
16,FREDERICK RD & @15501,10,12
48,HUNGERFORD DR & MANNAKEE ST,31,12
41,GERMANTOWN RD & GOLDENROD LN,15,11
0,CHAPMAN AVE & BOUIC AVE,1,11
90,ROCKVILLE PIKE & ELSMERE AVE,18,9
140,S FREDERICK AVE & VIRGINIA DR,19,8
130,S FREDERICK AVE & CENTRAL AVE,33,7
106,ROCKVILLE PIKE & NORTH WOOD DR,101,6
95,ROCKVILLE PIKE & GROSVENOR STATION,13,5
100,ROCKVILLE PIKE & LOCUST HILL RD,2,4
46,HUNGERFORD DR & @700,2,2
56,MANNAKEE ST & CAMPUS DR,54,2
