,stops,boardings
66,N FREDERICK AVE & WHETSTONE DR,782
12,E MIDDLE LN & MARYLAND AVE,752
108,ROCKVILLE PIKE & PIKE CENTER,734
91,ROCKVILLE PIKE & EXECUTIVE BLVD,693
75,OBSERVATION DR & OBSERVATION CT,671
1,CHRISTOPHER AVE & FEATHERTREE WAY,660
7,CONTOUR RD & HORIZON RUN RD,645
115,ROCKVILLE PIKE & SOUTH WOOD RD,634
22,FREDERICK RD & GERMANTOWN RD,627
17,FREDERICK RD & @20010,624
10,CONTOUR RD & TUNSTALL DR,551
30,FREDERICK RD & MIDWAY CENTER,541
149,SHAKESPEARE BLVD & FREDERICK RD,536
71,N WASHINGTON ST & MIDDLE LN,531
9,CONTOUR RD & ODENDHAL AVE,529
38,FREDERICK RD & SHAKESPEARE BLVD,493
119,ROCKVILLE PIKE & THOMPSON AVE,478
3,CHRISTOPHER AVE & HELLINGLY PL,474
106,ROCKVILLE PIKE & NORTH WOOD DR,468
13,E MIDDLE LN & MONROE ST,450
137,S FREDERICK AVE & ROSEMONT DR,449
122,ROCKVILLE PIKE & WOODMONT STATION,439
53,LOST KNIFE RD & CONTOUR RD,437
159,WATKINS MILL RD & TRAVIS AVE,404
82,ROCKVILLE PIKE & BETH MED PRK DR,386
130,S FREDERICK AVE & CENTRAL AVE,382
160,WATKINS MILL RD & TRAVIS LN,362
155,TRAVIS AVE & WATKINS MILL RD,360
127,RUSSELL AVE & WATKINS MILL RD,337
95,ROCKVILLE PIKE & GROSVENOR STATION,323
92,ROCKVILLE PIKE & FIRST ST,320
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,312
35,FREDERICK RD & RIDGEMONT AVE,305
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,295
152,SOMERVILLE DR & REDLAND RD,283
55,MANNAKEE ST & CAMPUS (E) DR,282
23,FREDERICK RD & GUDE DR,278
57,MANNAKEE ST & HUNGERFORD DR,257
11,E JEFFERSON ST & MARYLAND AVE,256
136,S FREDERICK AVE & O'NEILL DR,236
28,FREDERICK RD & MAGNOLIA DR,224
41,GERMANTOWN RD & GOLDENROD LN,220
39,FREDERICK RD & WATKINS POND BLVD,218
27,FREDERICK RD & INDIANOLA DR,202
116,ROCKVILLE PIKE & STRATHMORE AVE,201
86,ROCKVILLE PIKE & CEDAR LN,198
65,N FREDERICK AVE & TRAVIS AVE,189
88,ROCKVILLE PIKE & COUNTRY CLUB RD,188
140,S FREDERICK AVE & VIRGINIA DR,178
73,OBSERVATION DR & BOLAND FARM RD,175
76,OBSERVATION DR & PANTHER RIDGE DR,173
48,HUNGERFORD DR & MANNAKEE ST,159
143,S WASHINGTON ST & MONTGOMERY AVE,145
42,GERMANTOWN RD & OBSERVATION DR,143
40,FREDERICK RD & WHEATFIELD DR,137
94,ROCKVILLE PIKE & GROSVENOR LN,129
25,FREDERICK RD & GUNNERS DR,125
126,RUSSELL AVE & CHRISTOPHER AVE,122
50,KING FARM BLVD & FREDERICK RD,122
146,SHADYGROVE METRO LOT  & METRO LOT,118
103,ROCKVILLE PIKE & NEW ST,110
26,FREDERICK RD & HIGH POINT DR,102
74,OBSERVATION DR & MONTGOMERY COLLEGE,95
93,ROCKVILLE PIKE & FLANDERS AVE,89
121,ROCKVILLE PIKE & WICKSHIRE WAY,89
81,ROCKVILLE PIKE & BELLEVUE DR,85
80,ROCKVILLE PIKE & ALTA VISTA RD,80
72,OBSERVATION DR & @20457 (SENECA MEA,77
49,HUNGERFORD DR & N CAMPUS DR,76
45,HALPINE RD & ROCKVILLE PIKE,76
56,MANNAKEE ST & CAMPUS DR,75
21,FREDERICK RD & COLLINS DR,73
16,FREDERICK RD & @15501,66
14,E MIDDLE LN & WASHINGTON ST,65
97,ROCKVILLE PIKE & HILLERY WAY,60
105,ROCKVILLE PIKE & NORTH DR,45
90,ROCKVILLE PIKE & ELSMERE AVE,42
15,FREDERICK RD & @15,40
85,ROCKVILLE PIKE & BROAD BROOK DR,28
100,ROCKVILLE PIKE & LOCUST HILL RD,27
156,TUCKERMAN LN & ROCKVILLE PIKE,16
142,S WASHINGTON ST & COURT HOUSE SQ,15
31,FREDERICK RD & NEELSVILLE CHURCH RD,14
113,ROCKVILLE PIKE & ROSE AVE,14
46,HUNGERFORD DR & @700,10
0,CHAPMAN AVE & BOUIC AVE,4
