,stops,route,early,on_time,late
125,ROCKVILLE PIKE & WICKSHIRE WAY,46,26.0,33.0,11.0
126,ROCKVILLE PIKE & WOODMONT STATION,46,138.0,380.0,95.0
127,ROCKVILLE PIKE & WOOTTON PKWY,46,316.0,779.0,135.0
128,ROCKVILLE STATION  & BAY A - WEST,46,10216.0,18172.0,8982.0
129,ROCKVILLE STATION  & BAY B - WEST,55,179.0,332.0,156.0
130,RUSSELL AVE & CHRISTOPHER AVE,55,1.0,29.0,12.0
131,RUSSELL AVE & WATKINS MILL RD,55,31.0,149.0,19.0
132,S CAMPUS DR & CAMPUS DR,46,9612.0,14185.0,2690.0
133,S CAMPUS DR & CAMPUS DR,55,11.0,31.0,15.0
134,S FREDERICK AVE & CEDAR AVE,55,236.0,444.0,73.0
135,S FREDERICK AVE & CENTRAL AVE,55,24.0,138.0,25.0
136,S FREDERICK AVE & DEER PARK DR,55,122.0,777.0,127.0
137,S FREDERICK AVE & DEER PARK RD,55,316.0,483.0,62.0
138,S FREDERICK AVE & EDUCATION BLVD,55,367.0,1332.0,190.0
139,S FREDERICK AVE & FULKS CORNER AVE,55,11.0,7.0,6.0
140,S FREDERICK AVE & N WESTLAND DR,55,118.0,667.0,144.0
141,S FREDERICK AVE & O'NEILL DR,55,70.0,183.0,17.0
142,S FREDERICK AVE & ROSEMONT DR,55,57.0,148.0,26.0
143,S FREDERICK AVE & S WESTLAND DR,55,83.0,586.0,103.0
144,S FREDERICK AVE & SUMMIT AVE,55,448.0,1426.0,167.0
145,S FREDERICK AVE & VIRGINIA DR,55,41.0,82.0,12.0
146,S FREDERICK AVE & WESTLAND DR,55,110.0,274.0,45.0
147,S WASHINGTON ST & COURT HOUSE SQ,46,18.0,45.0,13.0
148,S WASHINGTON ST & MONTGOMERY AVE,46,97.0,78.0,29.0
149,SHADY GROVE STATION  & BAY A - WEST,55,95.0,300.0,173.0
150,SHADY GROVE STATION  & BAY C - EAST,100,5671.0,13600.0,1970.0
