,stops,boardings,alightings
105,ROCKVILLE PIKE & NORTH DR,29,762
95,ROCKVILLE PIKE & GROSVENOR STATION,27,17
50,KING FARM BLVD & FREDERICK RD,21,82
14,E MIDDLE LN & WASHINGTON ST,14,411
156,TUCKERMAN LN & ROCKVILLE PIKE,11,281
100,ROCKVILLE PIKE & LOCUST HILL RD,9,11
146,SHADYGROVE METRO LOT  & METRO LOT,9,91
46,HUNGERFORD DR & @700,4,1
0,CHAPMAN AVE & BOUIC AVE,4,14
15,FREDERICK RD & @15,3,55
