,stops,boardings,alightings
16,FREDERICK RD & @15501,19.0,45.0
12,E MIDDLE LN & MARYLAND AVE,363.0,45.0
25,FREDERICK RD & HIGH POINT DR,110.0,44.0
146,WATKINS MILL RD & TRAVIS AVE,90.0,36.0
72,ROCKVILLE PIKE & ALTA VISTA RD,46.0,35.0
39,GERMANTOWN RD & OBSERVATION DR,122.0,29.0
121,S FREDERICK AVE & CENTRAL AVE,61.0,27.0
19,FREDERICK RD & ARCHDALE RD,193.0,26.0
98,ROCKVILLE PIKE & NORTH WOOD DR,174.0,24.0
131,S FREDERICK AVE & VIRGINIA DR,61.0,23.0
53,MANNAKEE ST & CAMPUS DR,76.0,23.0
0,CHAPMAN AVE & BOUIC AVE,3.0,22.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,231.0,19.0
69,ODENDHAL AVE & LOST KNIFE RD,15.0,17.0
82,ROCKVILLE PIKE & ELSMERE AVE,51.0,16.0
15,FREDERICK RD & @15,10.0,16.0
87,ROCKVILLE PIKE & GROSVENOR STATION,30.0,15.0
92,ROCKVILLE PIKE & LOCUST HILL RD,3.0,8.0
105,ROCKVILLE PIKE & ROSE AVE,1.0,7.0
43,HUNGERFORD DR & @700,1.0,3.0
