,stop,boardings,alightings
888,New Carrollton Station Bay F,6051,184
371,Brinkley Rd at Kildare Ct,61,184
838,Marlboro Pike at Glacier Ave,192,184
1195,Southern Ave at H St,88,184
871,Morris Ave at Maxwell Dr,156,183
948,Opp. 1300 McCormick Dr,65,183
862,McCormick Dr at UMUC,161,182
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,174,182
787,Largo Rd at Opp. Town Farm Rd,26,182
1089,Ritchie Rd at Overton Dr,85,181
155,ALLENTOWN WAY & 5846 ALLENTOWN WAY,1,180
387,Brinkley Rd at Trude St,139,180
855,Maxwell Dr at Morris Ave,278,179
439,Central Ave at Daimler Dr,222,179
7,1301 McCormick Dr,210,178
643,Hamilton St at 36th Ave,315,178
222,Ardwick-Ardmore Rd at MLK Jr Hwy,111,177
1185,Southern Ave at 6th St SE,119,177
901,Old Alexandria Ferry Rd at Malcom Rd,63,176
22,23rd Ave at Drexel St,277,176
1082,Ritchie Rd at D'arcy Rd,161,175
1092,Ritchie Rd at Ritchie Rd Spur,347,174
824,MLK Jr Hwy at Sheriff Rd,155,174
562,Edgeworth Dr at Ritchie Rd,137,174
1243,Suitland Rd at Opp. Suitland Federal Center Gate 3,102,173
494,Columbia Park Rd at Clarkson Way,91,172
4,10800 Indian Head Highway at Fort Washington Manor,126,171
957,Opposite of Rose Croft Shopping Center,202,170
720,Jericho Residences,111,169
366,Brinkley Rd at Glen Oak Dr,58,169
618,Greenbelt Rd at Lakecrest Dr,160,168
944,Opp 3133 Pennsy Dr,154,168
1132,Rollins Ave at Rollins Ln,223,168
1301,Valley Trail Ln at Romford Dr,177,167
1272,Temple Hill Rd at Megan Dr,189,167
208,Annapolis Rd at 48th St,116,166
736,Kipling Pkwy at Brewton St,165,166
1174,Silver Hill Rd at Metro Dr,45,166
592,Garrett A. Morgan Blvd at Gibbs Way,95,165
802,Lottsford Rd at Harry S. Truman,122,165
534,District Heights Municipal Bldg,145,165
1080,Ritchie Rd at Ashville Rd,247,165
973,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),11,164
1151,Saint Barnabas Rd at Barrowfield Rd,105,164
878,Nalley Rd at Green Willow Ct,174,164
19,23rd Ave at Amherst Rd,512,164
740,Kipling Pkwy at Marbury Dr,221,164
1105,Riverdale Rd and 7600 Riverdale Road,240,163
311,Bock Rd at Technology Recreation Complex,100,162
625,Greenbelt Station Parkway at Streambank Lane,50,162
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,124,162
721,Jericho Residences (Southbound),185,162
204,Allentown Rd at Westchester Dr,37,161
1318,Walker Mill Rd at Rollins Ave,167,161
9,1400 Merchantile Ln,59,160
832,Mandan Rd at Greenbelt Rd,239,160
499,Columbia Park Rd at Oregon Ave,46,160
1192,Southern Ave at Forest Hills Apartment,189,159
415,Campus Way South at PGCC Perimeter Rd,139,158
446,Central Ave at Rollins Ave,70,158
666,Hanover Pkwy at Village Park Dr,169,157
1000,PALMER ROAD & INDIAN HEAD HIGHWAY,341,156
1298,Valley Trail Ln at Bain Dr 1,241,156
646,Hamilton St at 38th St,186,156
678,Highview Pl at Brooke Rd,259,154
1297,Upshur St at 30th St,98,154
1316,Walker Mill Rd at Brooksquare Dr,71,153
443,Central Ave at Norair Ave,98,153
380,Brinkley Rd at Rose Croft Shopping Center,138,153
1093,Ritchie Rd at Ritchie-Marlboro Rd,90,153
925,Old Marlboro Pike at Melwood Park Ave,152,152
831,Mandan Rd at Canning Terr,183,151
638,Gwendolyn Britt Center,157,151
168,Addison Rd at James Farmer Way,123,151
101,5846 ALLENTOWN WAY,40,151
654,Hanover Pkwy at Greenbelt Rd,191,150
219,Apollo Dr at Mercantile Ln,118,149
1069,Rhode Island Ave at County Service Building - SB,138,149
776,Largo Rd at Buck Ln,117,149
110,800 Ritchie Rd,151,149
784,Largo Rd at Kirkland Ln,3,148
1068,Rhode Island Ave at County Service Building - NB,167,148
1276,Temple Hill Rd at Piscataway Rd,152,147
510,County Rd at Belwood St,90,147
265,Baltimore Ave at Hollywood Rd,144,146
620,Greenbelt Rd at Walker Dr,114,146
203,Allentown Rd at Westchester Ct,213,146
182,Ager Rd at Oglethorpe St,177,146
681,Highview Pl at Onslow Way,251,143
1302,Village Dr West at Bishopmill Dr,179,143
752,Lamont Dr at Quentin St,218,142
483,Clairfield Lane - Arrival,0,142
378,Brinkley Rd at Opp. Rosecroft Shopping Center,544,141
406,Campus Way North at St Joseph's Dr,290,141
759,Landover Rd at 56th Ave,97,141
171,Addison Rd at St Margaret's School,96,141
766,Landover Rd at Firehouse Rd,56,141
57,38th St at Perry St,84,140
612,Governor Oden Bowie Dr at Elm St,48,140
186,Allentown Rd at 5711 AFCU Allentown Rd,119,139
343,Brightseat Rd at Continental Pl,65,139
1031,Pontiac St at Edmonston Rd,98,138
969,Owens Rd at Woodland Blvd,102,138
1072,Rhode Island Ave at Volta Ave,122,138
1227,St Barnabas Rd at Temple Hill Rd,30,138
961,Owens Rd at Irvington St,102,138
636,Greenway Center (PM Northbound),134,137
95,5401 85th Ave,386,137
1018,Peppermill Dr at Canyon Dr,254,136
1269,Temple Hill Rd at Kirbywood St,209,136
125,9400 Peppercorn Pl,100,134
627,Greenbrook Dr at Hanover Pkwy,220,134
1225,St Barnabas Rd at Opp. Gateway Square Apts,72,133
375,Brinkley Rd at Middlefield Rd,41,133
1064,Rhode Island Ave at 42nd Pl,122,133
1060,Rhode Island Ave at 37th St,180,132
46,3404 Dodge Park Rd,163,132
