,stop,boardings
536,District Heights Pkwy at Breton Dr,287
1096,Ritchie Rd at Truck Way,286
850,Marlboro Pike at Whitney Pl,286
739,Kipling Pkwy at Harwood Rd,286
1099,Ritchie Station Court Bus Stop #1,284
1278,Temple Hill Rd at Portal Ave,283
1179,Silver Hill Rd at Suitland Rd,283
1122,Riverdale Rd at Mahoney Dr,280
584,Forestville Rd at Parston Dr,278
535,District Heights Pkwy at Addison Rd S,278
855,Maxwell Dr at Morris Ave,278
289,Belcrest Rd at Queens Chapel Rd,277
22,23rd Ave at Drexel St,277
1288,Toledo Rd at Adelphi Rd,276
1114,Riverdale Rd at 64th Ave,276
1285,Temple Hill Rd at Weldon Dr,274
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,270
943,Olson St at Norcross St,270
978,Oxon Hill Rd at 6400 Clipper Way,269
1095,Ritchie Rd at Shepherd St,269
474,Chillum Rd at 18th Ave - in,268
1101,Ritchie-Marlboro Rd & Sansbury Rd,266
296,Benning Rd at Drum Ave,266
905,Old Alexandria Ferry Rd at Woodyard Rd,264
30,28th Ave at Keating St,263
530,Denise Dr at Epworth Way,261
613,Greenbelt Metro Dr at Cherrywood Ln,261
259,Baltimore Ave at East-West Hwy,260
678,Highview Pl at Brooke Rd,259
495,Columbia Park Rd at Columbia Pl,259
294,Beltway Plaza Shopping Center,258
785,Largo Rd at Largo Landing,258
54,38th St at Hamilton St,258
876,Nalley Rd at Crane Pl,258
747,Lamont Dr at Donoghue Dr,257
24,23rd Ave at Lewisdale Dr,255
1018,Peppermill Dr at Canyon Dr,254
34,28th Pkwy at Afton St,253
33,28th Pkwy at 27th Ave,253
807,Lottsford Rd at Zachery St,252
454,Chatsfield Way at Palmerton Ter,251
681,Highview Pl at Onslow Way,251
543,Dodge Park Rd at Landover Rd,251
193,Allentown Rd at Karen Anne Dr,250
1258,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),249
909,Old Branch Ave at Arbutus Ln,248
1080,Ritchie Rd at Ashville Rd,247
548,Donnell Drive at Target Store,247
158,Addison Rd Metrorail - Arrival,244
1094,Ritchie Rd at Roslyn Ave,244
357,Brightseat Rd at Social Services Bldg.,244
1298,Valley Trail Ln at Bain Dr 1,241
368,Brinkley Rd at Huncrest Ent,241
1313,Walker Mill Dr at New Mt. Nebo Baptist Church,240
1105,Riverdale Rd and 7600 Riverdale Road,240
840,Marlboro Pike at Kipling Pkwy,239
710,Indian Head Highway at Audrey Ln,239
832,Mandan Rd at Greenbelt Rd,239
1219,St Barnabas Rd at Deer Park Dr,237
445,Central Ave at Ritchie Rd,236
1277,Temple Hill Rd at Plata St,234
255,Baltimore Ave at Campus Dr,234
13,14th Ave at Langley Way,232
27,2400 Chillum Rd,231
15,15th Ave at University Blvd,230
554,East Capitol St at Yost Pl,230
992,Oxon Hill Rd at Rivertown Commons(6135),229
191,Allentown Rd at Coolridge Rd,225
971,Oxon Hill Fringe Parking Lot Bus Bay B,225
1026,Piscataway Rd at Old Branch Ave,224
1132,Rollins Ave at Rollins Ln,223
1241,Suitland Rd at 4410 Suitland Rd,223
1139,SOUTHERN AVENUE & CHESAPEAKE STREET SE,223
439,Central Ave at Daimler Dr,222
51,38th St at Allison St,221
385,Brinkley Rd at Summerhill Rd,221
740,Kipling Pkwy at Marbury Dr,221
25,23rd Ave at Sheridan St,220
627,Greenbrook Dr at Hanover Pkwy,220
1061,Rhode Island Ave at 38th St,219
752,Lamont Dr at Quentin St,218
331,Breezewood Dr at Cherrywood Ln,217
503,Columbia Park Rd at Virginia Ave,216
1163,Sheriff Rd at Eaton Square Apartments,215
1190,Southern Ave at C St,215
691,Hillside Rd at Laurel Hill Rd,215
103,60th Ave at Greenbelt Rd,215
931,Old Marlboro Pike at Roblee Dr,214
810,MLK Jr Hwy at 65th Ave,213
203,Allentown Rd at Westchester Ct,213
1007,PGCC Perimeter Rd at Annex A Building,212
826,MONUMENT AVE @ MGM CASINO,212
696,Hubbard Rd at Martin Luther King,211
1210,Southway at Crescent Rd,211
399,CAMPUS WAY NORTH AT LADY GROVE ROAD,211
7,1301 McCormick Dr,210
1269,Temple Hill Rd at Kirbywood St,209
379,Brinkley Rd at Roberts Dr,208
1057,Ray Rd at Madison St,208
302,Bladensburg Rd at 42nd Ave,206
1193,Southern Ave at Forest Hills Apts,206
324,Brandywine Rd at Woodyard Rd,206
71,4112 Whitehall Square Apts,205
407,Campus Way North at Tulip Tree Dr,205
516,Coventry Way at Old Alexandria Ferry Rd,205
957,Opposite of Rose Croft Shopping Center,202
579,Fisher Rd at Heather Hill,202
1224,St Barnabas Rd at Lime St,202
1036,Queens Chapel Rd at Hamilton St,202
981,Oxon Hill Rd at John Hanson Ln,201
1236,Stuart Ln at Woodyard Rd,201
254,Baltimore Ave at Berwyn Rd,200
1232,Stuart Lane at Surratts Road,200
898,Old Alexandria Ferry Rd at Heflin Dr,200
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,198
602,Good Luck Rd at Cathedral Ave,198
757,Landover Metrorail Station - Arrival,198
396,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,197
233,Ashwood Dr at Dunmore Pl,196
557,East-West Hwy at Metro Center Dr,196
1309,Village Green Dr at Sheriff Rd,196
1289,Toledo Rd at Belcrest Rd,196
1333,Woodyard Rd at Canberra Dr,194
645,Hamilton St at 38th Ave,193
662,Hanover Pkwy at Ora Glen Dr,193
838,Marlboro Pike at Glacier Ave,192
654,Hanover Pkwy at Greenbelt Rd,191
647,Hamilton St at 3900,191
452,Central Ave at Yeoman Pl,191
712,Indian Head Highway at Southern Ave,190
470,Cheverly Ave at Montrose Rd,189
1272,Temple Hill Rd at Megan Dr,189
1203,Southern Ave opposite B St SE,189
1192,Southern Ave at Forest Hills Apartment,189
583,Fisher Rd at Temple Blvd,188
1226,St Barnabas Rd at Raleigh Rd,187
538,District Heights Pkwy at Marbury Ct (W),187
1016,Pennsylvania Ave at Penn Crossing Dr,187
1239,Suitland Metro - Arrival,186
646,Hamilton St at 38th St,186
88,4412 Suitland Rd (Opposite),185
721,Jericho Residences (Southbound),185
1107,Riverdale Rd at 54th Ave,184
279,Baltimore Ave at Tecumseh St,184
652,Hampton Park Boulevard at Steeplechase,183
831,Mandan Rd at Canning Terr,183
277,Baltimore Ave at Rossborough Ln,182
239,Auburn Ave at Chestnut Ave,182
1009,PGCC Perimeter Rd at R.I. Bickford Building,181
1060,Rhode Island Ave at 37th St,180
1311,Volta Ave at Rhode Island Ave,180
202,Allentown Rd at Waldran Dr,179
1302,Village Dr West at Bishopmill Dr,179
1231,Stars Entrance Gaylord Hotel at National Harbor Blvd,179
1066,Rhode Island Ave at Bunker Hill Rd,178
1273,Temple Hill Rd at Old Temple Hill Rd,177
