,stop,boardings,alightings
52,38th St at Bunker Hill Rd,304,400
818,MLK Jr Hwy at Columbia Park Rd,303,334
644,Hamilton St at 37th Ave,303,100
843,Marlboro Pike at Melwood Mall,299,223
1155,Sargent Rd at Rollingcrest Commons,298,242
854,Maxwell Dr at Allentown Rd,295,353
764,Landover Rd at Annapolis Rd,294,356
1217,Springhill Ln at Market Ln,294,117
963,Owens Rd at Kennebec St,293,252
1194,Southern Ave at Gunther St,291,118
406,Campus Way North at St Joseph's Dr,290,141
998,PALMER ROAD & DEVON HILLS DRIVE,288,195
312,Bock Rd at Wolf St,288,92
536,District Heights Pkwy at Breton Dr,287,189
739,Kipling Pkwy at Harwood Rd,286,253
850,Marlboro Pike at Whitney Pl,286,55
1096,Ritchie Rd at Truck Way,286,126
1099,Ritchie Station Court Bus Stop #1,284,841
1278,Temple Hill Rd at Portal Ave,283,369
1179,Silver Hill Rd at Suitland Rd,283,315
1122,Riverdale Rd at Mahoney Dr,280,241
584,Forestville Rd at Parston Dr,278,237
535,District Heights Pkwy at Addison Rd S,278,219
855,Maxwell Dr at Morris Ave,278,179
22,23rd Ave at Drexel St,277,176
289,Belcrest Rd at Queens Chapel Rd,277,270
1288,Toledo Rd at Adelphi Rd,276,249
1114,Riverdale Rd at 64th Ave,276,220
1285,Temple Hill Rd at Weldon Dr,274,199
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,270,261
943,Olson St at Norcross St,270,466
978,Oxon Hill Rd at 6400 Clipper Way,269,4
1095,Ritchie Rd at Shepherd St,269,90
474,Chillum Rd at 18th Ave - in,268,25
296,Benning Rd at Drum Ave,266,365
1101,Ritchie-Marlboro Rd & Sansbury Rd,266,335
905,Old Alexandria Ferry Rd at Woodyard Rd,264,324
30,28th Ave at Keating St,263,269
530,Denise Dr at Epworth Way,261,502
613,Greenbelt Metro Dr at Cherrywood Ln,261,363
259,Baltimore Ave at East-West Hwy,260,188
678,Highview Pl at Brooke Rd,259,154
495,Columbia Park Rd at Columbia Pl,259,313
876,Nalley Rd at Crane Pl,258,109
54,38th St at Hamilton St,258,229
785,Largo Rd at Largo Landing,258,203
294,Beltway Plaza Shopping Center,258,397
747,Lamont Dr at Donoghue Dr,257,262
24,23rd Ave at Lewisdale Dr,255,428
1018,Peppermill Dr at Canyon Dr,254,136
34,28th Pkwy at Afton St,253,190
33,28th Pkwy at 27th Ave,253,203
807,Lottsford Rd at Zachery St,252,313
543,Dodge Park Rd at Landover Rd,251,220
681,Highview Pl at Onslow Way,251,143
454,Chatsfield Way at Palmerton Ter,251,82
193,Allentown Rd at Karen Anne Dr,250,252
1258,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),249,1488
909,Old Branch Ave at Arbutus Ln,248,203
1080,Ritchie Rd at Ashville Rd,247,165
548,Donnell Drive at Target Store,247,366
158,Addison Rd Metrorail - Arrival,244,10565
1094,Ritchie Rd at Roslyn Ave,244,309
357,Brightseat Rd at Social Services Bldg.,244,123
368,Brinkley Rd at Huncrest Ent,241,186
1298,Valley Trail Ln at Bain Dr 1,241,156
1313,Walker Mill Dr at New Mt. Nebo Baptist Church,240,334
1105,Riverdale Rd and 7600 Riverdale Road,240,163
840,Marlboro Pike at Kipling Pkwy,239,277
710,Indian Head Highway at Audrey Ln,239,339
832,Mandan Rd at Greenbelt Rd,239,160
1219,St Barnabas Rd at Deer Park Dr,237,62
445,Central Ave at Ritchie Rd,236,84
1277,Temple Hill Rd at Plata St,234,35
255,Baltimore Ave at Campus Dr,234,35
13,14th Ave at Langley Way,232,213
27,2400 Chillum Rd,231,213
15,15th Ave at University Blvd,230,495
554,East Capitol St at Yost Pl,230,284
992,Oxon Hill Rd at Rivertown Commons(6135),229,212
191,Allentown Rd at Coolridge Rd,225,194
971,Oxon Hill Fringe Parking Lot Bus Bay B,225,461
1026,Piscataway Rd at Old Branch Ave,224,52
1132,Rollins Ave at Rollins Ln,223,168
1241,Suitland Rd at 4410 Suitland Rd,223,595
1139,SOUTHERN AVENUE & CHESAPEAKE STREET SE,223,110
439,Central Ave at Daimler Dr,222,179
51,38th St at Allison St,221,95
740,Kipling Pkwy at Marbury Dr,221,164
385,Brinkley Rd at Summerhill Rd,221,186
25,23rd Ave at Sheridan St,220,224
627,Greenbrook Dr at Hanover Pkwy,220,134
1061,Rhode Island Ave at 38th St,219,187
752,Lamont Dr at Quentin St,218,142
331,Breezewood Dr at Cherrywood Ln,217,510
503,Columbia Park Rd at Virginia Ave,216,64
1163,Sheriff Rd at Eaton Square Apartments,215,94
1190,Southern Ave at C St,215,338
691,Hillside Rd at Laurel Hill Rd,215,222
103,60th Ave at Greenbelt Rd,215,270
931,Old Marlboro Pike at Roblee Dr,214,196
810,MLK Jr Hwy at 65th Ave,213,228
203,Allentown Rd at Westchester Ct,213,146
1007,PGCC Perimeter Rd at Annex A Building,212,528
826,MONUMENT AVE @ MGM CASINO,212,779
1210,Southway at Crescent Rd,211,278
399,CAMPUS WAY NORTH AT LADY GROVE ROAD,211,282
696,Hubbard Rd at Martin Luther King,211,234
7,1301 McCormick Dr,210,178
1269,Temple Hill Rd at Kirbywood St,209,136
379,Brinkley Rd at Roberts Dr,208,63
1057,Ray Rd at Madison St,208,306
302,Bladensburg Rd at 42nd Ave,206,107
1193,Southern Ave at Forest Hills Apts,206,126
324,Brandywine Rd at Woodyard Rd,206,56
407,Campus Way North at Tulip Tree Dr,205,70
516,Coventry Way at Old Alexandria Ferry Rd,205,304
71,4112 Whitehall Square Apts,205,694
957,Opposite of Rose Croft Shopping Center,202,170
579,Fisher Rd at Heather Hill,202,111
1224,St Barnabas Rd at Lime St,202,92
1036,Queens Chapel Rd at Hamilton St,202,276
981,Oxon Hill Rd at John Hanson Ln,201,73
1236,Stuart Ln at Woodyard Rd,201,1046
254,Baltimore Ave at Berwyn Rd,200,101
1232,Stuart Lane at Surratts Road,200,8
898,Old Alexandria Ferry Rd at Heflin Dr,200,198
757,Landover Metrorail Station - Arrival,198,1306
602,Good Luck Rd at Cathedral Ave,198,276
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,198,128
396,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,197,218
233,Ashwood Dr at Dunmore Pl,196,234
557,East-West Hwy at Metro Center Dr,196,397
1309,Village Green Dr at Sheriff Rd,196,186
1289,Toledo Rd at Belcrest Rd,196,276
1333,Woodyard Rd at Canberra Dr,194,75
645,Hamilton St at 38th Ave,193,200
