,stops,route,early,on_time,late
34,FREDERICK RD & SHADY GROVE RD,55,77.0,374.0,89.0
35,FREDERICK RD & WATKINS POND BLVD,55,17.0,40.0,5.0
36,FREDERICK RD & WHEATFIELD DR,55,13.0,44.0,11.0
37,GERMANTOWN RD & GOLDENROD LN,55,6.0,7.0,10.0
38,GERMANTOWN RD & OBSERVATION DR,55,12.0,67.0,17.0
39,GERMANTOWN TRANSIT CENTER  & BAY B,100,3065.0,4688.0,4403.0
40,GROSVENOR STATION  & BAY E,46,151.0,146.0,44.0
41,HALPINE RD & ROCKVILLE PIKE,46,8.0,17.0,2.0
42,HUNGERFORD DR & FREDERICK AVE,46,265.0,422.0,63.0
43,HUNGERFORD DR & FREDERICK AVE,55,68.0,431.0,82.0
44,HUNGERFORD DR & MANNAKEE ST,55,4.0,40.0,14.0
45,HUNGERFORD DR & N CAMPUS DR,55,8.0,65.0,13.0
46,KING FARM BLVD & FREDERICK RD,55,1.0,2.0,0.0
47,LAKEFOREST TRANSIT CENTER  & ODENDH,55,1491.0,4281.0,1230.0
48,LOST KNIFE RD & CIDER MILL APTS,55,75.0,272.0,93.0
49,LOST KNIFE RD & CONTOUR RD,55,53.0,121.0,28.0
50,LOST KNIFE RD & MONTGOMERY VILLAGE,55,57.0,137.0,23.0
51,MANNAKEE ST & CAMPUS (E) DR,46,0.0,18.0,4.0
52,MANNAKEE ST & CAMPUS DR,55,1.0,32.0,13.0
53,MANNAKEE ST & HUNGERFORD DR,46,66.0,114.0,6.0
54,MANNAKEE ST & HUNGERFORD DR,55,20.0,133.0,61.0
55,MEDICAL CENTER STATION  & BAY D,46,2083.0,2938.0,2420.0
56,MONROE ST & MONROE PL,46,269.0,348.0,113.0
57,N FREDERICK AVE & BROOKS AVE,55,85.0,248.0,78.0
58,N FREDERICK AVE & CHESTNUT ST,55,40.0,125.0,36.0
59,N FREDERICK AVE & MARYLAND AVE,55,34.0,106.0,17.0
60,N FREDERICK AVE & MONTGOMERY AVE,55,86.0,167.0,59.0
61,N FREDERICK AVE & PROFESSIONAL DR,55,52.0,155.0,50.0
62,N FREDERICK AVE & WHETSTONE DR,55,50.0,149.0,27.0
63,N WASHINGTON ST & BEALL AVE,46,195.0,224.0,30.0
64,N WASHINGTON ST & BEALL AVE,55,43.0,228.0,25.0
65,N WASHINGTON ST & DAWSON AVE,46,261.0,269.0,41.0
66,N WASHINGTON ST & DAWSON AVE,55,50.0,227.0,19.0
