,stops,route,early,on_time,late
70,N FREDERICK AVE & WHETSTONE DR,55,42,158,32
71,N FREDERICK RD & GUNNERS BRANCH RD,55,114,562,41
72,N WASHINGTON ST & BEALL AVE,46,245,372,69
73,N WASHINGTON ST & BEALL AVE,55,62,400,42
74,N WASHINGTON ST & DAWSON AVE,46,291,508,89
75,N WASHINGTON ST & DAWSON AVE,55,76,386,49
76,N WASHINGTON ST & MARTINS LN,46,254,423,43
77,N WASHINGTON ST & MARTINS LN,55,45,200,24
78,N WASHINGTON ST & MIDDLE LN,46,105,189,37
79,N WASHINGTON ST & MIDDLE LN,55,25,140,8
80,OBSERVATION DR & @20457 (SENECA MEA,55,2,27,12
81,OBSERVATION DR & BOLAND FARM RD,55,10,84,12
82,OBSERVATION DR & MONTGOMERY COLLEGE,55,374,1630,836
83,OBSERVATION DR & OBSERVATION CT,55,32,156,19
84,OBSERVATION DR & PANTHER RIDGE DR,55,10,69,10
85,ODENDHAL AVE & FREDERICK AVE,55,502,1074,303
86,ODENDHAL AVE & RUSSELL AVE,55,119,241,69
87,ROCKVILLE PIKE & @1001,46,284,582,60
88,ROCKVILLE PIKE & ALTA VISTA RD,46,40,85,6
89,ROCKVILLE PIKE & BELLEVUE DR,46,10,36,3
90,ROCKVILLE PIKE & BETH MED PRK DR,46,115,189,11
91,ROCKVILLE PIKE & BOU AVE,46,540,1124,197
92,ROCKVILLE PIKE & BOUIC AVE,46,248,573,93
93,ROCKVILLE PIKE & BROAD BROOK DR,46,6,19,1
94,ROCKVILLE PIKE & CEDAR LN,46,53,180,22
95,ROCKVILLE PIKE & CONGRESSIONAL LN,46,419,1219,277
96,ROCKVILLE PIKE & COUNTRY CLUB RD,46,53,92,23
97,ROCKVILLE PIKE & EDMONSTON DR,46,902,2166,343
98,ROCKVILLE PIKE & ELSMERE AVE,46,24,31,5
99,ROCKVILLE PIKE & EXECUTIVE BLVD,46,123,246,58
100,ROCKVILLE PIKE & FIRST ST,46,118,232,56
101,ROCKVILLE PIKE & FLANDERS AVE,46,20,41,6
102,ROCKVILLE PIKE & GROSVENOR LN,46,50,61,12
103,ROCKVILLE PIKE & GROSVENOR STATION,46,2,18,7
104,ROCKVILLE PIKE & HALPINE RD,46,503,1512,218
105,ROCKVILLE PIKE & HILLERY WAY,46,9,22,5
106,ROCKVILLE PIKE & HOYA ST,46,119,345,50
107,ROCKVILLE PIKE & HUBBARD DR,46,107,314,83
108,ROCKVILLE PIKE & MARINELLI RD,46,1250,2758,424
109,ROCKVILLE PIKE & MT VERNON PL,46,165,470,73
110,ROCKVILLE PIKE & NEW ST,46,91,163,28
111,ROCKVILLE PIKE & NICHOLSON LN,46,184,296,48
112,ROCKVILLE PIKE & NORTH DR,46,7,14,2
113,ROCKVILLE PIKE & NORTH WOOD DR,46,84,247,8
114,ROCKVILLE PIKE & OLD GEORGETOWN RD,46,202,529,89
115,ROCKVILLE PIKE & PIKE CENTER,46,153,358,79
116,ROCKVILLE PIKE & POOKS HILL RD,46,317,871,96
117,ROCKVILLE PIKE & RANDOLPH RD,46,507,1163,173
118,ROCKVILLE PIKE & RICHARD MONTGOMERY,46,309,714,53
119,ROCKVILLE PIKE & ROLLINS AVE,46,231,480,113
120,ROCKVILLE PIKE & ROSE AVE,46,42,87,30
121,ROCKVILLE PIKE & SECURITY LN,46,256,442,75
122,ROCKVILLE PIKE & SOUTH WOOD RD,46,44,246,9
123,ROCKVILLE PIKE & STRATHMORE AVE,46,53,107,19
124,ROCKVILLE PIKE & TALBOTT ST,46,159,571,90
125,ROCKVILLE PIKE & TEMPLETON PL,46,235,766,160
126,ROCKVILLE PIKE & THOMPSON AVE,46,67,161,35
127,ROCKVILLE PIKE & TUCKERMAN LN,46,690,1463,198
128,ROCKVILLE PIKE & WICKSHIRE WAY,46,37,29,5
129,ROCKVILLE PIKE & WOODMONT STATION,46,88,220,50
130,ROCKVILLE PIKE & WOOTTON PKWY,46,175,486,63
131,ROCKVILLE STATION  & BAY A - WEST,46,5332,11190,4641
132,ROCKVILLE STATION  & BAY B - WEST,55,3599,7286,1603
133,RUSSELL AVE & CHRISTOPHER AVE,55,4,43,9
134,RUSSELL AVE & WATKINS MILL RD,55,21,143,14
135,S CAMPUS DR & CAMPUS DR,46,4842,12823,2444
136,S CAMPUS DR & CAMPUS DR,55,687,4058,1959
137,S FREDERICK AVE & CEDAR AVE,55,133,218,27
138,S FREDERICK AVE & CENTRAL AVE,55,10,74,22
139,S FREDERICK AVE & DEER PARK DR,55,150,405,69
140,S FREDERICK AVE & DEER PARK RD,55,151,179,23
141,S FREDERICK AVE & EDUCATION BLVD,55,198,770,152
142,S FREDERICK AVE & FULKS CORNER AVE,55,92,280,64
143,S FREDERICK AVE & N WESTLAND DR,55,96,445,102
144,S FREDERICK AVE & O'NEILL DR,55,32,59,2
145,S FREDERICK AVE & ROSEMONT DR,55,28,62,7
146,S FREDERICK AVE & S WESTLAND DR,55,99,394,74
147,S FREDERICK AVE & SUMMIT AVE,55,231,750,159
148,S FREDERICK AVE & VIRGINIA DR,55,17,25,2
149,S FREDERICK AVE & WESTLAND DR,55,61,93,22
150,S WASHINGTON ST & COURT HOUSE SQ,46,6,18,3
151,S WASHINGTON ST & MONTGOMERY AVE,46,60,78,22
152,SHADY GROVE STATION  & BAY A - WEST,55,1712,5595,2907
153,SHADY GROVE STATION  & BAY C - EAST,100,2824,7253,1080
154,SHADYGROVE METRO LOT  & METRO LOT,55,1,5,0
155,SHAKESPEARE BLVD & AMBER RIDGE DR,55,35,277,39
156,SHAKESPEARE BLVD & ETON MANOR DR,55,76,621,78
157,SHAKESPEARE BLVD & FREDERICK RD,55,37,101,21
158,SHAKESPEARE BLVD & MILESTONE PARK &,55,55,170,71
159,SHAKESPEARE BLVD & OBSERVATION DR,55,280,1583,305
160,SOMERVILLE DR & REDLAND RD,55,22,59,8
161,TRAVIS AVE & TRAVIS LN,55,179,485,71
162,TRAVIS AVE & TRAVIS VIEW CT,55,55,176,45
163,TRAVIS AVE & WATKINS MILL RD,55,39,95,32
164,TUCKERMAN LN & ROCKVILLE PIKE,46,0,5,2
165,TWINBROOK STATION  & BAY A - WEST,46,2404,6568,3012
166,WATKINS MILL RD & TRAVIS AVE,55,33,100,15
167,WATKINS MILL RD & TRAVIS LN,55,53,121,36
