,stop,boardings
58,4258 Whitehall Square Apts,212
509,Harry S Truman Dr at Mt Lubentia Way,212
188,Annapolis Rd at Bladensburg Elem. School,211
558,Lamont Dr at Lamont Pl,209
876,Southern Ave at Robert Yedell Towers,207
400,Columbia Park Rd at South Club Dr,206
589,Largo Rd at Water Fowl Way,206
625,MONUMENT AVE @ MGM CASINO,205
226,Baltimore Ave at Erie St,205
799,Ritchie Rd at Alberta Dr,204
34,38th St at Allison St,204
662,New Carrollton Station - Arrival,202
815,Ritchie Rd at Shepherd St,202
749,PALMER ROAD & OLD PALMER ROAD,201
274,Brandywine Rd & Gwynn Park High School,201
471,Good Luck Rd at Cathedral Ave,200
620,MLK Jr Hwy at Hill Rd,200
476,Greenbelt Metro Dr at Cherrywood Ln,200
357,Campus Way S at Treetop Condo,199
719,Opposite of Rose Croft Shopping Center,199
4,1100 Owens Rd,198
43,38th St at Upshur St,197
937,Temple Hill Rd at Megan Dr,195
330,Brinkley Rd at Roberts Dr,195
487,Hamilton St at 37th Ave,195
396,Columbia Park Rd at Columbia Pl,194
238,Baltimore Ave at Oglethorpe St,194
438,East Capitol St at Old Central Ave,194
439,East Capitol St at Yost Pl,193
480,Greenbelt Rd at Lakecrest Dr,192
371,Central Ave at Yeoman Pl,191
231,Baltimore Ave at Hollywood Rd,189
946,Temple Hill Rd at Southeast Mobile Estates,188
966,WILSON BRIDGE DRIVE,187
938,Temple Hill Rd at Old Temple Hill Rd,187
241,Baltimore Ave at Regents Dr,186
779,Raleigh Rd at Olson St,185
200,Ardwick-Ardmore Rd at UPS Customer Center,184
504,Hanover Pkwy at Ora Glen Dr,182
678,Old Branch Ave at Arbutus Ln,181
169,Allentown Rd at Old Branch Ave,180
584,Largo Rd at Largo Landing,180
160,Allentown Rd at 5711 AFCU Allentown Rd,179
337,Brinkley Rd at Temple Hill Rd,179
549,Kipling Pkwy at Marbury Dr,178
656,Morris Ave at Maxwell Dr,178
489,Hamilton St at 38th St,178
144,Addison Rd at Seat Pleasant Dr,178
621,MLK Jr Hwy at Roosevelt Ave,177
360,Campus Way South at Harry S Truman Dr,177
575,Largo Rd at Buck Ln,176
903,Stuart Lane at Surratts Road,175
633,Marlboro Pike at Tucker's Restaurant,175
811,Ritchie Rd at Ritchie Dr,175
243,Baltimore Ave at Rossborough Ln,175
564,Landover Rd at 56th Ave,175
733,Oxon Hill Rd at 6192 Oxon Hill Rd,175
757,Pennsylvania Ave at Penn Crossing Dr,175
947,Temple Hill Rd at Spring Ter,174
426,District Heights Pkwy at Marbury Ct (W),174
551,Kipling Pkwy at Opp. 7805 Ritchie Rd,172
859,Silver Hill Rd at Randall Rd,172
142,Addison Rd at James Farmer Way,171
856,Silver Hill Rd at Parkway Terrace Dr,170
28,28th Pkwy at Afton St,170
873,Southern Ave at Opp. Robert Yedell Towers,169
950,Temple Hill Rd at Weldon Dr,169
424,District Heights Pkwy at Breton Dr,168
631,Marlboro Pike at Marwood Blvd N,166
222,Baltimore Ave at Campus Dr,163
27,28th Pkwy at 27th Ave,163
737,Oxon Hill Rd at Harborview Rd,163
235,Baltimore Ave at Lakeland Rd,162
433,Donnell Drive at Marlboro Pike,162
442,East-West Hwy at Prince George's Mall Ent.,161
177,Allentown Rd at Westchester Ct,161
277,Brandywine Rd at Cork Tree Way,160
944,Temple Hill Rd at Rickey Ave,160
819,Ritchie Station Court Bus Stop #1,160
755,Pennsylvania Ave at Forestville Rd,160
352,Campus Way North at Grey Gables Ct,159
694,Old Marlboro Pike at Melwood Rd,158
791,Rhode Island Ave at County Service Building - SB,157
332,Brinkley Rd at Rosecroft Shopping Center,157
334,Brinkley Rd at Shopton Pl,157
445,East-West Hwy at Toledo Terrace,157
285,Brandywine Road @ Northgate Parkway,156
481,Greenbelt Rd at Walker Dr,156
506,Hanover Pkwy at Village Park Dr,155
802,Ritchie Rd at D'arcy Rd,155
250,Baltimore Avenue at Fox Street,155
810,Ritchie Rd at Putnam Ln,154
562,Lamont Dr at Westbrook Dr,154
872,Southern Ave at Forest Hills Apts,154
723,Owens Rd at Kennebec St,154
582,Largo Rd at Kettering Dr,154
246,Baltimore Ave at Tuckerman St,153
74,5401 85th Ave,152
321,Brinkley Rd at John Hanson Ln,151
148,Addison Rd at Wilburn St,151
533,Jericho Residences (Southbound),151
336,Brinkley Rd at Summerhill Rd,150
466,Fisher Rd at Temple Blvd,149
434,Donnell Drive at Target Store,147
532,Jericho Residences,147
490,Hamilton St at 3900,147
313,Brinkley Rd at Bushey Dr,146
871,Southern Ave at Forest Hills Apartment,146
24,28th Ave at Keating St,146
601,Lottsford Rd at Harry S. Truman,145
934,Temple Hill Rd at Kirbywood St,145
11,14th Ave at Langley Way,143
205,Ashwood Dr at Dunmore Pl,143
797,Rhode Island Avenue at Opp 37th Pl,143
732,Oxon Hill Rd at 6130 Oxon Hill Rd,142
5,1301 McCormick Dr,142
201,Ardwick-Ardmore Rd at West St,142
840,SOUTHERN AVENUE & CHESAPEAKE STREET SE,142
302,Brightseat Rd at Hamlin St,141
561,Lamont Dr at Quentin St,139
257,Bladensburg Rd at 40th Ave,139
369,Central Ave at Ritchie Rd,139
80,60th Ave at Greenbelt Rd,138
377,Cheverly Ave at Columbia Park Rd,138
932,Temple Hill Rd at Hagan Rd,137
71,5150 Annapolis Rd,137
687,Old Marlboro Pike at Brooklee Dr,136
138,Addison Rd at Drylog St,136
983,Woodyard Rd at Pine View Ln,136
851,Saint Barnabas Rd at Barrowfield Rd,134
10,14th Ave at Kanawha St,134
265,Bock Rd at National Christian Academy (6700),134
734,Oxon Hill Rd at 6201 Oxon Hill Plaza,134
166,Allentown Rd at Dodge Ln,134
672,Old Alexandria Ferry Rd at Opp. Alexandria Bussiness Park,131
311,Brinkley Rd at Brinkley House W Ent,131
181,Annapolis Rd at 46th St,131
788,Rhode Island Ave at Bunker Hill Rd,130
455,Fairlawn St at Colebrooke Dr,130
286,Brandywine Road @ Surrats Road,129
418,Denise Dr at Epworth Way,129
500,Hanover Pkwy at Hunting Ridge Club Apts,129
970,Walker Mill Rd at Tanow Pl,129
882,Southern Rd at Wheeler Rd,129
448,Equestrian Center Lot 1,127
167,Allentown Rd at Karen Anne Dr,125
228,Baltimore Ave at Hamilton St,125
577,Largo Rd at Drumsheugh Ln,125
39,38th St at Parkwood St,124
293,Brightseat Rd at Ardwick-Ardmore Rd,123
30,28th Pkwy at Duggan St,123
808,Ritchie Rd at Napier Dr,122
459,Fisher Rd at Clow Ct,122
187,Annapolis Rd at 85th Ave,121
196,Ardwick-Ardmore Rd at MLK Jr Hwy,121
283,Brandywine Rd at Woodyard Rd,121
715,Opp. 4174 Whitehall Square Apts,121
915,Suitland Rd at Suitland Federal Center Gate 1,121
821,Ritchie-Marlboro Rd & Sansbury Rd,120
866,Southern Ave at 6th St SE,120
145,Addison Rd at St Margaret's School,119
114,ALLENTOWN ROAD & PADGETTS CORNER,119
768,Quebec St at 58th Ave,119
492,Hampton Park Boulevard at East Hampton Dr,119
172,Allentown Rd at Perrie Ln,118
545,Kipling Pkwy at Brewton St,118
165,Allentown Rd at Coolridge Rd,116
771,Queens Chapel Rd at Nicholson St,116
236,Baltimore Ave at Longfellow St,115
667,Old Alexandria Ferry Rd at Heflin Dr,115
658,Mt Rainier Terminal - Arrival,114
928,Temple Hill Rd at Cardwell Dr,114
801,Ritchie Rd at Central Ave,114
454,Fairlawn St at 28th Pkwy,113
943,Temple Hill Rd at Portal Ave,113
194,Ardwick-Ardmore Rd at Ardwick Pl,112
955,Truman Manor,112
748,PALMER ROAD & INDIAN HEAD HIGHWAY,111
796,Rhode Island Ave at Webster St,111
373,Cherrywood Ln at Springhill Drive,111
669,Old Alexandria Ferry Rd at Malcolm Rd,110
565,Landover Rd at 57th Ave,110
967,Walker Mill Rd at Brooksquare Dr,110
314,Brinkley Rd at Cherryfield Rd,109
31,28th Pkwy at Fairlawn St,108
247,Baltimore Ave at Underwood St,108
385,Chrysler Dr at US RT 301,108
917,Suitland Rd at Towne Square Blvd,108
888,Springhill Ln at Market Ln,108
151,Ager Rd at 29th Ave,107
402,Columbia Park Rd at Stanford Pl,107
271,Branch Ave Station - Arrival,107
548,Kipling Pkwy at Harwood Rd,106
441,East-West Hwy at Metro Center Dr,106
619,MLK Jr Hwy at Greig St,106
945,Temple Hill Rd at Santeetlah Dr,106
827,Riverdale Rd at Opp. Heritage Square Apts,105
529,Indian Head Highway at Tecumseh Dr,105
739,Oxon Hill Rd at Opposite Clipper Way (6383),105
53,4138 Whitehall Square Apts - in,105
184,Annapolis Rd at 53rd St,104
212,Auth Rd at Clacton Ave,104
502,Hanover Pkwy at Megan Ln,103
2,10147 Campus Way South,103
512,Harry S. Truman Dr at Lottsford,103
980,Woodyard Rd at Canberra Dr,103
242,Baltimore Ave at Riverdale Rd,103
333,Brinkley Rd at Saint Ignatius Dr,103
430,Donnell Dr at 2900 Donnell Dr,103
410,County Rd at Belwood St,103
82,60th Ave at Seminole St,102
714,Opp. 4138 Whitehall Square Apts,102
248,Baltimore Ave at University Blvd,101
348,CAMPUS WAY NORTH AT LADY GROVE ROAD,100
99,9240 Springhill Ln,100
155,Ager Rd at Nicholson St,99
394,Columbia Park Rd at Cabin Branch Dr,99
860,Silver Hill Rd at Suitland Rd,99
338,Brinkley Rd at Trude St,99
462,Fisher Rd at Heather Hill,99
63,42nd Ave at Madison St,98
877,Southern Ave at UNITED MEDICAL CENTER,98
289,Brandywine Road at Surrats Road,98
613,MLK Jr Hwy at Cabin Branch Dr,97
981,Woodyard Rd at Marlboro Pike,96
875,Southern Ave at Robert Yedell Tower,96
29,28th Pkwy at Curtis Dr,96
878,Southern Ave at United Medical Center,95
0,10053 Campus Way South,95
175,Allentown Rd at Waldran Ave,95
36,38th St at Gaines Pl,95
264,Bock Rd at Belfast Drive,95
83,6625 Bock Rd,95
278,Brandywine Rd at Groveton Dr,95
191,Apollo Dr at Arena Dr,94
227,Baltimore Ave at Guilford Rd,94
728,Owens Rd at Wheeler Rd,94
822,Riverdale Rd and 7600 Riverdale Road,94
96,85th Avenue and Hiltop Apartments,94
328,Brinkley Rd at Morton Place,94
671,Old Alexandria Ferry Rd at Mike Shapiro Dr,93
508,Harry S Truman Dr at Campus Way S,93
249,Baltimore Ave at Van Buren St,92
546,Kipling Pkwy at Council Dr,92
892,St Barnabas Rd at Frazier Ter,92
300,Brightseat Rd at Glenarden Library,92
395,Columbia Park Rd at Clarkson Way,91
354,Campus Way North at Tulip Tree Dr,91
460,Fisher Rd at Damian Dr,90
54,4174 Whitehall Square Apts,90
935,Temple Hill Rd at Lakeview Dr,89
305,Brightseat Rd at McCLain Ave,89
890,St Barnabas Rd at Deer Park Dr,89
902,Stars Entrance Gaylord Hotel at National Harbor Blvd,88
813,Ritchie Rd at Ritchie-Marlboro Rd,88
495,Hampton Park Boulevard at Steeplechase,87
603,Lottsford Rd at Lottsford Rd,87
362,Campus Way South at Prince Place,87
905,Stuart Ln at Topaz Court,86
77,5827 Allentown Way at Old Branch Ave,86
267,Bock Rd at Saint Barnabas Rd,85
379,Cheverly Ave at Forest Rd,85
936,Temple Hill Rd at Lambert Dr,85
370,Central Ave at Rollins Ave,84
234,Baltimore Ave at Knox Rd,83
615,MLK Jr Hwy at Carrington Dr,83
407,Council Dr at Kipling Pkwy,83
76,5805 Queens Chapel Rd,83
973,Water St & Main St,82
62,42nd Ave at Jefferson St,82
45,38th St at Volta Ave,81
868,Southern Ave at Barnaby Road,81
874,Southern Ave at Owens Rd,80
599,Lottsford Rd at 8951 Lottsford Rd,80
896,St Barnabas Rd at Opp. Gateway Square Apts,80
729,Owens Rd at Woodland Blvd,79
140,Addison Rd at Ernie Banks St,79
709,Old Silver Hill Rd at Parkland Ct (E),79
614,MLK Jr Hwy at Carrington Ave,78
322,Brinkley Rd at Kildare Ct,78
156,Ager Rd at Oglethorpe St,77
299,Brightseat Rd at Girard St,75
681,Old Branch Ave at Opp. 6811 Old Branch Ave,75
939,Temple Hill Rd at Opp. Southeast Mobile Estates,75
746,PALMER ROAD & DEVON HILLS DRIVE,75
331,Brinkley Rd at Rose Croft Shopping Center,75
75,57th Ave at Berwyn Rd,75
517,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,74
170,Allentown Rd at Opp. 5711 AFCU Allentown Rd,74
367,Central Ave at Hampton Park Blvd,74
929,Temple Hill Rd at Cedell Pl,74
834,Rollins Ave at Upcot Ct,74
744,Oxon Run Dr at Oxon Run Ct,73
307,Brightseat Rd at Opp. Maple Ridge Apts #1,73
776,Queensbury Rd at 41st Ave,72
137,Addison Rd at Crown St,72
809,Ritchie Rd at Overton Dr,72
147,Addison Rd at Wilburn Dr,72
831,Rollins Ave at District Ave,71
425,District Heights Pkwy at Marbury Ct (E),71
479,Greenbelt Rd at Greenbelt Park Entrance,70
807,Ritchie Rd at Mane Ln,70
503,Hanover Pkwy at Opp. Hunting Ridge Club Apts,70
473,Good Luck Rd at Terra Alta Dr,70
933,Temple Hill Rd at Henderson Rd,70
233,Baltimore Ave at Jefferson St,70
721,Owens Rd at Irvington St,70
602,Lottsford Rd at Harry S. Truman Dr,69
675,Old Branch Ave at 6811 Old Branch Ave,69
93,8343 Ardwick-Ardmore Rd,69
666,Old Alexandria Ferry Rd at Bellefonte Ln,69
845,SOUTHERN AVENUE & WHEELER ROAD AM NS,69
317,Brinkley Rd at Glen Oak Dr,68
825,Riverdale Rd at Heritage Square Apts,68
567,Landover Rd at 58th Pl,68
208,Auth Rd at #6208-6220,68
511,Harry S Truman Dr at Woodlawn Blvd,68
44,38th St at Utah Ave,68
153,Ager Rd at Lancer Dr,68
55,4192 Whitehall Square Apts,67
585,Largo Rd at Mount Lubentia Way,67
179,Allentown Way at Allentown Rd,67
215,Auth Rd at Henderson Way,67
942,Temple Hill Rd at Plata St,66
79,58th Ave at Berwyn Rd,66
19,23rd Ave at Fordham St,66
180,Allentown Way at Allentown Rd (Aldi's),66
219,Baltimore Ave at Amherst Rd,66
391,Columbia Park Rd at 64th Ave,66
627,Marlboro Pike & Crain Hwy,65
310,Brinkley Rd at Anderson Dr,65
216,Auth Rd at Magruder Ave,64
141,Addison Rd at Health Center Ent.,64
123,ALLENTOWN ROAD & VERNON DRIVE,64
193,Apollo Dr at Mercantile Ln,64
70,442 Harry S Truman Dr,64
979,Woodyard Rd at Autumn Way,64
42,38th St at Taylor St,64
50,40th Pl at Gallatin St,63
427,District Heights Pkwy at Marbury Dr (E),63
343,Brown Station Rd at Dille Dr,63
345,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,62
523,Indian Head Highway (MD. RTE. 210) at Livingston Road,62
90,8300 Corporate Dr,62
588,Largo Rd at Town Farm Rd,62
957,University Blvd at Guilford Rd,61
125,ALLENTOWN ROAD & WEBSTER LANE,61
893,St Barnabas Rd at Hagan Rd,61
750,PALMER ROAD & POTOMAC HEIGHTS DRIVE,61
411,County Rd at Elmhurst St,61
186,Annapolis Rd at 54th St,60
382,Cheverly Ave at Lombard St,59
323,Brinkley Rd at Larwin Dr,59
154,Ager Rd at Nicholson,59
17,23rd Ave at Chapman Rd,59
269,Bock Rd at Technology Recreation Complex,59
624,MLK Jr Hwy at Southland Dr,59
711,Olson St at Norcross St,59
895,St Barnabas Rd at Lime St,59
622,MLK Jr Hwy at Ryderwood Court,58
792,Rhode Island Ave at Gallatin St,58
368,Central Ave at Norair Ave,57
38,38th St at Jackson Ave,57
463,Fisher Rd at Heather Hill Ent.,57
731,Oxon Hill Fringe Parking Lot at Bus Bay F,57
435,Dower House Rd at Old Marlboro Pike,56
848,SOUTHERN AVENUE at OPP ROBERT YELDELL TOWER,56
298,Brightseat Rd at Evarts St,56
279,Brandywine Rd at Horshoe Rd,56
136,Addison Rd at Baltic St,55
692,Old Marlboro Pike at Marlborough Dr,54
81,60th Ave at Quebec St,54
168,Allentown Rd at Kingston Dr,54
239,Baltimore Ave at Queens Chapel Rd,54
135,Addison Rd at Adel St,54
949,Temple Hill Rd at Temple Hill Community Center,54
150,Ager Rd at 23rd Ave,54
198,Ardwick-Ardmore Rd at UPS Building #8325,53
52,4112 Whitehall Square Apts,53
444,East-West Hwy at Toledo Terr,53
366,Central Ave at Garrett A Morgan Blvd,53
853,Saint Barnabas Rd at Caryhurst Dr,52
787,Rhode Island Ave at 43rd Ave,52
653,Metro Dr at Gate 7 Security Booth,52
985,Woodyard Rd at Tanglewood Center,52
803,Ritchie Rd at Dennis Ct,51
284,Brandywine Road @ Killarney Street,51
828,Rochelle Ave at Elmhurst St,51
176,Allentown Rd at Waldran Dr,51
157,Ager Rd at Peabody St,50
3,10233 Campus Way South,50
261,Bladensburg Rd at 43rd Ave,50
351,Campus Way North at Collington Campus,50
552,Kipling Pkwy at Ritchie Rd,50
513,INDIAN HEAD HIGHWAY & AUDREY LANE,50
861,Silver Hill Rd at Swann Rd,50
115,ALLENTOWN ROAD & PATS LANE,49
953,Toledo Rd at Adelphi Rd,49
