,stop,alightings
755,Pennsylvania Ave at Forestville Rd,293
497,Hanover Pkwy at Greenbrook Dr,293
968,Walker Mill Rd at Rochell Ave,293
630,Marlboro Pike at Kipling Pkwy,292
439,East Capitol St at Yost Pl,288
528,Indian Head Highway at Southern Ave,285
416,Coventry Way at Old Alexandria Ferry Rd,285
447,Elm St at Gov Oden Bowie Dr,285
24,28th Ave at Keating St,285
486,Hamilton St at 36th Ave,280
225,Baltimore Ave at East-West Hwy,278
260,Bladensburg Rd at 42nd Ave,278
472,Good Luck Rd at Dawnwood Dr,276
11,14th Ave at Langley Way,276
341,Brooks Dr at Ridley St,276
797,Rhode Island Avenue at Opp 37th Pl,274
743,Oxon Hill Rd at Rivertown Commons(6135),271
732,Oxon Hill Rd at 6130 Oxon Hill Rd,270
610,MLK Jr Hwy at 69th Pl,268
434,Donnell Drive at Target Store,267
498,Hanover Pkwy at Greenway Center Dr,265
243,Baltimore Ave at Rossborough Ln,264
562,Lamont Dr at Westbrook Dr,263
400,Columbia Park Rd at South Club Dr,262
544,Kanawha St at 15th Ave,256
563,Landover Rd at 55th Ave,253
735,Oxon Hill Rd at 6246 Oxon Hill Rd,252
419,Denise Dr at Rollins Ave,250
601,Lottsford Rd at Harry S. Truman,249
799,Ritchie Rd at Alberta Dr,247
579,Largo Rd at Hancock Dr,247
742,Oxon Hill Rd at Riverside Plaza Apts,247
46,38th St at Windom Rd,247
192,Apollo Dr at Lottsford Rd,246
814,Ritchie Rd at Roslyn Ave,246
190,Annapolis Rd at Riverdale Rd,243
334,Brinkley Rd at Shopton Pl,242
474,Gov. Oden Bowie Dr at Rear C.A.B.,239
431,Donnell Dr at Marlboro Pike,238
234,Baltimore Ave at Knox Rd,237
609,MLK Jr Hwy at 65th Ave,237
249,Baltimore Ave at Van Buren St,235
982,Woodyard Rd at Opp. Pine View Ln,234
734,Oxon Hill Rd at 6201 Oxon Hill Plaza,233
771,Queens Chapel Rd at Nicholson St,232
699,Old Marlboro Pike at Roblee Dr,231
359,Campus Way South at College Station Dr (PGCC),230
467,Forestville Rd at Parston Dr,230
471,Good Luck Rd at Cathedral Ave,228
342,Brooks Drive at Marlboro Pike,227
618,MLK Jr Hwy at Glen Willow Dr,227
44,38th St at Utah Ave,226
22,23rd Ave at Woodberry St,224
80,60th Ave at Greenbelt Rd,223
417,Denise Dr at Dutton Way,222
633,Marlboro Pike at Tucker's Restaurant,222
778,Raleigh Rd at Culver St,222
331,Brinkley Rd at Rose Croft Shopping Center,220
786,Rhode Island Ave at 42nd Pl,219
629,Marlboro Pike at Forest Run Dr,219
876,Southern Ave at Robert Yedell Towers,219
418,Denise Dr at Epworth Way,218
413,County Rd at Valley Brook Apts,217
865,Southern Ave at 13th St SE,216
779,Raleigh Rd at Olson St,215
489,Hamilton St at 38th St,214
438,East Capitol St at Old Central Ave,213
567,Landover Rd at 58th Pl,213
604,Lottsford Rd at McCormick Dr,212
833,Rollins Ave at Rollins Ln,211
943,Temple Hill Rd at Portal Ave,210
145,Addison Rd at St Margaret's School,209
196,Ardwick-Ardmore Rd at MLK Jr Hwy,207
238,Baltimore Ave at Oglethorpe St,206
207,Ashwood Dr at Ritchie Rd,206
656,Morris Ave at Maxwell Dr,206
817,Ritchie Rd at Vineyard Dr,205
572,Largo Rd  at Water Foul Way,205
721,Owens Rd at Irvington St,204
978,Woody Terrace at Woodyard Road,203
377,Cheverly Ave at Columbia Park Rd,200
944,Temple Hill Rd at Rickey Ave,198
446,Edgeworth Dr at Ritchie Rd,197
211,Auth Rd at Carswell Ave,197
824,Riverdale Rd at Fountainbleau Dr,194
811,Ritchie Rd at Ritchie Dr,193
478,Greenbelt Metro Station Bus Bay A,193
812,Ritchie Rd at Ritchie Rd Spur,193
188,Annapolis Rd at Bladensburg Elem. School,191
741,Oxon Hill Rd at Oxon Hill Plaza(6201),191
640,Maxwell Dr at Morris Ave,189
723,Owens Rd at Kennebec St,189
423,District Heights Pkwy at Addison Rd S,189
545,Kipling Pkwy at Brewton St,188
337,Brinkley Rd at Temple Hill Rd,188
205,Ashwood Dr at Dunmore Pl,187
675,Old Branch Ave at 6811 Old Branch Ave,187
939,Temple Hill Rd at Opp. Southeast Mobile Estates,186
276,Brandywine Rd at Clinton Way,183
822,Riverdale Rd and 7600 Riverdale Road,183
465,Fisher Rd at St. Moritz Dr,182
480,Greenbelt Rd at Lakecrest Dr,182
27,28th Pkwy at 27th Ave,181
558,Lamont Dr at Lamont Pl,180
855,Silver Hill Rd at Metro Dr,180
329,Brinkley Rd at Opp. Rosecroft Shopping Center,180
441,East-West Hwy at Metro Center Dr,179
808,Ritchie Rd at Napier Dr,179
399,Columbia Park Rd at Oregon Ave,179
974,West Hyattsville Station,178
226,Baltimore Ave at Erie St,178
63,42nd Ave at Madison St,176
790,Rhode Island Ave at County Service Building - NB,175
800,Ritchie Rd at Ashville Rd,175
177,Allentown Rd at Westchester Ct,174
274,Brandywine Rd & Gwynn Park High School,174
289,Brandywine Road at Surrats Road,173
678,Old Branch Ave at Arbutus Ln,172
396,Columbia Park Rd at Columbia Pl,172
138,Addison Rd at Drylog St,172
556,Lamont Dr at Donoghue Dr,171
370,Central Ave at Rollins Ave,170
957,University Blvd at Guilford Rd,170
621,MLK Jr Hwy at Roosevelt Ave,170
321,Brinkley Rd at John Hanson Ln,169
677,Old Branch Ave at Allentown Way - Arrival,168
793,Rhode Island Ave at Shepherd St,167
553,Kipling Pkwy at Wintergreen Ave,167
428,District Heights Pkwy at Rochelle Ave,167
160,Allentown Rd at 5711 AFCU Allentown Rd,167
826,Riverdale Rd at Mahoney Dr,165
591,Largo Rd at West Kettering Dr,165
668,Old Alexandria Ferry Rd at Highland Meadows Dr,165
495,Hampton Park Boulevard at Steeplechase,165
51,4106 Whitehall Square Apts,164
637,Matapeake Business Dr at Target Store,163
898,St Barnabas Rd at Temple Hill Rd,163
98,9206 Springhill Lane,162
917,Suitland Rd at Towne Square Blvd,162
902,Stars Entrance Gaylord Hotel at National Harbor Blvd,162
866,Southern Ave at 6th St SE,162
197,Ardwick-Ardmore Rd at Preston St,162
693,Old Marlboro Pike at Melwood Park Ave,161
314,Brinkley Rd at Cherryfield Rd,160
851,Saint Barnabas Rd at Barrowfield Rd,160
65,42nd Ave at Oglethorpe St,160
937,Temple Hill Rd at Megan Dr,160
934,Temple Hill Rd at Kirbywood St,160
762,Piscataway Rd at Old Branch Ave,160
365,Central Ave at Brightseat Rd,159
871,Southern Ave at Forest Hills Apartment,158
191,Apollo Dr at Arena Dr,158
86,7711 Old Alexandria Ferry Rd,155
854,Saint Barnabas Rd at John Hanson Ln,154
221,Baltimore Ave at Berwyn Rd,154
590,Largo Rd at Watkins Park Dr,153
34,38th St at Allison St,153
449,Equestrian Center Lot 1 (Arrival),153
548,Kipling Pkwy at Harwood Rd,152
165,Allentown Rd at Coolridge Rd,152
4,1100 Owens Rd,151
236,Baltimore Ave at Longfellow St,151
179,Allentown Way at Allentown Rd,151
653,Metro Dr at Gate 7 Security Booth,149
810,Ritchie Rd at Putnam Ln,148
414,County Service Building,147
408,County Administration Building,147
55,4192 Whitehall Square Apts,146
167,Allentown Rd at Karen Anne Dr,146
142,Addison Rd at James Farmer Way,144
791,Rhode Island Ave at County Service Building - SB,143
807,Ritchie Rd at Mane Ln,142
713,Opp. 1300 McCormick Dr,142
73,5295 85th Ave,142
566,Landover Rd at 58th Ave,141
897,St Barnabas Rd at Raleigh Rd,139
619,MLK Jr Hwy at Greig St,139
336,Brinkley Rd at Summerhill Rd,139
231,Baltimore Ave at Hollywood Rd,139
945,Temple Hill Rd at Santeetlah Dr,138
31,28th Pkwy at Fairlawn St,138
28,28th Pkwy at Afton St,138
54,4174 Whitehall Square Apts,138
738,Oxon Hill Rd at John Hanson Ln,138
96,85th Avenue and Hiltop Apartments,138
490,Hamilton St at 3900,138
58,4258 Whitehall Square Apts,138
910,Suitland Rd at 4410 Suitland Rd,136
394,Columbia Park Rd at Cabin Branch Dr,136
533,Jericho Residences (Southbound),135
186,Annapolis Rd at 54th St,134
815,Ritchie Rd at Shepherd St,134
395,Columbia Park Rd at Clarkson Way,134
506,Hanover Pkwy at Village Park Dr,133
194,Ardwick-Ardmore Rd at Ardwick Pl,133
445,East-West Hwy at Toledo Terrace,132
352,Campus Way North at Grey Gables Ct,131
904,Stuart Ln at Surrats Rd,131
14,23rd Ave at  Beechwood Rd,131
251,Belcrest Rd at 6505 Belcrest Rd,130
929,Temple Hill Rd at Cedell Pl,130
671,Old Alexandria Ferry Rd at Mike Shapiro Dr,130
366,Central Ave at Garrett A Morgan Blvd,129
166,Allentown Rd at Dodge Ln,128
952,Toldeo Rd at Belcrest Rd,127
144,Addison Rd at Seat Pleasant Dr,127
575,Largo Rd at Buck Ln,127
961,Village Dr West at Clairfield Ln,126
966,WILSON BRIDGE DRIVE,126
496,Hanover Pkwy at Green Manor Ct,125
694,Old Marlboro Pike at Melwood Rd,123
783,Rhode Island Ave at 38th St,123
585,Largo Rd at Mount Lubentia Way,123
440,East Capitol Street at Maryland Park Drive,122
293,Brightseat Rd at Ardwick-Ardmore Rd,122
932,Temple Hill Rd at Hagan Rd,122
241,Baltimore Ave at Regents Dr,122
244,Baltimore Ave at Sheridan St,121
860,Silver Hill Rd at Suitland Rd,121
979,Woodyard Rd at Autumn Way,121
551,Kipling Pkwy at Opp. 7805 Ritchie Rd,121
270,Bock Rd at Wolf St,120
821,Ritchie-Marlboro Rd & Sansbury Rd,120
163,Allentown Rd at Brinkley Rd (Family Services),119
246,Baltimore Ave at Tuckerman St,118
53,4138 Whitehall Square Apts - in,118
611,MLK Jr Hwy at Addison Rd,118
30,28th Pkwy at Duggan St,118
258,Bladensburg Rd at 40th Pl,118
259,Bladensburg Rd at 41st Ave,118
85,7600 Riverdale Rd,118
39,38th St at Parkwood St,117
856,Silver Hill Rd at Parkway Terrace Dr,117
816,Ritchie Rd at Truck Way,116
232,Baltimore Ave at Indian Ln,116
942,Temple Hill Rd at Plata St,116
267,Bock Rd at Saint Barnabas Rd,116
305,Brightseat Rd at McCLain Ave,115
872,Southern Ave at Forest Hills Apts,115
168,Allentown Rd at Kingston Dr,115
52,4112 Whitehall Square Apts,115
882,Southern Rd at Wheeler Rd,114
487,Hamilton St at 37th Ave,114
794,Rhode Island Ave at Volta Ave,114
561,Lamont Dr at Quentin St,114
319,Brinkley Rd at Huncrest Ent,114
444,East-West Hwy at Toledo Terr,114
393,Columbia Park Rd at Beaver Rd,113
150,Ager Rd at 23rd Ave,113
302,Brightseat Rd at Hamlin St,113
712,Opp Truman Manor Entrance,113
543,Kanawha St at 14th Ave,113
479,Greenbelt Rd at Greenbelt Park Entrance,113
57,4211 Suitland Rd (Opposite),111
825,Riverdale Rd at Heritage Square Apts,110
522,Indian Head Highway (MD RTE. 210) at Livingston Rd,110
172,Allentown Rd at Perrie Ln,110
7,1400 Merchantile Ln,109
279,Brandywine Rd at Horshoe Rd,109
71,5150 Annapolis Rd,109
424,District Heights Pkwy at Breton Dr,109
552,Kipling Pkwy at Ritchie Rd,108
513,INDIAN HEAD HIGHWAY & AUDREY LANE,107
298,Brightseat Rd at Evarts St,107
569,Landover Rd at Arena Dr,107
184,Annapolis Rd at 53rd St,107
322,Brinkley Rd at Kildare Ct,106
967,Walker Mill Rd at Brooksquare Dr,106
663,OLD BRANCH AVENUE & ALLENTOWN WAY,106
283,Brandywine Rd at Woodyard Rd,105
99,9240 Springhill Ln,105
787,Rhode Island Ave at 43rd Ave,105
354,Campus Way North at Tulip Tree Dr,104
624,MLK Jr Hwy at Southland Dr,104
379,Cheverly Ave at Forest Rd,103
584,Largo Rd at Largo Landing,103
820,Ritchie Station Court Bus Stop #2,103
716,Opp. 5805 Queens Chapel Rd,101
247,Baltimore Ave at Underwood St,100
818,Ritchie Rd at Walker Mill Rd,99
426,District Heights Pkwy at Marbury Ct (W),98
421,Dille Dr at Correctional Center,98
149,Ager Rd and Oglethorpe St,98
813,Ritchie Rd at Ritchie-Marlboro Rd,98
181,Annapolis Rd at 46th St,98
792,Rhode Island Ave at Gallatin St,97
565,Landover Rd at 57th Ave,97
59,42nd At Jefferson St,97
286,Brandywine Road @ Surrats Road,97
357,Campus Way S at Treetop Condo,96
602,Lottsford Rd at Harry S. Truman Dr,96
631,Marlboro Pike at Marwood Blvd N,96
475,Governor Oden Bowie Dr at Elm St,95
237,Baltimore Ave at Metzerott Rd,95
782,Rhode Island Ave at 37th St,95
960,Village Dr West at Bishopmill Dr,95
509,Harry S Truman Dr at Mt Lubentia Way,94
152,Ager Rd at Kirkwood Place,94
300,Brightseat Rd at Glenarden Library,94
463,Fisher Rd at Heather Hill Ent.,94
667,Old Alexandria Ferry Rd at Heflin Dr,93
473,Good Luck Rd at Terra Alta Dr,93
508,Harry S Truman Dr at Campus Way S,93
947,Temple Hill Rd at Spring Ter,93
711,Olson St at Norcross St,93
772,Queens Chapel Rd at Oliver St,92
5,1301 McCormick Dr,92
430,Donnell Dr at 2900 Donnell Dr,92
348,CAMPUS WAY NORTH AT LADY GROVE ROAD,92
729,Owens Rd at Woodland Blvd,91
532,Jericho Residences,91
950,Temple Hill Rd at Weldon Dr,91
74,5401 85th Ave,91
651,Merrimac St at 14th Ave,90
36,38th St at Gaines Pl,90
973,Water St & Main St,90
737,Oxon Hill Rd at Harborview Rd,89
312,Brinkley Rd at Brinkley Manor W Ent,89
287,Brandywine Road at Brooke Jane Drive,89
435,Dower House Rd at Old Marlboro Pike,89
781,Rhode Island (US RTE 1) at Mount Rainer Terminal,89
687,Old Marlboro Pike at Brooklee Dr,88
38,38th St at Jackson Ave,88
612,MLK Jr Hwy at Booker Dr,87
614,MLK Jr Hwy at Carrington Ave,87
899,St Barnabas Rd at Wheeler Rd,87
549,Kipling Pkwy at Marbury Dr,87
178,Allentown Rd at Westchester Dr,86
652,Merrimac St at New Hampshire Ave Service Rd,86
970,Walker Mill Rd at Tanow Pl,85
326,Brinkley Rd at Middlefield Rd,85
185,Annapolis Rd at 54th Pl,85
129,ALLENTOWN WAY & 5846 ALLENTOWN WAY,84
391,Columbia Park Rd at 64th Ave,84
411,County Rd at Elmhurst St,83
728,Owens Rd at Wheeler Rd,83
183,Annapolis Rd at 53rd Pl,83
269,Bock Rd at Technology Recreation Complex,83
29,28th Pkwy at Curtis Dr,82
268,Bock Rd at Sourwood Ln,82
193,Apollo Dr at Mercantile Ln,81
288,Brandywine Road at Dennison Drive,81
765,Pontiac St at 63rd Ave,80
573,Largo Rd at Black Swan Dr,80
62,42nd Ave at Jefferson St,79
476,Greenbelt Metro Dr at Cherrywood Ln,79
147,Addison Rd at Wilburn Dr,79
155,Ager Rd at Nicholson St,78
307,Brightseat Rd at Opp. Maple Ridge Apts #1,78
938,Temple Hill Rd at Old Temple Hill Rd,78
861,Silver Hill Rd at Swann Rd,78
410,County Rd at Belwood St,77
316,Brinkley Rd at George Washington Dr,77
481,Greenbelt Rd at Walker Dr,77
805,Ritchie Rd at Farrs Ln,77
154,Ager Rd at Nicholson,77
892,St Barnabas Rd at Frazier Ter,77
84,6801 Woodside Village Apts,76
946,Temple Hill Rd at Southeast Mobile Estates,76
933,Temple Hill Rd at Henderson Rd,75
310,Brinkley Rd at Anderson Dr,75
228,Baltimore Ave at Hamilton St,75
928,Temple Hill Rd at Cardwell Dr,75
859,Silver Hill Rd at Randall Rd,75
767,Pontiac St at Edmonston Rd,75
6,1400 McCormick Dr,75
529,Indian Head Highway at Tecumseh Dr,74
317,Brinkley Rd at Glen Oak Dr,74
719,Opposite of Rose Croft Shopping Center,74
338,Brinkley Rd at Trude St,74
796,Rhode Island Ave at Webster St,73
888,Springhill Ln at Market Ln,73
19,23rd Ave at Fordham St,73
82,60th Ave at Seminole St,73
257,Bladensburg Rd at 40th Ave,73
503,Hanover Pkwy at Opp. Hunting Ridge Club Apts,71
809,Ritchie Rd at Overton Dr,71
462,Fisher Rd at Heather Hill,71
906,Stuart Ln at Topaz Ct,71
367,Central Ave at Hampton Park Blvd,70
586,Largo Rd at Opp. Town Farm Rd,70
208,Auth Rd at #6208-6220,70
915,Suitland Rd at Suitland Federal Center Gate 1,70
239,Baltimore Ave at Queens Chapel Rd,70
137,Addison Rd at Crown St,70
79,58th Ave at Berwyn Rd,70
17,23rd Ave at Chapman Rd,69
615,MLK Jr Hwy at Carrington Dr,69
873,Southern Ave at Opp. Robert Yedell Towers,68
248,Baltimore Ave at University Blvd,68
517,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,68
2,10147 Campus Way South,68
347,CAMPUS WAY NORTH AT HILLANDALE WAY,68
831,Rollins Ave at District Ave,68
123,ALLENTOWN ROAD & VERNON DRIVE,67
681,Old Branch Ave at Opp. 6811 Old Branch Ave,67
466,Fisher Rd at Temple Blvd,67
559,Lamont Dr at Larchwood St,67
459,Fisher Rd at Clow Ct,67
437,East Capitol St at Maryland Park Dr,67
1,10100 Campus Way S,66
201,Ardwick-Ardmore Rd at West St,66
180,Allentown Way at Allentown Rd (Aldi's),66
958,University Blvd at Phelps Rd,65
333,Brinkley Rd at Saint Ignatius Dr,65
842,SOUTHERN AVENUE & FOREST HILLS APARTMENTS,65
500,Hanover Pkwy at Hunting Ridge Club Apts,64
746,PALMER ROAD & DEVON HILLS DRIVE,64
381,Cheverly Ave at Kilmer St,64
175,Allentown Rd at Waldran Ave,63
156,Ager Rd at Oglethorpe St,63
369,Central Ave at Ritchie Rd,63
140,Addison Rd at Ernie Banks St,63
330,Brinkley Rd at Roberts Dr,62
980,Woodyard Rd at Canberra Dr,62
45,38th St at Volta Ave,61
768,Quebec St at 58th Ave,61
764,Pontiac St at 60th Ave,61
371,Central Ave at Yeoman Pl,61
709,Old Silver Hill Rd at Parkland Ct (E),60
570,Landover Rd at Lake Arbor Way,60
502,Hanover Pkwy at Megan Ln,60
403,Columbia Park Rd at Virginia Ave,60
114,ALLENTOWN ROAD & PADGETTS CORNER,59
214,Auth Rd at Gloria Dr,59
935,Temple Hill Rd at Lakeview Dr,58
981,Woodyard Rd at Marlboro Pike,58
868,Southern Ave at Barnaby Road,58
261,Bladensburg Rd at 43rd Ave,57
141,Addison Rd at Health Center Ent.,57
669,Old Alexandria Ferry Rd at Malcolm Rd,57
170,Allentown Rd at Opp. 5711 AFCU Allentown Rd,57
739,Oxon Hill Rd at Opposite Clipper Way (6383),56
745,PALMER ROAD & DELLA LANE,56
233,Baltimore Ave at Jefferson St,56
832,Rollins Ave at Hanlon Street,55
278,Brandywine Rd at Groveton Dr,55
407,Council Dr at Kipling Pkwy,55
360,Campus Way South at Harry S Truman Dr,55
153,Ager Rd at Lancer Dr,54
523,Indian Head Highway (MD. RTE. 210) at Livingston Road,54
26,28th Ave at Kenton Pl,54
50,40th Pl at Gallatin St,54
976,Whitehall Square Apts at Community Hall,53
985,Woodyard Rd at Tanglewood Center,53
613,MLK Jr Hwy at Cabin Branch Dr,53
425,District Heights Pkwy at Marbury Ct (E),53
875,Southern Ave at Robert Yedell Tower,52
75,57th Ave at Berwyn Rd,52
845,SOUTHERN AVENUE & WHEELER ROAD AM NS,52
355,Campus Way S at PGCC Entrance,51
325,Brinkley Rd at Mark Dr,51
647,McCormick Dr at UMUC,51
206,Ashwood Dr at Ritche Rd,51
798,Rhode Island at Wallace Rd Prem #4511,51
136,Addison Rd at Baltic St,50
469,Gallatin St at 43rd Ave,50
692,Old Marlboro Pike at Marlborough Dr,50
760,Piscataway Rd at Brandywine Rd,50
125,ALLENTOWN ROAD & WEBSTER LANE,49
744,Oxon Run Dr at Oxon Run Ct,49
834,Rollins Ave at Upcot Ct,49
42,38th St at Taylor St,49
648,Melwood Training Center,49
401,Columbia Park Rd at Stanford Court,48
303,Brightseat Rd at Maple Ridge Apts #1,48
345,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,48
