,stop,boardings,alightings
383,Brinkley Rd at Summerhill Rd,102,104
402,Campus Drive at Baltimore Ave,20,103
1285,Toldeo Rd at Belcrest Rd,17,103
1119,Riverdale Rd at Heritage Square Apts,49,103
1177,Silver Hill Rd at Suitland Rd,107,103
1062,Rhode Island Ave at 42nd Pl,123,103
553,East Capitol St at Old Central Ave,67,103
1116,Riverdale Rd at Eastpine Dr,30,103
101,58th Ave at Berwyn Rd,84,102
1030,Possum Ct at Walker Mill Dr,121,102
1070,Rhode Island Ave at Volta Ave,140,102
385,Brinkley Rd at Trude St,117,101
543,Dodge Park Rd at Landover Rd,109,101
998,PALMER ROAD & INDIAN HEAD HIGHWAY,221,101
1087,Ritchie Rd at Overton Dr,61,101
647,Hamilton St at 3900,111,101
70,4106 Whitehall Square Apts,200,100
1118,Riverdale Rd at Fountainbleau Dr,314,99
536,District Heights Pkwy at Breton Dr,132,99
1103,Riverdale Rd and 7600 Riverdale Road,139,99
184,Allentown Rd at 5711 AFCU Allentown Rd,108,98
1244,Suitland Rd at Suitland Federal Center Gate 1,119,98
4,10800 Indian Head Highway at Fort Washington Manor,77,98
394,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,94,97
705,Ikea at Bus Bay 3,387,97
1314,Walker Mill Rd at Brooksquare Dr,34,96
342,Brightseat Rd at Evarts St,139,96
733,Kenilworth Ave at Nicholson St,48,96
1283,Temple Hill Rd at Weldon Dr,146,96
901,Old Alexandria Ferry Rd at Malcom Rd,36,95
1069,Rhode Island Ave at Shepherd St,29,95
1280,Temple Hill Rd at Spring Ter,83,95
852,Matapeake Business Dr at Target Store,1565,94
1287,Toledo Rd at Belcrest Rd,77,94
1265,Temple Hill Rd at Hagan Rd,70,94
906,Old Branch Ave at 6811 Old Branch Ave,33,94
1120,Riverdale Rd at Mahoney Dr,130,94
277,Baltimore Ave at Sheridan St,138,93
310,Bock Rd at Wolf St,225,93
1267,Temple Hill Rd at Kirbywood St,128,93
1166,Sheriff Rd at MLK Highway,66,93
925,Old Marlboro Pike at Melwood Park Ave,90,93
309,Bock Rd at Technology Recreation Complex,36,93
107,7600 Riverdale Rd,156,93
495,Columbia Park Rd at Columbia Pl,91,92
243,Auth Rd at Carswell Ave,141,91
192,Allentown Rd at Kingston Dr,67,91
760,Landover Rd at 58th Ave,96,90
1055,Ray Rd at Madison St,68,90
948,Opp. 1300 McCormick Dr,12,90
463,Cheverly Ave at Columbia Park Rd,43,90
138,ALLENTOWN ROAD & PADGETTS CORNER,91,89
269,Baltimore Ave at Longfellow St,86,89
414,Campus Way South at PGCC Perimeter Rd,91,89
761,Landover Rd at 58th Pl,31,89
1058,Rhode Island Ave at 37th St,121,89
501,Columbia Park Rd at Stanford Court,41,88
472,Chillum Rd at 18th Ave,21,88
749,Lamont Dr at Lamont Pl,208,88
91,5150 Annapolis Rd,100,88
1094,Ritchie Rd at Truck Way,257,88
752,Lamont Dr at Quentin St,107,88
996,PALMER ROAD & DEVON HILLS DRIVE,99,88
653,Hanover Pkwy at Green Manor Ct,150,87
1036,Queens Chapel Rd at Nicholson St,82,87
837,Marlboro Pike at Forest Run Dr,82,87
645,Hamilton St at 38th Ave,105,87
980,Oxon Hill Rd at Harborview Rd,65,86
1032,Quebec St at 58th Ave,84,86
196,Allentown Rd at Perrie Ln,111,85
1178,Silver Hill Rd at Swann Rd,69,85
33,28th Pkwy at 27th Ave,134,84
511,County Rd at Elmhurst St,93,83
359,Brinkley Rd at Brinkley Manor W Ent,425,83
1268,Temple Hill Rd at Lakeview Dr,48,83
1290,University Blvd at 23rd Ave,242,83
204,Allentown Way at Allentown Rd (Aldi's),63,83
899,Old Alexandria Ferry Rd at Highland Meadows Dr,4,82
205,Annapolis Rd at 46th St,90,82
737,Kipling Pkwy at Council Dr,60,82
327,Brandywine Road at Dennison Drive,18,82
