,hour,route,boardings,alightings
114,8,Route 22,227,235
195,11,Route 12,224,208
27,5,Route 24,223,122
460,19,Route 35,223,262
391,17,Route 25,221,183
13,5,Deadhead,219,163
176,10,Route 23,218,206
59,6,Route 27,213,169
66,6,Route 36,208,161
325,15,Route 23,208,226
393,17,Route 27,207,200
145,9,Route 23,206,266
38,5,Route 37,206,193
447,19,Route 20,206,215
57,6,Route 25,203,172
226,12,Route 14,200,228
293,14,Route 22,200,174
119,8,Route 27,200,225
252,13,Route 11,197,169
408,18,Route 11,196,219
65,6,Route 35,196,173
223,12,Route 11,194,185
73,7,Route 11,194,186
106,8,Route 14,193,191
388,17,Route 22,193,208
283,14,Route 12,192,196
268,13,Route 28,191,186
317,15,Route 15 Express,189,146
422,18,Route 25,186,198
311,15,Deadhead,178,145
359,16,Route 25,178,184
411,18,Route 14,177,182
250,13,Deadhead,176,168
371,16,Route 51,173,202
43,6,Route 11,171,163
280,14,Deadhead,168,163
133,9,Route 11,168,161
380,17,Route 14,166,215
175,10,Route 22,164,136
451,19,Route 23,164,225
137,9,Route 15 Express,162,145
484,21,Deadhead,157,178
282,14,Route 11,156,192
324,15,Route 22,154,167
197,11,Route 14,153,156
356,16,Route 22,153,145
375,17,Deadhead,147,142
136,9,Route 14,144,191
221,12,Deadhead,143,170
233,12,Route 22,140,120
438,19,Maintenance,140,140
454,19,Route 26,139,181
329,15,Route 27,139,133
439,19,Route 11,138,143
412,18,Route 15 Express,134,173
465,19,Strategic,134,146
361,16,Route 27,134,131
298,14,Route 27,133,141
144,9,Route 22,132,130
249,12,Strategic,131,133
149,9,Route 27,130,134
117,8,Route 25,130,128
68,6,Route 51,129,111
164,10,Route 11,128,141
147,9,Route 25,128,109
424,18,Route 27,125,143
487,22,Deadhead,124,134
167,10,Route 14,124,87
418,18,Route 21 Express,123,163
466,20,Deadhead,123,137
194,11,Route 11,122,98
267,13,Route 27,122,114
448,19,Route 21,120,172
46,6,Route 14,118,142
41,6,Deadhead,118,85
33,5,Route 32,117,31
437,19,Deadhead,115,124
209,11,Route 27,114,96
472,20,Route 18,114,214
262,13,Route 22,112,114
479,20,Route 33,108,125
327,15,Route 25,108,107
296,14,Route 25,107,102
442,19,Route 14,106,103
238,12,Route 27,101,123
16,5,Route 12,100,86
53,6,Route 21 Express,100,4
192,11,Deadhead,98,100
180,10,Route 27,98,116
21,5,Route 17 (Route 1 Ride),97,73
406,18,Deadhead,91,100
204,11,Route 22,91,116
265,13,Route 25,90,96
486,21,Strategic,88,92
449,19,Route 21 Express,86,89
476,20,Route 24,86,110
207,11,Route 25,85,87
18,5,Route 14,84,51
456,19,Route 30,84,307
178,10,Route 25,83,87
40,5,Strategic,83,69
490,23,Deadhead,82,82
483,20,Strategic,79,80
70,6,Strategic,79,57
220,11,Strategic,77,82
236,12,Route 25,75,74
405,17,Strategic,72,57
156,9,Route 35s,71,39
443,19,Route 15 Express,68,90
