,stop,boardings
385,Brinkley Rd at Trude St,117
559,East-West Hwy at Toledo Ter,117
299,Bladensburg Rd at 41st Ave,117
381,Brinkley Rd at Shopton Pl,117
211,Annapolis Rd at 85th Ave,117
102,60th Ave at Greenbelt Rd,117
1291,University Blvd at Guilford Rd,116
1153,Sargent Rd at Rollingcrest Commons,116
828,Madison St at Ray Rd,115
974,Oxon Hill Rd at 6192 Oxon Hill Rd,115
317,Brandywine Rd at Cork Tree Way,115
949,Opp. 4138 Whitehall Square Apts,114
261,Baltimore Ave at Hamilton St,114
846,Marlboro Pike at Tucker's Restaurant,114
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,114
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,113
343,Brightseat Rd at Girard St,113
583,Fisher Rd at Temple Blvd,113
576,Fisher Rd at Clow Ct,113
36,28th Pkwy at Duggan St,112
196,Allentown Rd at Perrie Ln,111
647,Hamilton St at 3900,111
162,Addison Rd at Drylog St,111
739,Kipling Pkwy at Harwood Rd,110
943,Olson St at Norcross St,110
100,5846 ALLENTOWN WAY,110
279,Baltimore Ave at Tuckerman St,110
543,Dodge Park Rd at Landover Rd,109
184,Allentown Rd at 5711 AFCU Allentown Rd,108
193,Allentown Rd at Old Branch Ave,108
1271,Temple Hill Rd at Old Temple Hill Rd,108
752,Lamont Dr at Quentin St,107
1177,Silver Hill Rd at Suitland Rd,107
1321,West Hyattsville Station - Arrival,107
189,Allentown Rd at Coolridge Rd,107
875,Nalley Rd at Capital View Dr,107
1217,St Barnabas Rd at Deer Park Dr,106
985,Oxon Hill Rd at Opposite Clipper Way (6383),106
822,MLK Jr Hwy at Roosevelt Ave,106
180,Ager Rd at Oglethorpe St,105
1079,Ritchie Rd at Central Ave,105
981,Oxon Hill Rd at John Hanson Ln,105
645,Hamilton St at 38th Ave,105
775,Largo Rd at Buck Ln,105
1093,Ritchie Rd at Shepherd St,104
826,MONUMENT AVE @ MGM CASINO,104
325,Brandywine Road @ Surrats Road,102
383,Brinkley Rd at Summerhill Rd,102
770,Lansdowne Village Apts,102
459,Cherrywood Ln at Springhill Drive,100
91,5150 Annapolis Rd,100
274,Baltimore Ave at Regents Dr,100
654,Hanover Pkwy at Greenbelt Rd,100
996,PALMER ROAD & DEVON HILLS DRIVE,99
323,Brandywine Road @ Killarney Street,99
169,Addison Rd at St Margaret's School,99
16,16th Ave at Cypress Creek Dr,99
1066,Rhode Island Ave at County Service Building - NB,99
283,Baltimore Avenue at Fox Street,99
1215,Springhill Ln at Market Ln,98
220,Ardwick-Ardmore Rd at MLK Jr Hwy,98
842,Marlboro Pike at Marwood Blvd N,98
1014,Pennsylvania Ave at Penn Crossing Dr,98
747,Lamont Dr at Donoghue Dr,98
1067,Rhode Island Ave at County Service Building - SB,97
812,MLK Jr Hwy at Addison Rd,97
207,Annapolis Rd at 53rd Pl,96
1099,Ritchie-Marlboro Rd & Sansbury Rd,96
103,60th Ave at Quebec St,96
867,Merrimac St at New Hampshire Ave Service Rd,96
579,Fisher Rd at Heather Hill,96
760,Landover Rd at 58th Ave,96
977,Oxon Hill Rd at 6400 Clipper Way,95
650,Hampton Park Boulevard at Edgeworth Dr,94
120,85th Avenue and Hiltop Apartments,94
394,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,94
5,1100 Owens Rd,94
190,Allentown Rd at Dodge Ln,94
511,County Rd at Elmhurst St,93
1330,Woodyard Rd at Canberra Dr,93
1165,Sheriff Rd at Harvey Dr,93
1298,Valley Trail Ln at Catesby Ct,93
