,stop,alightings
833,Mandan Rd at Hanover Pkwy,129
445,Central Ave at Rollins Ave,128
201,Allentown Rd at Westchester Ct,128
619,Greenbelt Rd at Opp. Greenbelt Center,128
325,Brandywine Road @ Surrats Road,128
1149,Saint Barnabas Rd at Barrowfield Rd,127
1053,Ray Rd at Cypress Creek Dr,127
1059,Rhode Island Ave at 38th St,126
1077,Ritchie Rd at Alberta Dr,126
1066,Rhode Island Ave at County Service Building - NB,126
531,Denise Dr at Rollins Ave,126
514,County Service Building,125
253,Baltimore Ave at Berwyn Rd,125
95,54th Ave at Jefferson St,125
819,MLK Jr Hwy at Glen Willow Dr,125
1286,Toledo Rd at Adelphi Rd,125
805,Lottsford Rd at McCormick Dr,124
1073,Rhode Island Avenue at Opp 37th Pl,124
378,Brinkley Rd at Rose Croft Shopping Center,124
1155,Sheriff Rd at Belle Haven Dr,124
971,Oxon Hill Fringe Parking Lot at Bus Bay F,123
790,Largo Rd at Watkins Park Dr,122
931,Old Marlboro Pike at Roblee Dr,122
203,Allentown Way at Allentown Rd,121
191,Allentown Rd at Karen Anne Dr,121
1183,Southern Ave at 6th St SE,121
481,Cipriano Rd at Brae Brooke Dr,119
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,119
1096,Ritchie Rd at Walker Mill Rd,119
1231,Stuart Ln at Surrats Rd,119
189,Allentown Rd at Coolridge Rd,118
1086,Ritchie Rd at Napier Dr,118
988,Oxon Hill Rd at Oxon Hill Plaza(6201),118
1152,Saint Barnabas Rd at John Hanson Ln,118
811,MLK Jr Hwy at 69th Pl,118
1225,St Barnabas Rd at Temple Hill Rd,117
576,Fisher Rd at Clow Ct,117
369,Brinkley Rd at Kildare Ct,117
16,16th Ave at Cypress Creek Dr,117
316,Brandywine Rd at Clinton Way,116
494,Columbia Park Rd at Clarkson Way,116
1190,Southern Ave at Forest Hills Apartment,116
20,23rd Ave at Banning Pl,116
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,116
318,Brandywine Rd at Horshoe Rd,115
54,38th St at Hamilton St,115
791,Largo Rd at West Kettering Dr,115
5,1100 Owens Rd,115
376,Brinkley Rd at Opp. Rosecroft Shopping Center,114
294,Benning Rd at Drum Ave,114
366,Brinkley Rd at Huncrest Ent,114
739,Kipling Pkwy at Harwood Rd,113
822,MLK Jr Hwy at Roosevelt Ave,112
1329,Woodyard Rd at Autumn Way,112
1067,Rhode Island Ave at County Service Building - SB,111
1326,Wmap Rd at Icesat Rd,111
260,Baltimore Ave at Guilford Rd,111
1278,Temple Hill Rd at Santeetlah Dr,111
555,East Capitol Street at Maryland Park Drive,110
1311,Walker Mill Dr at New Mt. Nebo Baptist Church,110
1085,Ritchie Rd at Mane Ln,110
549,Dower House Rd at Old Marlboro Pike,109
166,Addison Rd at James Farmer Way,109
967,Owens Rd at Wheeler Rd,109
1035,Queens Chapel Rd at Lancer Dr,109
775,Largo Rd at Buck Ln,109
479,Chillum Rd at Shoppers Food,109
1173,Silver Hill Rd at Parkway Terrace Dr,108
34,28th Pkwy at Afton St,108
580,Fisher Rd at Heather Hill Ent.,108
542,Dodge Park Rd at Hubbard Rd,108
743,Kipling Pkwy at Ritchie Rd,107
1270,Temple Hill Rd at Megan Dr,107
22,23rd Ave at Drexel St,106
373,Brinkley Rd at Middlefield Rd,106
880,Nalley Rd at Michele Ct,106
368,Brinkley Rd at John Hanson Ln,106
76,4211 Suitland Rd (Opposite),106
643,Hamilton St at 36th Ave,105
361,Brinkley Rd at Cherryfield Rd,105
383,Brinkley Rd at Summerhill Rd,104
1177,Silver Hill Rd at Suitland Rd,103
1119,Riverdale Rd at Heritage Square Apts,103
402,Campus Drive at Baltimore Ave,103
1285,Toldeo Rd at Belcrest Rd,103
553,East Capitol St at Old Central Ave,103
1062,Rhode Island Ave at 42nd Pl,103
1116,Riverdale Rd at Eastpine Dr,103
1030,Possum Ct at Walker Mill Dr,102
1070,Rhode Island Ave at Volta Ave,102
101,58th Ave at Berwyn Rd,102
385,Brinkley Rd at Trude St,101
998,PALMER ROAD & INDIAN HEAD HIGHWAY,101
543,Dodge Park Rd at Landover Rd,101
647,Hamilton St at 3900,101
1087,Ritchie Rd at Overton Dr,101
70,4106 Whitehall Square Apts,100
1103,Riverdale Rd and 7600 Riverdale Road,99
536,District Heights Pkwy at Breton Dr,99
1118,Riverdale Rd at Fountainbleau Dr,99
4,10800 Indian Head Highway at Fort Washington Manor,98
1244,Suitland Rd at Suitland Federal Center Gate 1,98
184,Allentown Rd at 5711 AFCU Allentown Rd,98
394,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,97
705,Ikea at Bus Bay 3,97
733,Kenilworth Ave at Nicholson St,96
342,Brightseat Rd at Evarts St,96
1283,Temple Hill Rd at Weldon Dr,96
1314,Walker Mill Rd at Brooksquare Dr,96
1069,Rhode Island Ave at Shepherd St,95
901,Old Alexandria Ferry Rd at Malcom Rd,95
1280,Temple Hill Rd at Spring Ter,95
1287,Toledo Rd at Belcrest Rd,94
906,Old Branch Ave at 6811 Old Branch Ave,94
852,Matapeake Business Dr at Target Store,94
1120,Riverdale Rd at Mahoney Dr,94
1265,Temple Hill Rd at Hagan Rd,94
309,Bock Rd at Technology Recreation Complex,93
107,7600 Riverdale Rd,93
925,Old Marlboro Pike at Melwood Park Ave,93
277,Baltimore Ave at Sheridan St,93
1267,Temple Hill Rd at Kirbywood St,93
310,Bock Rd at Wolf St,93
1166,Sheriff Rd at MLK Highway,93
495,Columbia Park Rd at Columbia Pl,92
