,stops,boardings,alightings
123,ROCKVILLE PIKE & WOOTTON PKWY,2293.0,1802.0
60,N FREDERICK AVE & BROOKS AVE,2225.0,2223.0
70,N WASHINGTON ST & MARTINS LN,2200.0,2395.0
5,CHRISTOPHER AVE & RUSSELL AVE,2022.0,2259.0
52,LOST KNIFE RD & CIDER MILL APTS,2017.0,854.0
102,ROCKVILLE PIKE & MT VERNON PL,1996.0,2401.0
108,ROCKVILLE PIKE & PIKE CENTER,1995.0,1850.0
8,CONTOUR RD & LOST KNIFE RD,1924.0,482.0
131,S FREDERICK AVE & DEER PARK DR,1915.0,1053.0
135,S FREDERICK AVE & N WESTLAND DR,1898.0,739.0
2,CHRISTOPHER AVE & GALLOP HILL RD,1888.0,243.0
33,FREDERICK RD & PLUMMER DR,1844.0,1244.0
20,FREDERICK RD & COLLEGE PKWY,1742.0,2007.0
138,S FREDERICK AVE & S WESTLAND DR,1712.0,1619.0
99,ROCKVILLE PIKE & HUBBARD DR,1696.0,4333.0
132,S FREDERICK AVE & DEER PARK RD,1659.0,644.0
104,ROCKVILLE PIKE & NICHOLSON LN,1654.0,2233.0
78,ODENDHAL AVE & RUSSELL AVE,1630.0,1864.0
63,N FREDERICK AVE & MONTGOMERY AVE,1608.0,2075.0
12,E MIDDLE LN & MARYLAND AVE,1604.0,211.0
64,N FREDERICK AVE & PROFESSIONAL DR,1573.0,1915.0
92,ROCKVILLE PIKE & FIRST ST,1534.0,2093.0
36,FREDERICK RD & SCENERY DR,1498.0,1885.0
98,ROCKVILLE PIKE & HOYA ST,1482.0,607.0
34,FREDERICK RD & REDLAND RD,1432.0,1631.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,1383.0,400.0
129,S FREDERICK AVE & CEDAR AVE,1382.0,1574.0
44,GROSVENOR STATION  & BAY E,1345.0,3922.0
71,N WASHINGTON ST & MIDDLE LN,1323.0,1735.0
153,TRAVIS AVE & TRAVIS LN,1322.0,864.0
7,CONTOUR RD & HORIZON RUN RD,1308.0,1028.0
91,ROCKVILLE PIKE & EXECUTIVE BLVD,1287.0,2357.0
151,SHAKESPEARE BLVD & OBSERVATION DR,1257.0,1701.0
54,LOST KNIFE RD & MONTGOMERY VILLAGE,1217.0,1195.0
61,N FREDERICK AVE & CHESTNUT ST,1200.0,1012.0
122,ROCKVILLE PIKE & WOODMONT STATION,1133.0,1425.0
17,FREDERICK RD & @20010,1132.0,613.0
66,N FREDERICK AVE & WHETSTONE DR,1112.0,1020.0
19,FREDERICK RD & ARCHDALE RD,1105.0,180.0
57,MANNAKEE ST & HUNGERFORD DR,1098.0,2490.0
106,ROCKVILLE PIKE & NORTH WOOD DR,970.0,68.0
115,ROCKVILLE PIKE & SOUTH WOOD RD,951.0,46.0
29,FREDERICK RD & MIDDLEBROOK RD,935.0,751.0
13,E MIDDLE LN & MONROE ST,933.0,890.0
82,ROCKVILLE PIKE & BETH MED PRK DR,915.0,246.0
119,ROCKVILLE PIKE & THOMPSON AVE,913.0,1433.0
103,ROCKVILLE PIKE & NEW ST,872.0,1462.0
53,LOST KNIFE RD & CONTOUR RD,846.0,1914.0
9,CONTOUR RD & ODENDHAL AVE,837.0,395.0
22,FREDERICK RD & GERMANTOWN RD,826.0,368.0
141,S FREDERICK AVE & WESTLAND DR,824.0,912.0
62,N FREDERICK AVE & MARYLAND AVE,806.0,1065.0
3,CHRISTOPHER AVE & HELLINGLY PL,793.0,875.0
10,CONTOUR RD & TUNSTALL DR,746.0,413.0
86,ROCKVILLE PIKE & CEDAR LN,718.0,488.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,611.0,1391.0
11,E JEFFERSON ST & MARYLAND AVE,587.0,805.0
94,ROCKVILLE PIKE & GROSVENOR LN,562.0,534.0
88,ROCKVILLE PIKE & COUNTRY CLUB RD,544.0,1297.0
154,TRAVIS AVE & TRAVIS VIEW CT,517.0,671.0
113,ROCKVILLE PIKE & ROSE AVE,517.0,3595.0
136,S FREDERICK AVE & O'NEILL DR,500.0,404.0
143,S WASHINGTON ST & MONTGOMERY AVE,498.0,297.0
116,ROCKVILLE PIKE & STRATHMORE AVE,498.0,634.0
42,GERMANTOWN RD & OBSERVATION DR,484.0,125.0
23,FREDERICK RD & GUDE DR,457.0,716.0
137,S FREDERICK AVE & ROSEMONT DR,447.0,1286.0
80,ROCKVILLE PIKE & ALTA VISTA RD,433.0,162.0
39,FREDERICK RD & WATKINS POND BLVD,414.0,243.0
30,FREDERICK RD & MIDWAY CENTER,405.0,277.0
127,RUSSELL AVE & WATKINS MILL RD,402.0,470.0
26,FREDERICK RD & HIGH POINT DR,370.0,223.0
148,SHAKESPEARE BLVD & ETON MANOR DR,366.0,108.0
130,S FREDERICK AVE & CENTRAL AVE,356.0,138.0
67,N FREDERICK RD & GUNNERS BRANCH RD,354.0,166.0
56,MANNAKEE ST & CAMPUS DR,342.0,58.0
93,ROCKVILLE PIKE & FLANDERS AVE,334.0,262.0
40,FREDERICK RD & WHEATFIELD DR,326.0,222.0
155,TRAVIS AVE & WATKINS MILL RD,297.0,277.0
25,FREDERICK RD & GUNNERS DR,288.0,369.0
48,HUNGERFORD DR & MANNAKEE ST,261.0,248.0
90,ROCKVILLE PIKE & ELSMERE AVE,260.0,92.0
134,S FREDERICK AVE & FULKS CORNER AVE,247.0,169.0
27,FREDERICK RD & INDIANOLA DR,242.0,514.0
140,S FREDERICK AVE & VIRGINIA DR,239.0,94.0
28,FREDERICK RD & MAGNOLIA DR,238.0,873.0
49,HUNGERFORD DR & N CAMPUS DR,204.0,331.0
45,HALPINE RD & ROCKVILLE PIKE,191.0,2924.0
152,SOMERVILLE DR & REDLAND RD,187.0,228.0
121,ROCKVILLE PIKE & WICKSHIRE WAY,175.0,259.0
147,SHAKESPEARE BLVD & AMBER RIDGE DR,172.0,59.0
95,ROCKVILLE PIKE & GROSVENOR STATION,172.0,63.0
81,ROCKVILLE PIKE & BELLEVUE DR,170.0,480.0
97,ROCKVILLE PIKE & HILLERY WAY,158.0,810.0
150,SHAKESPEARE BLVD & MILESTONE PARK &,143.0,441.0
55,MANNAKEE ST & CAMPUS (E) DR,143.0,776.0
142,S WASHINGTON ST & COURT HOUSE SQ,120.0,783.0
126,RUSSELL AVE & CHRISTOPHER AVE,116.0,329.0
160,WATKINS MILL RD & TRAVIS LN,113.0,61.0
16,FREDERICK RD & @15501,103.0,151.0
149,SHAKESPEARE BLVD & FREDERICK RD,102.0,827.0
75,OBSERVATION DR & OBSERVATION CT,98.0,84.0
85,ROCKVILLE PIKE & BROAD BROOK DR,94.0,222.0
38,FREDERICK RD & SHAKESPEARE BLVD,91.0,10.0
14,E MIDDLE LN & WASHINGTON ST,91.0,1478.0
105,ROCKVILLE PIKE & NORTH DR,86.0,2195.0
159,WATKINS MILL RD & TRAVIS AVE,80.0,39.0
41,GERMANTOWN RD & GOLDENROD LN,65.0,89.0
31,FREDERICK RD & NEELSVILLE CHURCH RD,63.0,144.0
73,OBSERVATION DR & BOLAND FARM RD,56.0,27.0
65,N FREDERICK AVE & TRAVIS AVE,55.0,74.0
50,KING FARM BLVD & FREDERICK RD,53.0,272.0
76,OBSERVATION DR & PANTHER RIDGE DR,53.0,30.0
156,TUCKERMAN LN & ROCKVILLE PIKE,47.0,805.0
35,FREDERICK RD & RIDGEMONT AVE,39.0,84.0
15,FREDERICK RD & @15,29.0,192.0
100,ROCKVILLE PIKE & LOCUST HILL RD,25.0,65.0
72,OBSERVATION DR & @20457 (SENECA MEA,17.0,46.0
46,HUNGERFORD DR & @700,13.0,7.0
21,FREDERICK RD & COLLINS DR,11.0,6.0
0,CHAPMAN AVE & BOUIC AVE,7.0,56.0
146,SHADYGROVE METRO LOT  & METRO LOT,5.0,46.0
