,stops,alightings
11,E JEFFERSON ST & MARYLAND AVE,805.0
156,TUCKERMAN LN & ROCKVILLE PIKE,805.0
142,S WASHINGTON ST & COURT HOUSE SQ,783.0
55,MANNAKEE ST & CAMPUS (E) DR,776.0
29,FREDERICK RD & MIDDLEBROOK RD,751.0
135,S FREDERICK AVE & N WESTLAND DR,739.0
23,FREDERICK RD & GUDE DR,716.0
154,TRAVIS AVE & TRAVIS VIEW CT,671.0
132,S FREDERICK AVE & DEER PARK RD,644.0
116,ROCKVILLE PIKE & STRATHMORE AVE,634.0
17,FREDERICK RD & @20010,613.0
98,ROCKVILLE PIKE & HOYA ST,607.0
94,ROCKVILLE PIKE & GROSVENOR LN,534.0
27,FREDERICK RD & INDIANOLA DR,514.0
86,ROCKVILLE PIKE & CEDAR LN,488.0
8,CONTOUR RD & LOST KNIFE RD,482.0
81,ROCKVILLE PIKE & BELLEVUE DR,480.0
127,RUSSELL AVE & WATKINS MILL RD,470.0
150,SHAKESPEARE BLVD & MILESTONE PARK &,441.0
10,CONTOUR RD & TUNSTALL DR,413.0
136,S FREDERICK AVE & O'NEILL DR,404.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,400.0
9,CONTOUR RD & ODENDHAL AVE,395.0
25,FREDERICK RD & GUNNERS DR,369.0
22,FREDERICK RD & GERMANTOWN RD,368.0
49,HUNGERFORD DR & N CAMPUS DR,331.0
126,RUSSELL AVE & CHRISTOPHER AVE,329.0
143,S WASHINGTON ST & MONTGOMERY AVE,297.0
155,TRAVIS AVE & WATKINS MILL RD,277.0
30,FREDERICK RD & MIDWAY CENTER,277.0
50,KING FARM BLVD & FREDERICK RD,272.0
93,ROCKVILLE PIKE & FLANDERS AVE,262.0
121,ROCKVILLE PIKE & WICKSHIRE WAY,259.0
48,HUNGERFORD DR & MANNAKEE ST,248.0
82,ROCKVILLE PIKE & BETH MED PRK DR,246.0
2,CHRISTOPHER AVE & GALLOP HILL RD,243.0
39,FREDERICK RD & WATKINS POND BLVD,243.0
152,SOMERVILLE DR & REDLAND RD,228.0
26,FREDERICK RD & HIGH POINT DR,223.0
85,ROCKVILLE PIKE & BROAD BROOK DR,222.0
40,FREDERICK RD & WHEATFIELD DR,222.0
12,E MIDDLE LN & MARYLAND AVE,211.0
15,FREDERICK RD & @15,192.0
19,FREDERICK RD & ARCHDALE RD,180.0
134,S FREDERICK AVE & FULKS CORNER AVE,169.0
67,N FREDERICK RD & GUNNERS BRANCH RD,166.0
80,ROCKVILLE PIKE & ALTA VISTA RD,162.0
16,FREDERICK RD & @15501,151.0
31,FREDERICK RD & NEELSVILLE CHURCH RD,144.0
130,S FREDERICK AVE & CENTRAL AVE,138.0
42,GERMANTOWN RD & OBSERVATION DR,125.0
148,SHAKESPEARE BLVD & ETON MANOR DR,108.0
140,S FREDERICK AVE & VIRGINIA DR,94.0
90,ROCKVILLE PIKE & ELSMERE AVE,92.0
41,GERMANTOWN RD & GOLDENROD LN,89.0
35,FREDERICK RD & RIDGEMONT AVE,84.0
75,OBSERVATION DR & OBSERVATION CT,84.0
65,N FREDERICK AVE & TRAVIS AVE,74.0
106,ROCKVILLE PIKE & NORTH WOOD DR,68.0
100,ROCKVILLE PIKE & LOCUST HILL RD,65.0
95,ROCKVILLE PIKE & GROSVENOR STATION,63.0
160,WATKINS MILL RD & TRAVIS LN,61.0
147,SHAKESPEARE BLVD & AMBER RIDGE DR,59.0
56,MANNAKEE ST & CAMPUS DR,58.0
0,CHAPMAN AVE & BOUIC AVE,56.0
146,SHADYGROVE METRO LOT  & METRO LOT,46.0
115,ROCKVILLE PIKE & SOUTH WOOD RD,46.0
72,OBSERVATION DR & @20457 (SENECA MEA,46.0
159,WATKINS MILL RD & TRAVIS AVE,39.0
76,OBSERVATION DR & PANTHER RIDGE DR,30.0
73,OBSERVATION DR & BOLAND FARM RD,27.0
38,FREDERICK RD & SHAKESPEARE BLVD,10.0
46,HUNGERFORD DR & @700,7.0
21,FREDERICK RD & COLLINS DR,6.0
