,stop,alightings
548,District Heights Pkwy at Rochelle Ave,556
543,District Heights Pkwy at Addison Rd S,556
768,Landover Rd at 55th Ave,550
1070,Raleigh Rd at Olson St,550
434,Capitol Heights Station,548
271,Baltimore Ave at Knox Rd,546
275,Baltimore Ave at Oglethorpe St,545
1194,Silver Hill Rd at Parkway Terrace Dr,545
1110,Ritchie Rd at Ritchie Dr,542
870,Maxwell Dr at Morris Ave,537
293,Belcrest Rd at Queens Chapel Rd,535
479,Chillum Rd at 18th Ave,535
1351,Woodyard Rd at Autumn Way,534
553,Donnell Dr at Marlboro Pike,533
760,Lamont Dr at Larchwood St,533
562,East Capitol St at Yost Pl,529
280,Baltimore Ave at Rossborough Ln,529
1245,St Barnabas Rd at Raleigh Rd,527
476,Cheverly Ave at Montrose Rd,525
1014,PALMER ROAD & DEVON HILLS DRIVE,524
218,Annapolis Rd at Riverdale Rd,522
989,Oxon Hill Rd at 6130 Oxon Hill Rd,522
9,1400 Merchantile Ln,522
1187,Sheriff Rd at MLK Highway,519
601,Garrett A. Morgan Blvd at Gibbs Way,516
315,Bock Rd at Technology Recreation Complex,513
25,23rd Ave at Sheridan St,511
1299,Temple Hill Rd at Santeetlah Dr,508
389,Brinkley Rd at Shopton Pl,508
1261,Suitland Rd at Homer Ave,508
946,Old Marlboro Pike at Roblee Dr,505
1315,Upshur St at 28th St,505
904,New Carrollton Station Bay K,505
868,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),500
890,Nalley Rd at Capital View Dr,499
64,38th St at Windom Rd,498
636,Greenbrook Dr at Hanover Pkwy,496
1265,Suitland Rd at Suitland Federal Center Gate 1,496
444,Central Ave at Cindy Ln,494
1304,Temple Hill Rd at Weldon Dr,494
589,Fisher Rd at Heather Hill Ent.,494
336,Brandywine Road at Surrats Road,492
126,9240 Springhill Ln,491
840,Madison St at Timber Creek Dr,489
1186,Sheriff Rd at Harvey Dr,489
924,Old Branch Ave at Arbutus Ln,489
47,3417 Dodge Park Rd,488
49,34th St at Newton St,487
409,Campus Drive at Baltimore Ave,485
1287,Temple Hill Rd at Henderson Rd,485
184,Ager Rd at Oglethorpe St,484
41,3133 Pennsy Dr,483
1021,PG Plaza Station (Hidden Arrival),483
653,Hamilton St at 36th Ave,482
1141,Riverdale Rd at Mahoney Dr,481
4,10800 Indian Head Highway at Fort Washington Manor,481
26,23rd Ave at Woodberry St,480
386,Brinkley Rd at Rose Croft Shopping Center,479
19,23rd Ave at Amherst Rd,479
405,CAMPUS WAY NORTH AT LADY GROVE ROAD,478
585,Fisher Rd at Clow Ct,478
507,Columbia Park Rd at Stanford Court,476
1321,Village Dr West at Bishopmill Dr,475
655,Hamilton St at 38th Ave,472
20,23rd Ave at Banning Pl,470
262,Baltimore Ave at East-West Hwy,467
123,85th Avenue and Hiltop Apartments,465
105,60th Ave at Greenbelt Rd,463
821,MLK Jr Hwy at 65th Ave,461
27,2400 Chillum Rd,461
1203,Southern Ave at 13th St SE,461
391,Brinkley Rd at Summerhill Rd,459
500,Columbia Park Rd at Clarkson Way,458
1106,Ritchie Rd at Mane Ln,458
1035,Peppermill Dr at Canyon Dr,457
537,Denise Dr at Dutton Way,455
489,Clairfield Lane - Arrival,455
900,New Carrollton Station,455
1111,Ritchie Rd at Ritchie Rd Spur,454
1138,Riverdale Rd at Fernwood Terrance,449
701,Hillside Rd at Laurel Hill Rd,446
611,Good Luck Rd at Cathedral Ave,446
848,Marlboro Pike at Forest Run Dr,444
77,4211 Suitland Rd (Opposite),442
322,Brandywine Rd at Clinton Way,439
238,Ashwood Dr at Ritchie Rd,439
402,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,439
529,Crescent Rd at Ridge Rd,438
33,28th Pkwy at 27th Ave,436
1262,Suitland Rd at Opp. Suitland Federal Center Gate 3,435
988,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),432
830,MLK Jr Hwy at Glen Willow Dr,430
432,Capitol Heights Blvd at Heath St,428
1099,Ritchie Rd at Ashville Rd,427
1181,Sheriff Rd at Dutch Village Dr,425
55,38th St at Hamilton St,425
446,Central Ave at Garrett A Morgan Blvd,419
795,Largo Rd at Largo Landing,418
421,Campus Way South at PGCC Perimeter Rd,414
22,23rd Ave at Drexel St,410
1101,Ritchie Rd at D'arcy Rd,409
742,Kanawha St at 15th Ave,409
1017,PALMER ROAD & OLD PALMER ROAD,406
210,Annapolis Rd at 48th St,406
1223,Southern Maryland Hospital,403
157,ALLENTOWN WAY & 5846 ALLENTOWN WAY,401
544,District Heights Pkwy at Breton Dr,400
369,Brinkley Rd at Cherryfield Rd,399
1139,Riverdale Rd at Fountainbleau Dr,398
1328,Village Green Dr at Sheriff Rd,396
505,Columbia Park Rd at Oregon Ave,394
193,Allentown Rd at Coolridge Rd,394
90,4412 Suitland Rd (Opposite),388
334,Brandywine Road at Dennison Drive,386
1088,Rhode Island Ave at County Service Building - SB,385
195,Allentown Rd at Karen Anne Dr,383
34,28th Pkwy at Afton St,382
125,9206 Springhill Lane,380
676,Hanover Pkwy at Village Park Dr,379
766,Landover Metrorail Station,379
656,Hamilton St at 38th St,379
769,Landover Rd at 56th Ave,375
320,Brandywine Rd & Gwynn Park High School,374
1016,PALMER ROAD & INDIAN HEAD HIGHWAY,374
188,Allentown Rd at 5711 AFCU Allentown Rd,373
1317,Valley Trail Ln at Bain Dr 1,372
842,Mandan Rd at Canning Terr,372
627,Greenbelt Rd at Lakecrest Dr,371
268,Baltimore Ave at Hollywood Rd,369
1083,Rhode Island Ave at 42nd Pl,368
58,38th St at Perry St,367
621,Governor Oden Bowie Dr at Elm St,367
816,Lottsford Rd at McCormick Dr,367
13,14th Ave at Langley Way,366
1193,Silver Hill Rd at Metro Dr,365
1295,Temple Hill Rd at Piscataway Rd,364
730,Jericho Residences,362
691,Highview Pl at Onslow Way,359
1214,Southern Ave at H St,359
1320,Valley Trail Ln at Romford Dr,359
372,Brinkley Rd at Glen Oak Dr,358
746,Kipling Pkwy at Brewton St,357
849,Marlboro Pike at Glacier Ave,357
731,Jericho Residences (Southbound),357
634,Greenbelt Station Parkway at Streambank Lane,357
1087,Rhode Island Ave at County Service Building - NB,356
1170,Saint Barnabas Rd at Barrowfield Rd,355
324,Brandywine Rd at Horshoe Rd,355
393,Brinkley Rd at Trude St,354
1080,Rhode Island Ave at 38th St,354
1133,Riverdale Rd at 64th Ave,352
963,Opp. 1300 McCormick Dr,352
1204,Southern Ave at 6th St SE,351
