,stop,boardings,alightings
334,Brandywine Road at Dennison Drive,80,386
1088,Rhode Island Ave at County Service Building - SB,323,385
195,Allentown Rd at Karen Anne Dr,399,383
34,28th Pkwy at Afton St,434,382
125,9206 Springhill Lane,1403,380
656,Hamilton St at 38th St,381,379
676,Hanover Pkwy at Village Park Dr,381,379
766,Landover Metrorail Station,5848,379
769,Landover Rd at 56th Ave,290,375
320,Brandywine Rd & Gwynn Park High School,666,374
1016,PALMER ROAD & INDIAN HEAD HIGHWAY,607,374
188,Allentown Rd at 5711 AFCU Allentown Rd,294,373
842,Mandan Rd at Canning Terr,405,372
1317,Valley Trail Ln at Bain Dr 1,613,372
627,Greenbelt Rd at Lakecrest Dr,305,371
268,Baltimore Ave at Hollywood Rd,385,369
1083,Rhode Island Ave at 42nd Pl,328,368
621,Governor Oden Bowie Dr at Elm St,137,367
58,38th St at Perry St,254,367
816,Lottsford Rd at McCormick Dr,75,367
13,14th Ave at Langley Way,338,366
1193,Silver Hill Rd at Metro Dr,82,365
1295,Temple Hill Rd at Piscataway Rd,279,364
730,Jericho Residences,248,362
1320,Valley Trail Ln at Romford Dr,472,359
691,Highview Pl at Onslow Way,459,359
1214,Southern Ave at H St,142,359
372,Brinkley Rd at Glen Oak Dr,175,358
731,Jericho Residences (Southbound),410,357
849,Marlboro Pike at Glacier Ave,227,357
634,Greenbelt Station Parkway at Streambank Lane,126,357
746,Kipling Pkwy at Brewton St,354,357
1087,Rhode Island Ave at County Service Building - NB,421,356
1170,Saint Barnabas Rd at Barrowfield Rd,223,355
324,Brandywine Rd at Horshoe Rd,60,355
1080,Rhode Island Ave at 38th St,431,354
393,Brinkley Rd at Trude St,264,354
1133,Riverdale Rd at 64th Ave,754,352
963,Opp. 1300 McCormick Dr,131,352
893,Nalley Rd at Green Willow Ct,407,351
1204,Southern Ave at 6th St SE,237,351
1151,Rollins Ave at Rollins Ln,386,350
877,McCormick Dr at UMUC,347,350
7,1301 McCormick Dr,470,350
363,Brightseat Rd at Social Services Bldg.,652,349
921,Old Branch Ave at 6811 Old Branch Ave,93,348
786,Largo Rd at Buck Ln,234,348
104,58th Ave at Berwyn Rd,261,347
377,Brinkley Rd at Kildare Ct,111,347
517,County Rd at Belwood St,254,346
1056,Queens Chapel Rd at Nicholson St,255,346
384,Brinkley Rd at Opp. Rosecroft Shopping Center,1312,345
46,3404 Dodge Park Rd,414,344
127,9400 Peppercorn Pl,275,344
1199,Silver Hill Rd at Swann Rd,195,343
205,Allentown Rd at Westchester Ct,393,342
1124,Riverdale Rd and 7600 Riverdale Road,380,341
813,Lottsford Rd at Harry S. Truman,192,339
629,Greenbelt Rd at Walker Dr,326,337
1244,St Barnabas Rd at Opp. Gateway Square Apts,132,337
690,Highview Pl at Keyworth Ct,527,336
959,Opp 3133 Pennsy Dr,343,336
1007,Oxon Hill Rd at Riverside Plaza Apts,1048,334
1301,Temple Hill Rd at Spring Ter,376,333
835,MLK Jr Hwy at Sheriff Rd,338,332
1108,Ritchie Rd at Overton Dr,198,330
984,Owens Rd at Woodland Blvd,276,329
976,Owens Rd at Irvington St,200,328
1117,Ritchie Rd at Walker Mill Rd,163,325
1318,Valley Trail Ln at Bain Dr 2,416,324
983,Owens Rd at Wheeler Rd,219,324
1045,Pontiac St at 60th Ave,294,321
71,4106 Whitehall Square Apts,1175,320
381,Brinkley Rd at Middlefield Rd,90,319
1201,Southern Ave Station Bay E,10582,319
750,Kipling Pkwy at Marbury Dr,471,318
1211,Southern Ave at Forest Hills Apartment,408,315
916,Old Alexandria Ferry Rd at Malcom Rd,122,315
648,Gwynn Park High School,355,314
546,District Heights Pkwy at Marbury Ct (W),484,314
1126,Riverdale Rd at 54th Ave,497,313
590,Fisher Rd at Holton Ln,156,312
1107,Ritchie Rd at Napier Dr,378,311
103,5846 ALLENTOWN WAY,119,310
1330,Volta Ave at Rhode Island Ave,266,309
351,Brightseat Rd at Girard St,247,309
1236,Springhill Ln at Market Ln,666,309
170,Addison Rd at James Farmer Way,215,308
762,Lamont Dr at Quentin St,402,305
452,Central Ave at Rollins Ave,91,303
843,Mandan Rd at Greenbelt Rd,470,303
374,Brinkley Rd at Huncrest Ent,455,302
224,Ardwick-Ardmore Rd at MLK Jr Hwy,193,302
483,Chillum Rd at Buchanan St,447,302
1091,Rhode Island Ave at Volta Ave,331,302
1191,Sheriff Rd at William Paca School,164,301
463,Cherrywood Ln at Greenbelt Federal Courthouse,263,301
1288,Temple Hill Rd at Kirbywood St,430,300
776,Landover Rd at Firehouse Rd,122,299
542,District Heights Municipal Bldg,275,299
752,Kipling Pkwy at Opp. 7805 Ritchie Rd,408,298
1005,Oxon Hill Rd at Oxon Hill Plaza(6201),425,298
561,East Capitol St at Old Central Ave,140,297
1115,Ritchie Rd at Truck Way,737,297
857,Marlboro Pike at Tucker's Restaurant,303,297
875,McCormick Dr at Opp. UMUC Building,202,297
445,Central Ave at Daimler Dr,373,296
891,Nalley Rd at Crane Pl,459,295
973,Ora Glen Dr at Mandan Rd,202,295
917,Old Alexandria Ferry Rd at Mike Shapiro Dr,282,294
1038,Peppermill Dr at Pepper St,266,294
485,Chillum Rd at Queens Chapel Rd,894,294
110,7600 Riverdale Rd,723,292
111,7711 Old Alexandria Ferry Rd,26,292
972,Opposite of Rose Croft Shopping Center,565,292
1246,St Barnabas Rd at Temple Hill Rd,28,291
518,County Rd at Elmhurst St,208,290
711,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,196,290
