,stop,boardings
1297,Temple Hill Rd at Portal Ave,634
749,Kipling Pkwy at Harwood Rd,628
480,Chillum Rd at 18th Ave - in,618
1317,Valley Trail Ln at Bain Dr 1,613
924,Old Branch Ave at Arbutus Ln,612
800,Largo Rd at Water Fowl Way,609
558,Dunmore Pl at Edgeworth Dr,608
1016,PALMER ROAD & INDIAN HEAD HIGHWAY,607
15,15th Ave at University Blvd,607
551,Dodge Park Rd at Landover Rd,603
1141,Riverdale Rd at Mahoney Dr,601
1197,Silver Hill Rd at Randall Rd,600
1078,Rhode Island Ave at 34th Street,598
706,Hubbard Rd at Martin Luther King,598
53,38th St at Bunker Hill Rd,595
1296,Temple Hill Rd at Plata St,592
657,Hamilton St at 3900,590
184,Ager Rd at Oglethorpe St,588
1017,PALMER ROAD & OLD PALMER ROAD,587
1114,Ritchie Rd at Shepherd St,580
818,Lottsford Rd at Zachery St,579
720,Indian Head Highway at Audrey Ln,578
272,Baltimore Ave at Lakeland Rd,576
220,Apollo Dr at Lottsford Rd,576
881,Merrimac St at 14th Ave,575
460,Chatsfield Way at Palmerton Ter,575
1260,Suitland Rd at 4410 Suitland Rd,574
902,New Carrollton Station - Arrival,573
391,Brinkley Rd at Summerhill Rd,567
1073,Ray Rd at Cypress Creek Dr,566
972,Opposite of Rose Croft Shopping Center,565
1118,Ritchie Station Court Bus Stop #1,557
1075,Ray Rd at Madison St,552
946,Old Marlboro Pike at Roblee Dr,552
964,Opp. 4138 Whitehall Square Apts,551
861,Marlboro Pike at Whitney Pl,548
1352,Woodyard Rd at Canberra Dr,545
867,Mattowoman Beantown Rd at MTA Park and Ride Lot,544
837,MONUMENT AVE @ MGM CASINO,537
851,Marlboro Pike at Kipling Pkwy,536
1077,Rhode Island Ave at 34th St,535
451,Central Ave at Ritchie Rd,532
544,District Heights Pkwy at Breton Dr,532
690,Highview Pl at Keyworth Ct,527
1250,Stars Entrance Gaylord Hotel at National Harbor Blvd,525
258,Baltimore Ave at Campus Dr,524
1113,Ritchie Rd at Roslyn Ave,523
1099,Ritchie Rd at Ashville Rd,519
1043,Piscataway Rd at Old Branch Ave,519
55,38th St at Hamilton St,517
1173,Saint Barnabas Rd at John Hanson Ln,514
68,40plgall_nb,514
1229,Southway at Crescent Rd,513
98,54th Ave at Jefferson St,511
821,MLK Jr Hwy at 65th Ave,509
25,23rd Ave at Sheridan St,506
622,Greenbelt Metro Dr at Cherrywood Ln,505
1182,Sheriff Rd at Eaton Square Apartments,503
795,Largo Rd at Largo Landing,499
1245,St Barnabas Rd at Raleigh Rd,498
562,East Capitol St at Yost Pl,497
1126,Riverdale Rd at 54th Ave,497
41,3133 Pennsy Dr,494
392,Brinkley Rd at Temple Hill Rd,494
47,3417 Dodge Park Rd,490
193,Allentown Rd at Coolridge Rd,489
27,2400 Chillum Rd,489
1292,Temple Hill Rd at Old Temple Hill Rd,487
509,Columbia Park Rd at Virginia Ave,487
1266,Suitland Rd at Towne Park Rd,486
1079,Rhode Island Ave at 37th St,485
546,District Heights Pkwy at Marbury Ct (W),484
985,Oxon Hill Fringe Lot,482
556,Donnell Drive at Target Store,478
219,Apollo Dr at Arena Dr,478
52,38th St at Allison St,476
1321,Village Dr West at Bishopmill Dr,475
1258,Suitland Metro - Arrival,473
33,28th Pkwy at 27th Ave,473
611,Good Luck Rd at Cathedral Ave,472
1320,Valley Trail Ln at Romford Dr,472
750,Kipling Pkwy at Marbury Dr,471
636,Greenbrook Dr at Hanover Pkwy,470
843,Mandan Rd at Greenbelt Rd,470
7,1301 McCormick Dr,470
1213,Southern Ave at Gunther St,470
494,College Park Station,468
306,Bladensburg Rd at 42nd Ave,464
352,Brightseat Rd at Glen Valley Dr,461
94,5150 Annapolis Rd,461
539,Denise Dr at Rollins Ave,460
122,85th Avenue and Carrollon Manor,460
891,Nalley Rd at Crane Pl,459
691,Highview Pl at Onslow Way,459
722,Indian Head Highway at Southern Ave,458
292,Belcrest Rd at PG Plaza Sta Entrance,456
567,East-West Hwy at Toledo Ter,455
374,Brinkley Rd at Huncrest Ent,455
72,4112 Whitehall Square Apts,455
1238,St Barnabas Rd at Deer Park Dr,452
997,Oxon Hill Rd at John Hanson Ln,450
483,Chillum Rd at Buchanan St,447
1209,Southern Ave at C St,445
1033,Pennsylvania Ave at Penn Crossing Dr,443
430,Capitol Heights Blvd at Emmet St,441
179,Ager Rd at 29th Ave,440
332,Brandywine Road @ Surrats Road,439
588,Fisher Rd at Heather Hill,435
83,42nd Ave at Madison St,435
1158,SOUTHERN AVENUE & CHESAPEAKE STREET SE,435
34,28th Pkwy at Afton St,434
236,Ashwood Dr at Dunmore Pl,434
886,Morris Ave at Maxwell Dr,434
1300,Temple Hill Rd at Southeast Mobile Estates,432
1080,Rhode Island Ave at 38th St,431
1085,Rhode Island Ave at Bunker Hill Rd,430
1288,Temple Hill Rd at Kirbywood St,430
882,Merrimac St at New Hampshire Ave Service Rd,430
740,Judge's Dr at Pratt St,428
663,Hanover Pkwy at Green Manor Ct,426
1005,Oxon Hill Rd at Oxon Hill Plaza(6201),425
1251,Stuart Lane at Surratts Road,425
1277,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),424
606,Goddard Space Flight Center Main Gate (Northbound),422
412,Campus Way North at St Joseph's Dr,421
1087,Rhode Island Ave at County Service Building - NB,421
1054,Queens Chapel Rd at Hamilton St,420
261,Baltimore Ave at East West Hwy,419
896,Nalley Rd at Michele Dr,418
402,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,416
1318,Valley Trail Ln at Bain Dr 2,416
1218,Southern Ave at Robert Yedell Towers,415
46,3404 Dodge Park Rd,414
662,Hampton Park Boulevard at Steeplechase,414
305,Bladensburg Rd at 41st Ave,414
990,Oxon Hill Rd at 6192 Oxon Hill Rd,412
992,Oxon Hill Rd at 6246 Oxon Hill Rd,411
731,Jericho Residences (Southbound),410
1322,Village Dr West at Clairfield Ln,410
1332,Walker Mill Dr at New Mt. Nebo Baptist Church,409
752,Kipling Pkwy at Opp. 7805 Ritchie Rd,408
1211,Southern Ave at Forest Hills Apartment,408
1328,Village Green Dr at Sheriff Rd,408
893,Nalley Rd at Green Willow Ct,407
908,OLD BRANCH AVENUE & ALLENTOWN WAY,406
99,5600 54th Ave,406
842,Mandan Rd at Canning Terr,405
1255,Stuart Ln at Woodyard Rd,405
1219,Southern Ave at UNITED MEDICAL CENTER,404
580,Fairlawn St at Colebrooke Dr,404
523,Coventry Way at Old Alexandria Ferry Rd,403
762,Lamont Dr at Quentin St,402
195,Allentown Rd at Karen Anne Dr,399
701,Hillside Rd at Laurel Hill Rd,396
672,Hanover Pkwy at Ora Glen Dr,396
300,Benning Rd at Drum Ave,395
476,Cheverly Ave at Montrose Rd,393
205,Allentown Rd at Westchester Ct,393
1110,Ritchie Rd at Ritchie Dr,391
59,38th St at Shepherd St,388
197,Allentown Rd at Old Branch Ave,388
688,Highview Pl at Brooke Rd,388
282,Baltimore Ave at Tecumseh St,387
405,CAMPUS WAY NORTH AT LADY GROVE ROAD,386
385,Brinkley Rd at Roberts Dr,386
1151,Rollins Ave at Rollins Ln,386
268,Baltimore Ave at Hollywood Rd,385
1287,Temple Hill Rd at Henderson Rd,384
555,Donnell Drive at Marlboro Pike,384
280,Baltimore Ave at Rossborough Ln,382
656,Hamilton St at 38th St,381
257,Baltimore Ave at Berwyn Rd,381
579,Fairlawn St at 28th Pkwy,381
676,Hanover Pkwy at Village Park Dr,381
1124,Riverdale Rd and 7600 Riverdale Road,380
536,Denise Dr at Banister Way,378
1107,Ritchie Rd at Napier Dr,378
1301,Temple Hill Rd at Spring Ter,376
389,Brinkley Rd at Shopton Pl,376
894,Nalley Rd at Kaplan Ct,374
461,Chatsfield Way at Reading Ter,373
1334,Walker Mill Drive at Shady Glen Drive,373
328,Brandywine Rd at Woodyard Rd,373
445,Central Ave at Daimler Dr,373
655,Hamilton St at 38th Ave,372
271,Baltimore Ave at Knox Rd,372
1225,Southern Rd at Wheeler Rd,371
275,Baltimore Ave at Oglethorpe St,368
74,414 Brightseat Rd,368
105,60th Ave at Greenbelt Rd,368
265,Baltimore Ave at Hamilton St,367
1262,Suitland Rd at Opp. Suitland Federal Center Gate 3,366
1024,PGCC Perimeter Rd at Annex A Building,365
1097,Ridgefield Blvd at Stretford Ct,364
1261,Suitland Rd at Homer Ave,363
4,10800 Indian Head Highway at Fort Washington Manor,363
1143,Riverdale Rd at Tanglewood Dr,362
117,8300 Corporate Dr,361
1186,Sheriff Rd at Harvey Dr,357
386,Brinkley Rd at Rose Croft Shopping Center,355
648,Gwynn Park High School,355
323,Brandywine Rd at Cork Tree Way,355
746,Kipling Pkwy at Brewton St,354
290,Belcrest Rd at PG Plaza,354
592,Fisher Rd at Temple Blvd,352
90,4412 Suitland Rd (Opposite),349
1291,Temple Hill Rd at Megan Dr,348
877,McCormick Dr at UMUC,347
421,Campus Way South at PGCC Perimeter Rd,346
287,Baltimore Avenue at Fox Street,346
413,Campus Way North at Tulip Tree Dr,344
959,Opp 3133 Pennsy Dr,343
743,Kenilworth Ave at Nicholson St,343
1101,Ritchie Rd at D'arcy Rd,339
835,MLK Jr Hwy at Sheriff Rd,338
13,14th Ave at Langley Way,338
575,Equestrian Center Lot 1 (Arrival),336
330,Brandywine Road @ Killarney Street,336
1212,Southern Ave at Forest Hills Apts,334
26,23rd Ave at Woodberry St,331
1091,Rhode Island Ave at Volta Ave,331
5,1100 Owens Rd,329
1083,Rhode Island Ave at 42nd Pl,328
629,Greenbelt Rd at Walker Dr,326
387,Brinkley Rd at Rosecroft Shopping Center,325
361,Brightseat Rd at Opp. Maple Ridge Apts #1,325
892,Nalley Rd at East Nalley Rd,325
1088,Rhode Island Ave at County Service Building - SB,323
1096,Ridgefield Blvd at Sgt. Harman Ln,322
583,Fieldstone Way,322
913,Old Alexandria Ferry Rd at Heflin Dr,320
1216,Southern Ave at Owens Rd,316
242,Auburn Ave at Chestnut Ave,315
1220,Southern Ave at United Medical Center,315
204,Allentown Rd at Waldran Dr,314
958,Olson St at Norcross St,314
458,Central Ave at Yeoman Pl,313
216,Annapolis Rd at Bladensburg Elem. School,313
637,Greenbrook Dr at Ora Glen Dr,311
210,Annapolis Rd at 48th St,309
934,Old Marlboro Pike at Brooklee Dr,306
466,Cherrywood Ln at Springhill Drive,306
378,Brinkley Rd at Larwin Dr,306
1181,Sheriff Rd at Dutch Village Dr,305
941,Old Marlboro Pike at Melwood Rd,305
627,Greenbelt Rd at Lakecrest Dr,305
607,Goddard Space Flight Center Main Gate (PM Southbound),304
166,Addison Rd at Drylog St,303
857,Marlboro Pike at Tucker's Restaurant,303
1312,University Blvd at Guilford Rd,303
315,Bock Rd at Technology Recreation Complex,302
996,Oxon Hill Rd at Harborview Rd,301
1031,Pennsylvania Ave at Forestville Rd,301
472,Cheverly Ave at Forest Rd,300
940,Old Marlboro Pike at Melwood Park Ave,297
1064,Queensbury Rd at Baltimore Ave,296
188,Allentown Rd at 5711 AFCU Allentown Rd,294
1045,Pontiac St at 60th Ave,294
1185,Sheriff Rd at Glen Willow Dr - South Side,293
123,85th Avenue and Hiltop Apartments,291
1055,Queens Chapel Rd at Lancer Dr,290
1222,Southern Ave opposite B St SE,290
769,Landover Rd at 56th Ave,290
1309,Truman Manor,287
273,Baltimore Ave at Longfellow St,287
38,28th Pl at Russell Ave,286
1106,Ritchie Rd at Mane Ln,286
