,stop,boardings,alightings
399,Brooks Drive at Marlboro Pike,838,1058
759,Lamont Dr at Lamont Pl,837,579
1340,Walker Mill Road at Marlboro Pike,835,1351
96,5295 85th Ave,835,219
767,Landover Metrorail Station - Arrival,834,7021
653,Hamilton St at 36th Ave,833,482
859,Marlboro Pike at Upland Ave,830,719
953,Old Pike Way at Dower House Rd,828,762
661,Hampton Park Boulevard at Hampton Mall Dr,823,1013
417,Campus Way South at Central Ave,821,1148
1142,Riverdale Rd at Opp. Heritage Square Apts,818,121
633,Greenbelt Station Parkway at S. Center Drive,817,212
986,Oxon Hill Fringe Parking Lot Bus Bay B,815,1359
298,Beltway Plaza Shopping Center,813,1405
162,Addison Rd at Adak St,805,985
1050,Prince George's Plaza - Arrival,801,2958
423,Campus Way at PGCC Perimeter Rd,797,1124
16,16th Ave at Cypress Creek Dr,795,1076
1074,Ray Rd at Cypress Creek Dr - in,795,41
1305,Timothy Branch Dr at Safeway Ent,790,1301
73,4138 Whitehall Square Apts - in,788,983
442,Central Ave at Brightseat Rd,787,835
411,Campus Way North at Grey Gables Ct,787,647
1111,Ritchie Rd at Ritchie Rd Spur,786,454
519,County Rd at Foster St,781,1734
1280,Temple Hill Rd at Allentown Rd,779,818
839,Madison St at Ray Rd,776,66
1044,Piscataway Rd at Pella Place,774,628
538,Denise Dr at Epworth Way,774,1204
97,5401 85th Ave,772,204
375,Brinkley Rd at Huntley Square Dr,771,1540
1133,Riverdale Rd at 64th Ave,754,352
1070,Raleigh Rd at Olson St,753,550
754,Kipling Pkwy at Wintergreen Ave,752,626
830,MLK Jr Hwy at Glen Willow Dr,750,430
840,Madison St at Timber Creek Dr,749,489
869,Maxwell Dr at Allentown Rd,744,738
1116,Ritchie Rd at Vineyard Dr,738,605
1115,Ritchie Rd at Truck Way,737,297
502,Columbia Park Rd at Marshall Pl,737,791
829,MLK Jr Hwy at Columbia Park Rd,736,866
1194,Silver Hill Rd at Parkway Terrace Dr,734,545
501,Columbia Park Rd at Columbia Pl,733,700
718,Indian Head Highway (MD. RTE. 210) at Southern Ave,732,685
