,stop,boardings,alightings
420,Capitol Heights Station,2734.0,346.0
509,Coventry Way at Old Alexandria Ferry Rd,239.0,346.0
1053,Ritchie Rd at Ashville Rd,345.0,345.0
1061,Ritchie Rd at Mane Ln,156.0,345.0
13,15th Ave at University Blvd,186.0,343.0
490,Columbia Park Rd at Marshall Pl,298.0,342.0
1026,Ray Rd at Madison St,331.0,341.0
854,Morris Ave at Maxwell Dr,345.0,341.0
587,Goddard Space Flight Center Main Gate (Southbound),64.0,341.0
531,District Heights Pkwy at Rochelle Ave,444.0,339.0
406,Campus Way South at PGCC Perimeter Rd,299.0,338.0
1070,Ritchie Rd at Vineyard Dr,307.0,338.0
939,Oxon Hill Fringe Parking Lot at Bus Bay F,121.0,337.0
299,Benning Rd at Drum Ave,297.0,334.0
944,Oxon Hill Rd at John Hanson Ln,228.0,334.0
25,2400 Chillum Rd,302.0,334.0
30,28th Ave at Kenton Pl,151.0,334.0
49,34th St at Otis St,29.0,333.0
467,Chillum Rd at 18th Ave,51.0,331.0
633,Hamilton St at 38th Ave,175.0,329.0
639,Hampton Park Boulevard at Edgeworth Dr,41.0,329.0
790,Lottsford Rd at Zachery St,146.0,325.0
1196,St Barnabas Rd at Raleigh Rd,264.0,322.0
335,Breezewood Dr at Cherrywood Ln,296.0,319.0
977,Pennsylvania Ave at Forestville Rd,136.0,319.0
287,Belcrest Rd at 6505 Belcrest Rd,791.0,318.0
571,Fisher Rd at St. Moritz Dr,480.0,318.0
1068,Ritchie Rd at Roslyn Ave,201.0,317.0
832,Marlboro Pike at Walters Ln,353.0,312.0
53,38th St at Bunker Hill Rd,160.0,312.0
1252,Toledo Rd at Adelphi Rd,366.0,310.0
241,Auburn Ave at 1st St,304.0,308.0
1279,Walker Mill Drive at Shady Glen Drive,194.0,306.0
872,New Carrollton Station Bay K,1096.0,305.0
1093,Riverdale Rd at Heritage Square Apts,920.0,304.0
739,Lamont Dr at Lamont Pl,530.0,304.0
719,Kenilworth Ave at Nicholson St,124.0,304.0
105,5846 ALLENTOWN WAY,90.0,302.0
1179,Southway at 7 Court,111.0,300.0
789,Lottsford Rd at McCormick Dr,162.0,299.0
858,Nalley Rd at Capital View Dr,531.0,299.0
136,9400 Peppercorn Pl,220.0,298.0
801,MLK Jr Hwy at Columbia Park Rd,231.0,297.0
753,Landover Rd at Annapolis Rd,243.0,297.0
100,5600 54th Ave,385.0,296.0
1042,Rhode Island Ave at Mt Rainier,532.0,296.0
385,Brooks Dr at Marlboro Pike,472.0,295.0
377,Brinkley Rd at Rose Croft Shopping Center,327.0,294.0
1168,Southern Ave at Park Southern Apts,185.0,294.0
1249,Temple Hill Rd at Weldon Dr,325.0,294.0
847,McCormick Dr at UMUC (opposite),129.0,293.0
1148,Silver Hill Rd at Suitland Rd,345.0,293.0
222,Annapolis Rd at Edmonston Rd,437.0,291.0
1065,Ritchie Rd at Ritchie Dr,180.0,290.0
638,Hampton Park Boulevard at East Hampton Dr,80.0,290.0
1087,Riverdale Rd at 64th Ave,444.0,290.0
1170,Southern Ave at Southview Dr,214.0,287.0
860,Nalley Rd at East Nalley Rd,273.0,287.0
778,Largo Rd at Watkins Park Dr,119.0,286.0
99,54th Ave at Jefferson St,220.0,285.0
507,County Service Building,370.0,282.0
942,Oxon Hill Rd at 6246 Oxon Hill Rd,222.0,282.0
793,MLK Jr Hwy at 65th Ave,260.0,281.0
89,4412 Suitland Rd (Opposite),165.0,280.0
640,Hampton Park Boulevard at Hampton Mall Dr,234.0,279.0
1127,Sheriff Rd at Belle Haven Dr,113.0,278.0
761,Largo Rd  at Water Foul Way,3.0,278.0
224,Apollo Dr at Arena Dr,179.0,278.0
722,Kipling Pkwy at Brewton St,290.0,277.0
1024,Ray Rd at Cypress Creek Dr,230.0,275.0
334,Brandywine Road at Surrats Road,85.0,274.0
1277,WILSON BRIDGE DRIVE,379.0,270.0
97,5295 85th Ave,406.0,270.0
941,Oxon Hill Rd at 6201 Oxon Hill Plaza,120.0,270.0
221,Annapolis Rd at Bladensburg Elem. School,307.0,269.0
1265,Valley Trail Ln at Catesby Ct,360.0,264.0
1125,Sargent Rd at Rollingcrest Commons,271.0,262.0
225,Apollo Dr at Lottsford Rd,264.0,262.0
428,Central Ave at Brightseat Rd,247.0,261.0
569,Fisher Rd at Heather Hill,227.0,260.0
1092,Riverdale Rd at Fountainbleau Dr,635.0,260.0
986,Piscataway Rd at Brandywine Rd,79.0,259.0
655,Harry S Truman Dr at Birdie Ln,208.0,258.0
